galaxy,logMbar,Mgas,Vmax,Rmax,slope_tail,Sigma_resid,n_outer,outer_fit_ok
DDO1620,10.2742,0.4708,194.9,17.77,0.4563,-0.1174,14,True
DDO1243,9.064,0.0247,245.76,38.55,0.4411,0.0031,11,True
DDO309,10.6754,1.1031,85.7,39.84,0.2173,0.1202,8,True
IC648,10.8465,2.2288,218.96,32.02,0.4594,0.1116,14,True
NGC1828,8.5,0.0104,94.4,15.88,0.9843,0.1663,5,True
ESO628,8.828,0.015,112.27,29.07,0.7239,-0.0246,14,True
DDO5951,10.1151,0.3387,213.28,29.69,0.5339,-0.1058,5,True
DDO6838,9.7154,0.1952,275.45,18.57,0.6392,-0.0199,7,True
ESO3996,9.9849,0.0888,190.66,27.43,0.8628,-0.4218,13,True
ESO3247,9.2323,0.0155,62.54,5.38,0.7467,-0.3618,12,True
ESO5094,10.7915,0.4993,191.75,12.32,0.4406,-0.3307,14,True
IC8761,10.7,1.4046,59.74,23.38,0.71,-0.2493,12,True
IC8525,10.0594,0.2253,253.35,10.73,0.6021,0.0999,11,True
DDO530,11.0145,3.3192,213.2,10.81,0.7454,-0.2264,7,True
DDO1896,10.4208,0.7508,89.82,34.27,0.5495,-0.0945,4,True
ESO2443,9.2266,0.0281,71.1,39.62,0.3639,0.3248,5,True
UGC2568,10.3319,0.7825,92.21,24.46,0.2799,-0.0891,7,True
IC5754,9.137,0.0434,275.41,34.37,0.9175,0.1844,4,True
ESO4220,10.7906,0.8934,155.47,39.66,0.8074,-0.2334,9,True
UGC587,9.9551,0.16,230.34,9.96,0.5323,-0.0514,12,True
NGC3798,9.8336,0.1091,196.37,20.69,0.5437,-0.2375,14,True
ESO5284,9.3872,0.0256,181.66,18.74,0.9019,-0.0848,9,True
ESO1106,11.1003,1.2815,83.38,7.8,0.1809,0.2101,13,True
NGC8350,9.8609,0.2742,267.59,31.44,0.4834,-0.4318,14,True
NGC614,9.6145,0.0837,119.31,20.18,0.6925,0.1086,13,True
DDO9255,9.6831,0.0888,182.94,21.43,0.5063,0.0594,9,True
IC1081,10.4791,0.9203,210.95,10.27,0.5183,-0.1485,7,True
ESO8450,10.3289,0.5194,199.32,11.33,0.5462,-0.3615,14,True
ESO9035,10.3715,0.8883,266.34,36.75,0.5629,0.018,6,True
UGC9796,10.3877,0.789,84.14,6.56,0.7806,-0.1324,8,True
UGC8039,11.5,6.8868,166.92,13.15,0.3758,0.0582,4,True
DDO7816,9.6342,0.0783,142.93,15.22,0.7088,0.0055,12,True
IC6459,9.539,0.1368,159.06,22.16,0.1642,0.4004,11,True
IC7811,9.2676,0.0558,77.42,25.53,0.6399,-0.0598,4,True
IC1431,10.5544,1.3724,80.84,22.27,0.3778,-0.2559,6,True
ESO5406,11.0161,0.9492,113.96,7.94,0.2006,0.0448,10,True
UGC5190,9.8974,0.2746,120.08,13.53,0.3943,0.055,9,True
ESO8589,9.2439,0.0479,148.42,34.53,0.5194,0.3398,12,True
ESO4681,9.258,0.0168,190.53,27.32,0.7663,0.2088,6,True
IC3912,10.5855,0.9853,195.96,27.72,0.2249,0.0892,14,True
IC6431,10.6689,1.3537,144.72,28.46,0.4094,0.3658,8,True
UGC2737,10.4888,0.1674,144.02,31.7,0.4577,-0.2972,13,True
NGC1483,9.401,0.0526,100.05,7.03,0.5917,-0.1599,6,True
DDO4830,10.2089,0.5483,185.31,17.83,0.7471,-0.2316,4,True
NGC4226,10.105,0.1953,122.92,23.88,0.6518,-0.0975,4,True
IC2402,10.1968,0.3312,58.29,16.85,0.8291,-0.3442,8,True
UGC3737,10.7843,1.2463,146.23,34.56,0.3995,0.1588,14,True
DDO3726,10.2012,0.2474,159.05,21.89,0.4106,-0.0556,4,True
IC3341,10.611,1.5168,101.89,31.9,0.5026,-0.3677,8,True
DDO3856,10.0608,0.3721,181.67,34.82,0.6321,-0.2539,5,True
NGC6888,10.2602,0.1615,180.13,22.67,0.5365,0.0784,14,True
UGC3038,10.5682,1.476,211.46,36.83,0.2489,0.2095,11,True
IC9492,8.6886,0.0175,199.03,25.55,0.6338,0.4992,12,True
IC9170,9.7123,0.077,200.06,34.76,0.4945,0.7285,11,True
ESO4860,9.5767,0.1294,122.73,16.92,1.0353,0.1036,11,True
IC3350,9.425,0.0232,231.11,22.46,1.0014,-0.2474,12,True
DDO5400,9.7524,0.226,176.3,23.6,0.5221,-0.533,4,True
ESO8499,11.3454,6.2693,149.23,8.67,0.3248,0.0669,13,True
DDO6559,9.2208,0.0461,193.98,18.95,0.4167,-0.2032,12,True
UGC8062,10.8715,0.6073,132.95,37.11,0.3578,-0.1038,12,True
DDO5373,8.5,0.0115,167.93,27.08,0.8144,-0.153,8,True
IC6365,9.6986,0.03,219.44,11.21,0.8096,-0.0352,12,True
NGC2952,10.1465,0.1882,253.87,16.86,0.3532,0.2665,8,True
NGC7374,10.5276,0.3372,261.84,11.71,0.3619,0.0393,4,True
NGC2103,10.6401,1.4053,165.84,5.87,0.0938,-0.0397,13,True
DDO6977,10.714,0.6179,169.66,37.46,0.4816,-0.2589,6,True
DDO8620,9.6861,0.179,233.97,20.69,0.4718,-0.4187,5,True
ESO1407,9.5839,0.1073,122.32,15.76,0.5265,-0.1216,10,True
ESO6181,10.7722,0.3708,242.6,25.95,0.3019,-0.0134,6,True
IC1041,9.8278,0.0349,163.65,5.26,0.4741,0.442,13,True
IC7283,8.8519,0.0048,76.65,14.73,0.3655,0.0326,8,True
DDO936,8.98,0.025,66.57,29.61,0.3641,0.2457,4,True
DDO9364,9.1725,0.0492,243.66,27.18,1.055,-0.1248,14,True
IC1460,10.4474,0.374,62.78,39.36,0.3179,-0.2962,9,True
ESO9591,10.1282,0.4665,114.54,26.71,0.3806,-0.2413,6,True
NGC8027,10.6214,0.2929,126.85,21.71,0.8387,-0.1813,11,True
DDO5976,9.6155,0.1363,89.79,31.65,1.0233,0.5321,9,True
DDO7847,10.1427,0.5205,122.2,36.62,0.359,-0.2053,4,True
ESO7970,10.563,1.1709,220.82,30.22,0.3784,0.2096,12,True
ESO9464,9.7216,0.155,53.38,38.71,0.6855,-0.2257,8,True
NGC2608,10.4111,0.8846,240.25,32.37,0.7699,0.2329,11,True
IC5941,9.4043,0.0162,247.01,35.34,0.4265,0.0962,13,True
NGC1040,9.6733,0.0568,135.62,8.99,0.5521,-0.0392,10,True
DDO6199,9.6564,0.0425,85.33,30.63,0.733,-0.0102,11,True
NGC1795,8.9237,0.019,188.19,20.4,0.7869,-0.1637,6,True
NGC5692,10.4383,0.8527,77.52,24.36,0.4096,0.1115,6,True
