galaxy,logM,V_max,sigma_v,slope_inner,slope_tail,spectral_index,env_proxy,quality_flag
DDO43,7.60,30.0,8.2,0.45,-0.18,1.82,0.42,1
DDO47,8.10,45.6,11.3,0.51,-0.22,1.95,0.65,1
DDO50,8.20,37.0,9.8,0.48,-0.19,1.88,0.38,1
DDO52,8.10,46.0,12.1,0.52,-0.21,1.91,0.71,1
DDO63,7.90,35.0,9.1,0.44,-0.17,1.79,0.55,1
DDO87,7.90,45.0,10.5,0.50,-0.20,1.93,0.48,1
DDO101,8.20,54.0,13.2,0.55,-0.24,2.01,0.83,1
DDO126,7.80,38.0,10.0,0.47,-0.19,1.86,0.61,1
DDO133,7.80,37.0,9.5,0.46,-0.18,1.84,0.57,1
DDO154,7.60,47.0,11.8,0.49,-0.22,1.90,0.44,1
DDO168,8.10,52.0,12.8,0.53,-0.23,1.98,0.77,1
Haro29,8.00,46.0,11.0,0.50,-0.21,1.92,0.52,1
NGC2366,8.40,59.0,14.5,0.57,-0.25,2.06,0.92,1
