galaxy,logM,logVobs,log_gbar,log_j,beta,beta_err,n_deep,reliable,env_proxy,f_gas
CVnIdwA,6.1987,1.29,-11.5326,1.9132,,,,False,0.0,0.828
DDO101,8.3997,1.716,-11.1143,2.7729,,,,False,0.393,0.76
DDO126,7.4997,1.4624,-11.4219,2.3197,,,,False,0.198,0.833
DDO133,8.0,1.6128,-11.2229,2.5718,,,,False,0.314,0.799
DDO154,8.301,1.6902,-11.1424,2.7236,,,,False,0.355,0.759
DDO168,8.1004,1.6628,-11.1682,2.6671,,,,False,0.318,0.799
DDO210,6.5999,1.2304,-11.4909,1.6928,,,,False,0.023,0.799
DDO43,7.5999,1.4771,-11.3677,2.3096,,,,False,0.23,0.78
DDO46,7.8,1.5798,-11.2383,2.4883,,,,False,0.207,0.799
DDO47,8.1004,1.6721,-11.158,2.6849,,,,False,0.374,0.799
DDO50,8.1987,1.5682,-11.4499,2.6651,,,,False,0.371,0.8
DDO52,8.1004,1.6628,-11.1507,2.6496,,,,False,0.321,0.78
DDO53,7.0,1.3802,-11.4365,2.0878,,,,False,0.083,0.834
DDO63,7.8998,1.5441,-11.3506,2.4935,,,,False,0.296,0.799
DDO69,6.8,1.5185,-11.0322,2.0983,,,,False,0.041,0.834
DDO70,7.1004,1.3617,-11.5294,2.1251,,,,False,0.107,0.863
DDO75,7.301,1.4314,-11.4328,2.2376,,,,False,0.18,0.863
DDO87,7.6998,1.5051,-11.3599,2.3859,,,,False,0.26,0.8
F561-1,9.1987,1.9542,-10.841,3.2143,,,,False,0.564,0.334
F563-1,9.4997,1.9912,-10.8572,3.3414,,,,False,0.59,0.285
F563-V2,9.1004,1.9294,-10.8636,3.1624,,,,False,0.532,0.334
F568-3,9.5999,2.0043,-10.8717,3.3952,,,,False,0.675,0.284
F571-8,9.8,2.0414,-10.8584,3.4932,,,,False,0.691,0.285
F574-1,9.3997,1.9777,-10.8562,3.2999,,,,False,0.607,0.285
F583-1,9.301,1.9638,-10.8519,3.2538,,,,False,0.61,0.308
IC2574,8.3997,1.7404,-11.1159,2.8476,,,,False,0.451,0.76
NGC0024,9.4997,1.9912,-10.8706,3.3548,,,,False,0.611,0.285
NGC0055,9.1987,1.9542,-10.8687,3.242,,,,False,0.609,0.334
NGC0100,9.1004,1.9294,-10.8858,3.1847,,,,False,0.509,0.334
NGC0247,9.3997,1.9777,-10.8724,3.3162,,,,False,0.617,0.285
NGC0300,9.301,1.9638,-10.865,3.267,,,,False,0.554,0.308
NGC0801,10.4997,2.1761,-10.7924,3.8312,,,,False,0.891,0.038
NGC1003,9.5999,2.0043,-10.8924,3.4159,,,,False,0.68,0.284
NGC2366,7.8,1.5798,-11.2693,2.5193,,,,False,0.301,0.799
NGC2403,9.8,2.1303,-10.6971,3.5986,,,,False,0.67,0.285
NGC2841,11.1004,2.5051,-10.1959,4.2219,,,,False,1.0,0.038
NGC2903,10.5999,2.2672,-10.6299,3.9421,,,,False,0.855,0.038
NGC2976,9.1004,1.9294,-10.5651,2.8639,,,,False,0.532,0.334
NGC3109,8.1987,1.8261,-10.9895,2.9784,,,,False,0.367,0.8
NGC3198,10.301,2.1847,-10.7055,3.7702,,,,False,0.833,0.038
NGC3521,10.8,2.3617,-10.4632,4.0589,,,,False,0.92,0.038
NGC3741,7.3997,1.699,-10.8768,2.4843,,,,False,0.16,0.834
NGC4736,10.3997,2.2304,-10.6349,3.8368,,,,False,0.802,0.038
NGC5055,10.6998,2.301,-10.5704,3.984,,,,False,0.937,0.038
NGC6503,9.6998,2.0645,-10.7146,3.4186,,,,False,0.694,0.285
NGC7331,11.0,2.3892,-10.422,4.1002,,,,False,0.979,0.038
UGC0128,9.0,1.9031,-10.8981,3.1179,,,,False,0.592,0.334
UGC1281,8.5999,1.7782,-11.0698,2.9149,,,,False,0.413,0.387
UGC2259,9.1987,1.9542,-10.8754,3.2487,,,,False,0.647,0.334
UGC4325,9.3997,1.9777,-10.8623,3.3061,,,,False,0.709,0.285
