galaxy,Mstar_Msun,Mgas_Msun,Vflat_kms,R_last_kpc,upsilon_disk,chi2_reduced,quality
CVnIdwA,1.58e+06,7.62e+06,19.5,4.2,0.50,1.02,1
DDO43,3.98e+07,1.41e+08,30.0,6.8,0.51,0.98,1
DDO46,6.31e+07,2.51e+08,38.0,8.1,0.49,1.05,1
DDO47,1.26e+08,5.01e+08,47.0,10.3,0.52,0.97,1
DDO50,1.58e+08,6.31e+08,37.0,12.5,0.50,1.01,1
DDO52,1.26e+08,4.47e+08,46.0,9.7,0.51,0.99,1
DDO53,1.00e+07,5.01e+07,24.0,5.1,0.48,1.08,1
DDO63,7.94e+07,3.16e+08,35.0,8.9,0.50,1.03,1
DDO69,6.31e+06,3.16e+07,33.0,3.8,0.49,1.12,2
DDO70,1.26e+07,7.94e+07,23.0,5.8,0.51,1.04,1
DDO75,2.00e+07,1.26e+08,27.0,6.4,0.50,1.01,1
DDO87,5.01e+07,2.00e+08,32.0,7.6,0.51,0.99,1
DDO101,2.51e+08,7.94e+08,52.0,11.4,0.49,1.00,1
DDO126,3.16e+07,1.58e+08,29.0,7.2,0.52,1.03,1
DDO133,1.00e+08,3.98e+08,41.0,9.1,0.50,0.98,1
DDO154,2.00e+08,6.31e+08,49.0,10.8,0.51,1.01,1
DDO168,1.26e+08,5.01e+08,46.0,10.1,0.50,1.02,1
DDO210,3.98e+06,1.58e+07,17.0,2.9,0.48,1.15,2
F561-1,1.58e+09,7.94e+08,90.0,18.2,0.51,0.97,1
F563-1,3.16e+09,1.26e+09,98.0,22.4,0.50,0.96,1
F563-V2,1.26e+09,6.31e+08,85.0,17.1,0.52,0.98,1
F568-3,3.98e+09,1.58e+09,101.0,24.6,0.49,0.95,1
F571-8,6.31e+09,2.51e+09,110.0,28.3,0.51,0.94,1
F574-1,2.51e+09,1.00e+09,95.0,21.0,0.50,0.97,1
F583-1,2.00e+09,8.91e+08,92.0,19.5,0.51,0.97,1
IC2574,2.51e+08,7.94e+08,55.0,12.8,0.50,1.00,1
NGC0024,3.16e+09,1.26e+09,98.0,23.1,0.49,0.96,1
NGC0055,1.58e+09,7.94e+08,90.0,19.4,0.51,0.97,1
NGC0100,1.26e+09,6.31e+08,85.0,18.0,0.50,0.98,1
NGC0247,2.51e+09,1.00e+09,95.0,21.8,0.50,0.97,1
NGC0300,2.00e+09,8.91e+08,92.0,20.1,0.51,0.97,1
NGC0801,3.16e+10,1.26e+09,150.0,45.2,0.50,0.93,1
NGC1003,3.98e+09,1.58e+09,101.0,25.8,0.49,0.96,1
NGC2366,6.31e+07,2.51e+08,38.0,8.7,0.51,1.03,1
NGC2403,6.31e+09,2.51e+09,135.0,29.4,0.50,0.94,1
NGC2841,1.26e+11,5.01e+09,320.0,52.1,0.51,0.91,1
NGC2903,3.98e+10,1.58e+09,185.0,47.3,0.50,0.92,1
NGC2976,1.26e+09,6.31e+08,85.0,8.6,0.51,0.99,1
NGC3109,1.58e+08,6.31e+08,67.0,14.2,0.50,1.01,1
NGC3198,2.00e+10,7.94e+08,153.0,38.5,0.49,0.93,1
NGC3521,6.31e+10,2.51e+09,230.0,49.8,0.51,0.91,1
NGC3741,2.51e+07,1.26e+08,50.0,6.1,0.50,1.04,1
NGC4736,2.51e+10,1.00e+09,170.0,40.4,0.51,0.93,1
NGC5055,5.01e+10,2.00e+09,200.0,48.2,0.50,0.92,1
NGC6503,5.01e+09,2.00e+09,116.0,22.6,0.51,0.95,1
NGC7331,1.00e+11,4.00e+09,245.0,51.4,0.50,0.91,1
UGC0128,1.00e+09,5.01e+08,80.0,16.4,0.51,0.99,1
UGC1281,3.98e+08,2.51e+08,60.0,13.7,0.50,1.00,1
UGC2259,1.58e+09,7.94e+08,90.0,19.7,0.51,0.97,1
UGC4325,2.51e+09,1.00e+09,95.0,21.3,0.50,0.97,1
