galaxy,f_gas,logMgas,logMstar,V_gas_flat_kms,logV_gas,slope_gas,intercept_gas,p_valor_gas,r2_gas,n_puntos_gas,reliable_gas,beta,reliable
CVnIdwA,0.8282608695652174,6.8819549713396,6.198657086954422,19.5,1.290034611362518,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.512,True
DDO43,0.7798672566371682,8.14921911265538,7.599883072073688,30.0,1.4771212547196624,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.498,True
DDO46,0.7991085641515441,8.399673721481038,7.800029359244134,38.0,1.5797835966168101,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.503,True
DDO47,0.7990430622009569,8.699837725867246,8.100370545117563,47.0,1.6720978579357175,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.489,True
DDO50,0.7997465145754119,8.800029359244133,8.198657086954423,37.0,1.568201724066995,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.521,True
DDO52,0.7801047120418848,8.650307523131936,8.100370545117563,46.0,1.662757831681574,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.495,True
DDO53,0.8336106489184693,7.699837725867246,7.0,24.0,1.380211241711606,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.507,True
DDO63,0.7991906929691451,8.499687082618404,7.899820502427096,35.0,1.5440680443502757,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.514,True
DDO69,0.8335531522025851,7.4996870826184034,6.800029359244134,33.0,1.5185139398778875,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.488,True
DDO70,0.8630434782608696,7.899820502427096,7.1003705451175625,23.0,1.3617278360175928,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.501,True
DDO75,0.863013698630137,8.100370545117563,7.301029995663981,27.0,1.4313637641589874,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.496,True
DDO87,0.7996801279488205,8.301029995663981,7.699837725867246,32.0,1.505149978319906,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.509,True
DDO101,0.7598086124401914,8.899820502427096,8.399673721481038,52.0,1.7160033436347992,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.518,True
DDO126,0.8333333333333334,8.198657086954423,7.4996870826184034,29.0,1.462397997898956,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.494,True
DDO133,0.7991967871485943,8.599883072073688,8.0,41.0,1.6127838567197355,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.506,True
DDO154,0.7593261131167268,8.800029359244133,8.301029995663981,49.0,1.6901960800285136,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.511,True
DDO168,0.7990430622009569,8.699837725867246,8.100370545117563,46.0,1.662757831681574,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.499,True
DDO210,0.7987866531850354,7.198657086954423,6.599883072073688,17.0,1.2304489213782739,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.487,True
F561-1,0.33445661331086773,8.899820502427096,9.198657086954423,90.0,1.9542425094393248,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.523,True
F563-1,0.2850678733031674,9.100370545117563,9.499687082618404,98.0,1.9912260756924949,0.4609961748861608,-2.180587166042077,4.7484878040150257e-17,0.7725777543441069,50,True,0.531,True
