# GXY_D13.8_V144_SCM_01 — Motor de Velos SCM rotation curve
# Distance: 13.8 Mpc  |  MOND asymptotic velocity: ~144 km/s
# Columns: r [kpc], Vobs [km/s], eVobs [km/s],
#          Vdisk [km/s at Upsilon=1], Vgas [km/s], Vbul [km/s at Upsilon_bul=1]
# True model: Universal-SCM  Upsilon=0.5  V_ext=30 km/s  a0=3703 (km/s)^2/kpc
# Seed: 20260211
r,Vobs,eVobs,Vdisk,Vgas,Vbul
0.5,34.13,9.0,11.292,7.437,0
1.0,56.56,7.0,20.012,9.676,0
1.5,48.05,6.5,27.542,10.903,0
2.0,51.87,6.0,34.225,11.583,0
3.0,74.82,5.5,45.693,12.009,0
4.0,91.68,5.0,55.218,11.738,0
5.5,82.65,5.0,66.756,10.719,0
7.0,106.95,5.0,75.74,9.418,0
9.0,112.87,5.0,84.69,7.652,0
11.0,137.99,5.0,90.982,6.061,0
13.5,133.65,5.5,96.048,4.427,0
16.0,139.33,6.0,98.802,3.177,0
19.0,148.06,7.0,99.925,2.1,0
22.5,158.46,8.0,99.183,1.275,0
