source_id,ra,dec,theta_jet,r15,delta,theta_pred,residual_theta,logr15,failure_type,bin,geom_pred,I_BH,coupling,logr15_sq,regime,regime_bin,energy_proxy,res_abs
0003-066,1.55789,-6.39315,16.5,8.8,5.1,19.34288320452176,-2.842883204521762,0.9444826721501688,normal,4,98.64870249837988,98.64870249837988,4.8168616,0.8920475,LOW,0,98.64870434306096,2.842883204521762
0016+731,4.94078,73.45834,31.0,1.9,7.8,30.3416765429816,0.6583234570184011,0.2787536009528289,normal,1,236.665082822472,236.665082822472,2.1742783,0.07770357,LOW,0,236.66507703525647,0.6583234570184011
0059+581,15.69068,58.40309,26.9,4.0,21.9,25.00019374600497,1.8998058725252989,0.6020599913279624,normal,2,547.5042335006918,547.5042335006918,13.185114,0.36247626,LOW,0,547.5042430375088,1.8998058725252989
0106+013,17.1615,1.5834,24.1,4.1,18.2,24.823020799469013,-0.7230204179992867,0.6127838567197355,normal,2,451.778997488798,451.778997488798,11.152666,0.37550405,LOW,0,451.778978550336,0.7230204179992867
0133+476,24.24414,47.85808,28.4,3.9,20.5,25.181853230394253,3.21814638813602,0.5910646070264992,normal,2,516.2279912230822,516.2279912230822,12.116825,0.3493574,LOW,0,516.2279912230822,3.21814638813602
0202+149,31.21006,15.2364,21.0,7.5,15.0,20.489823868412355,0.5101761315876452,0.8750612633917001,normal,4,307.3473580261853,307.3473580261853,13.125919,0.7657322,LOW,0,307.3473580261853,0.5101761315876452
0212+735,34.37839,73.82573,11.6,17.0,8.4,14.61831265655151,-3.018312275081783,1.230448921378274,normal,6,122.79382073858896,122.79382073858896,10.335771,1.5140046,HIGH,1,122.79382631503267,3.018312275081783
0215+015,34.45398,1.74714,37.5,5.1,27.1,23.257015244644773,14.242984755355227,0.7075701760979364,over_open,3,630.2651220017206,630.2651220017206,19.175152,0.5006556,LOW,0,630.2651131298734,14.242984755355227
0234+285,39.46836,28.8025,23.2,12.2,16.0,16.998870035424332,6.201130727515121,1.0863598306747482,normal,5,271.9819205667893,271.9819205667893,17.381758,1.1801777,HIGH,1,271.9819205667893,6.201130727515121
0238-084,40.26999,-8.25576,12.5,14.1,0.3,15.960344845287764,-3.4603448452877643,1.14921911265538,normal,5,4.7881036438484665,4.7881036438484665,0.34476575,1.3207047,HIGH,1,4.788103453586329,3.4603448452877643
0333+321,54.12545,32.30815,9.2,12.2,22.0,16.998870035424332,-7.798870226159195,1.0863598306747482,normal,5,373.9751407793353,373.9751407793353,23.899918,1.1801777,HIGH,1,373.9751407793353,7.798870226159195
0336-019,54.87891,-1.77661,29.6,5.0,17.2,23.39910240163378,6.200897979835947,0.6989700043360189,normal,3,402.4645791601994,402.4645791601994,12.0222845,0.4885591,LOW,0,402.464561308101,6.200897979835947
0415+379,64.58865,38.02661,7.9,10.9,2.0,17.807319340799292,-9.90731924543186,1.0374264979406236,over_collimated,5,35.614638681598585,35.614638681598585,2.074853,1.0762537,HIGH,1,35.614638681598585,9.90731924543186
0420-014,65.81584,-1.34252,25.2,5.2,19.7,23.11768736752078,2.082313395418673,0.7160033436347992,normal,3,455.4184587775552,455.4184587775552,14.105267,0.5126608,LOW,0,455.41844114015936,2.082313395418673
