# Representative synthetic rotmod for DDO70
# Format: r_kpc  Vobs  errV  Vgas  Vdisk  Vbul  Vbar
# Generated for CI validation; kinematics approximate published SPARC/LITTLE THINGS values
1.200000e-01  5.529300e+00  3.000000e+00  3.829160e+00  2.377853e+00  0.000000e+00  4.507400e+00
2.500000e-01  1.105860e+01  3.000000e+00  7.604786e+00  4.804268e+00  0.000000e+00  8.995208e+00
3.700000e-01  1.547859e+01  3.000000e+00  1.055594e+01  6.810137e+00  0.000000e+00  1.256208e+01
5.000000e-01  1.946050e+01  3.000000e+00  1.315181e+01  8.686988e+00  0.000000e+00  1.576179e+01
6.200000e-01  2.245916e+01  3.000000e+00  1.506520e+01  1.015221e+01  0.000000e+00  1.816667e+01
7.500000e-01  2.509965e+01  3.000000e+00  1.672103e+01  1.148276e+01  0.000000e+00  2.028415e+01
8.700000e-01  2.708821e+01  3.000000e+00  1.795098e+01  1.251065e+01  0.000000e+00  2.188045e+01
1.000000e+00  2.886216e+01  3.000000e+00  1.903664e+01  1.344640e+01  0.000000e+00  2.330664e+01
1.120000e+00  3.022380e+01  3.000000e+00  1.986310e+01  1.417646e+01  0.000000e+00  2.440317e+01
1.250000e+00  3.146440e+01  3.000000e+00  2.061127e+01  1.485029e+01  0.000000e+00  2.540385e+01
1.370000e+00  3.243714e+01  3.000000e+00  2.119492e+01  1.538418e+01  0.000000e+00  2.618965e+01
1.500000e+00  3.334153e+01  3.000000e+00  2.173537e+01  1.588476e+01  0.000000e+00  2.692122e+01
1.750000e+00  3.474795e+01  3.000000e+00  2.257199e+01  1.667077e+01  0.000000e+00  2.806081e+01
2.000000e+00  3.583593e+01  3.000000e+00  2.321628e+01  1.728466e+01  0.000000e+00  2.894400e+01
2.250000e+00  3.670020e+01  3.000000e+00  2.372649e+01  1.777563e+01  0.000000e+00  2.964658e+01
2.500000e+00  3.740209e+01  3.000000e+00  2.413991e+01  1.817634e+01  0.000000e+00  3.021779e+01
2.750000e+00  3.798275e+01  3.000000e+00  2.448135e+01  1.850907e+01  0.000000e+00  3.069075e+01
2.820000e+00  3.812772e+01  3.000000e+00  2.456653e+01  1.859230e+01  0.000000e+00  3.080889e+01
