Galaxy,RA,DEC,T,D,e_D,Inc,e_Inc,L36,e_L36,Re,MHI,Vflat,e_Vflat,Q,Ref
NGC0759,58.05784,-42.735368,3,55.37,4.9,77.7,7.0,46858877993.0,216295838.9,7.14,834291149.3,61.5,22.9,1,10
UGC6202,180.376119,50.516457,4,143.81,6.52,45.7,2.2,2569613592.3,15465056.5,23.89,40235085.3,138.1,5.7,1,2
DDO5253,54.832357,-40.136193,6,149.32,3.19,40.7,3.5,2680867007.5,8058551098.7,25.51,4615046540.6,227.9,24.6,1,17
IC3539,250.675335,-25.83359,4,116.04,17.5,59.6,2.2,64065737734.0,85499299.2,29.85,2724313695.5,54.6,28.2,2,3
ESO3492,160.616259,-41.566393,5,47.33,5.74,57.8,3.6,150820395.9,36990523.3,26.25,111864126.1,159.8,19.0,3,13
F6875,137.167641,-46.141192,-2,103.46,11.27,46.6,7.1,442114566.4,72134313.9,26.75,544286910.9,211.0,21.9,1,18
CamB0733,108.544352,-57.462238,8,106.11,15.86,59.1,9.2,5718919395.2,7818430584.8,9.77,26489996.4,202.6,22.0,1,14
NGC5594,226.901734,-53.352551,2,58.79,15.7,80.8,2.8,385886449.7,19180422.1,12.35,8261116444.5,244.2,29.8,3,15
UGC1651,130.25254,-39.043023,-1,96.49,8.82,50.4,5.9,10929015140.9,3998610678.9,8.41,5113026727.0,252.6,11.6,3,6
DDO0798,31.553971,-53.594168,7,2.6,9.58,32.8,7.3,438810355.6,1329020510.0,18.39,5830321713.2,227.9,6.6,2,16
IC4235,42.482125,10.937258,6,32.15,19.89,44.5,9.6,198367679.0,3090704877.2,28.19,99194854.1,75.7,16.5,2,8
ESO7806,346.283159,21.685743,-3,79.24,13.52,45.6,6.5,417787535.6,8466279874.8,10.67,32166523.2,168.8,16.9,2,2
F5899,327.089049,-12.764345,-1,25.4,16.31,28.5,3.3,1854394381.6,3360964819.4,16.93,43183365.9,200.9,7.0,1,7
CamB6101,251.894568,-21.841068,-3,25.72,18.06,30.6,6.6,337609685.6,6763119385.3,9.24,18621050.3,111.4,19.2,1,7
NGC5753,95.713186,0.543148,0,125.61,15.77,64.5,3.9,253557274.4,24032877.4,5.51,22926190.2,60.6,2.4,3,10
UGC6299,348.903496,45.000593,-2,148.38,3.79,42.1,9.8,38093042272.9,2439864429.3,6.26,16364909.3,105.9,28.0,2,6
DDO4130,280.350325,42.135795,6,83.84,11.29,82.1,4.6,914516637.4,433537912.6,2.21,9321143791.4,163.7,9.4,3,9
IC1068,258.080468,-54.782993,3,126.02,2.13,35.8,7.2,1208581826.8,427057924.7,28.5,16679116.8,153.5,3.1,3,9
ESO6725,161.770141,-38.220191,9,148.56,13.09,26.4,1.2,146491096.1,4974675181.0,12.38,24981944.7,94.2,5.0,1,7
F3630,98.006962,-31.590615,6,22.1,19.11,69.0,4.6,1180616559.8,8230220218.9,25.11,3032241496.2,256.1,8.7,1,14
CamB4027,34.700746,-30.073491,4,67.79,10.3,77.3,8.9,622904591.3,1301712181.8,20.6,550453516.2,281.4,9.7,3,6
NGC2997,324.936863,8.547918,3,59.49,8.72,38.1,6.5,6783521440.9,281070436.7,6.16,2104997642.1,100.3,2.9,1,15
UGC1501,164.079464,-10.048509,-3,12.93,0.81,33.1,5.0,413210066.4,233997691.9,5.68,781152853.1,282.4,9.8,2,5
DDO7417,72.850811,-54.089506,-3,113.54,19.2,32.1,9.4,46248362367.7,144219628.2,24.45,4431239372.8,54.5,7.4,3,17
IC6263,110.144385,-15.166303,5,65.63,2.15,53.9,8.7,61517667830.8,121561790.6,8.31,823005207.7,281.2,12.6,3,7
ESO5168,208.519045,2.850354,-3,70.93,0.92,50.4,3.9,199293517.1,149458467.6,27.44,368447215.5,288.0,12.8,3,1
F3249,63.638202,-47.799372,-3,23.45,5.0,36.9,5.9,209994958.7,18589157.4,4.63,1374830256.5,53.0,11.5,1,3
CamB6590,308.381142,40.015026,-1,27.96,1.4,22.9,5.4,221809076.8,17072937.7,20.49,219876216.6,240.8,11.2,1,16
NGC4386,273.067031,-53.764576,8,136.16,9.16,51.3,6.7,7222836248.6,2185795520.6,24.53,109192162.9,292.6,4.5,1,17
UGC3575,259.006664,50.981024,2,7.65,10.37,82.4,4.0,232223888.4,217880658.3,7.44,252904966.1,276.5,2.7,1,5
DDO3631,155.553494,-48.106423,6,35.69,6.32,62.4,3.2,36070067396.3,6195173386.5,8.65,32295522.5,292.7,7.7,1,12
IC1856,225.831183,41.228994,2,44.52,1.11,52.2,9.2,18315321428.7,686535542.3,28.95,2453099643.8,187.6,23.2,3,11
ESO0782,210.275269,48.318377,-1,74.04,2.32,27.2,9.3,28802260546.4,12750521.5,8.31,60549609.1,69.5,29.7,1,3
F4458,233.944777,57.548482,1,88.38,7.75,36.4,8.6,3786008465.1,29687253.7,13.18,28879830.4,262.4,28.0,3,9
CamB7108,30.399956,36.243106,-2,74.5,1.3,39.2,9.8,97730840673.9,41443781.9,13.26,54834858.3,203.5,16.1,2,14
NGC0557,149.690665,33.537305,7,13.53,13.99,69.7,7.7,135682959.8,8456839205.1,7.96,3359003491.9,203.7,16.9,2,19
UGC6873,14.981103,17.097993,-1,37.31,4.22,77.0,7.9,1598802772.0,45301510.0,23.39,97859701.5,154.3,10.8,1,17
DDO6629,177.836695,33.479563,1,126.69,6.11,78.6,7.9,937151936.2,352587595.2,23.27,1143272108.6,193.0,23.7,1,2
IC2250,118.750036,-43.853735,9,96.0,7.94,84.0,5.3,70135273698.8,6434736907.6,11.66,3708761380.4,88.4,23.4,2,5
ESO5071,52.028708,4.328164,4,97.72,8.39,83.9,5.1,5377530416.0,8542366290.9,25.14,17109369.3,234.9,25.6,1,9
F1363,37.225068,1.706744,2,100.86,0.13,81.9,3.2,26216390438.5,51177763.9,6.79,1972755285.0,68.8,27.1,3,3
CamB6076,211.552046,42.908657,4,114.67,2.33,24.7,6.8,324357228.6,14039541.7,0.63,83752233.8,232.4,14.2,1,11
NGC5619,61.413469,-4.464076,7,9.66,17.27,29.0,3.6,86278469337.8,28893855.6,17.35,44654691.4,262.2,23.5,1,1
UGC2868,333.043243,-13.78926,0,55.62,0.12,39.8,3.3,3132698799.3,15487646.8,29.83,1166015590.6,168.1,24.6,3,3
DDO0589,209.18201,16.747593,5,81.39,10.21,55.9,6.3,3027026540.6,38492199.1,1.64,5362778606.5,177.5,10.6,2,1
IC7767,124.87313,-28.024402,8,51.43,9.84,26.3,4.7,81781333103.7,507819231.7,6.64,76746331.7,128.1,28.0,1,6
ESO3593,212.729577,-43.227791,4,126.83,6.73,75.0,3.0,1387385284.1,5461933256.8,15.81,508746478.6,292.4,4.6,3,15
F7150,8.209394,-2.654727,2,72.9,8.68,60.1,8.3,1558027337.6,408937230.2,24.39,74046126.0,233.3,29.8,1,4
CamB5439,345.081317,-9.973276,-2,115.53,15.63,55.3,8.7,5678820068.3,755037757.5,3.13,460104792.7,142.2,23.6,3,19
NGC6238,173.629237,-32.091607,0,127.95,16.84,30.7,2.5,242190905.9,40327542.2,12.16,733814167.0,93.7,4.6,3,6
UGC6091,281.784682,-15.898583,9,76.21,5.28,36.5,1.1,918875938.3,2522033564.1,22.54,677651129.2,104.9,20.4,3,1
DDO1597,29.7828,-16.032906,4,136.52,6.52,30.4,4.0,379861227.5,713455229.4,11.46,742401958.5,166.0,3.0,3,7
IC2943,175.196999,-20.700532,0,88.48,4.93,75.4,8.2,204103493.0,3912104864.4,6.07,25423736.4,285.6,23.6,1,15
ESO3760,176.654518,-14.46431,2,127.69,9.65,58.0,8.6,39667407619.5,7023107580.4,6.27,1203985921.8,233.5,24.4,3,3
F4007,337.617524,22.289201,4,51.75,13.7,67.8,2.2,5861293897.8,110586554.5,12.6,1057428640.6,103.8,18.9,1,2
CamB0398,205.822099,-24.374823,3,75.32,4.64,39.2,8.0,1191292409.4,18695503.9,14.64,1116257440.3,264.9,26.0,2,17
NGC4395,170.456184,53.862951,6,80.18,6.68,44.1,2.0,1682705569.2,47619724.0,25.92,16680599.6,144.6,4.7,1,12
UGC1276,96.111239,49.961762,0,16.64,18.61,46.3,4.5,1970411851.8,205837594.1,19.45,219036518.2,262.9,9.7,2,7
DDO5959,119.364839,-2.290749,5,60.38,1.07,69.4,10.0,7933184349.4,6871965262.3,20.87,168696237.4,110.4,13.6,3,15
IC5480,187.442065,-20.596655,2,137.68,9.27,70.2,2.7,60298731285.1,136436153.5,29.5,18202643.0,204.7,3.2,2,17
ESO7384,158.008126,4.252175,9,94.99,14.26,33.4,2.4,62854859359.1,2052672391.1,12.65,46462629.4,281.7,14.6,1,7
F5970,7.780349,41.827259,-1,27.45,3.09,81.2,4.8,1494431243.4,418244343.9,12.4,210323546.1,114.5,9.4,1,11
CamB2964,297.465093,18.310481,-2,51.49,1.04,27.8,6.6,972271104.3,35353003.1,27.74,1693241599.1,223.2,13.0,3,1
NGC7741,322.617878,36.527019,3,29.55,2.85,78.2,9.4,2254963416.9,91664749.7,7.75,51426412.7,296.8,13.9,2,6
UGC3316,50.489672,3.926673,3,4.7,18.38,26.5,9.8,5055949078.8,911120157.6,22.03,3084961371.6,87.6,26.6,2,12
DDO2640,199.453012,15.950116,5,139.19,0.28,37.2,1.6,2429146649.8,1043662752.4,22.76,433905202.4,72.1,9.6,2,4
IC7249,39.087267,-25.421326,2,67.78,3.85,75.0,2.2,9468043170.0,201501944.0,3.38,1911019222.5,218.5,27.0,1,19
ESO2995,242.006433,28.187179,8,46.82,0.72,31.7,8.1,4604654719.5,48521789.3,14.31,261618198.0,134.9,13.9,2,19
F0656,101.244162,-35.711449,3,90.17,2.3,46.9,3.4,916529905.4,1464604413.5,6.42,314472502.2,67.8,11.2,2,5
CamB3782,237.392148,23.375775,-2,2.09,12.44,49.2,9.0,1089412658.5,32108434.0,5.97,723033081.1,168.8,16.1,3,8
NGC6375,261.718061,43.286288,-2,42.43,4.91,35.9,7.0,1367030998.6,6456677216.3,14.18,6080115431.9,238.4,13.7,2,4
UGC1556,276.713097,-44.14766,9,105.75,11.43,66.2,2.0,192273443.7,36619358.9,9.04,298839323.3,121.3,9.2,3,10
DDO3730,38.786741,13.725569,-2,95.43,11.84,75.3,8.5,314911048.0,20986358.6,23.98,385454051.0,133.8,16.1,3,3
IC1082,329.764264,-48.58851,9,147.29,17.0,76.8,2.6,14768670679.1,311130872.7,27.27,639721417.1,261.4,6.3,1,8
ESO5507,82.877037,27.085875,0,93.43,0.19,42.1,4.8,1469907935.7,361950177.8,24.18,1631343481.3,180.0,11.9,2,11
F3831,13.46852,-49.860814,-2,72.15,17.08,54.5,6.0,440166430.4,334640687.9,8.35,16426725.7,260.7,17.8,2,12
CamB2675,199.746889,52.312779,0,114.45,12.42,36.1,5.5,4875478344.0,204174954.8,8.59,352421435.3,161.6,13.6,1,12
NGC1853,133.532022,-43.511048,4,135.6,3.34,35.9,7.2,18476454098.3,9648164032.6,8.01,278467661.4,288.2,25.1,1,5
UGC4537,298.724308,55.06563,2,108.38,15.48,30.5,6.9,591925550.9,287635071.0,4.48,5821768778.7,212.7,9.2,3,16
DDO5375,290.97053,36.106101,7,144.52,17.12,81.1,9.9,30225232188.5,271543706.8,28.34,302356800.7,79.0,29.2,2,14
IC7525,114.170001,11.241841,4,117.52,5.16,77.7,10.0,60605854502.6,184203631.6,12.36,254074806.8,271.3,24.0,1,15
ESO3525,343.043782,33.914893,2,130.15,18.38,70.5,5.6,6197029837.8,15866358.5,7.13,7701937066.1,172.3,29.1,1,9
F1327,104.730422,35.413781,5,18.0,9.14,53.6,1.9,10158813255.5,600993664.0,25.48,224765365.5,85.4,25.5,1,17
CamB6669,185.420567,53.523248,9,110.13,12.11,51.9,7.6,143789764.0,48295127.5,12.28,34886169.9,88.2,6.0,1,8
NGC5056,92.147433,-29.593998,2,66.57,19.69,54.4,9.8,68637218105.7,818138708.2,1.54,44745397.3,221.9,16.7,1,16
UGC5617,336.975685,10.809107,-2,83.41,7.29,54.9,3.9,1504714835.3,14206934.8,5.28,19300235.8,61.8,6.8,3,4
DDO0822,59.258814,-48.594096,2,98.46,16.28,48.2,5.2,59115477462.7,8793490601.7,19.36,10039322.1,121.6,24.9,3,5
IC2533,16.167823,13.939884,7,145.5,6.44,28.6,4.8,5456731368.4,255279086.5,23.6,197622770.3,84.9,18.4,2,11
ESO6154,156.634942,-39.445044,-1,147.7,16.0,28.2,1.5,103241997.0,4900790242.4,6.72,2031083340.1,160.3,9.4,2,11
F6666,357.255203,7.794073,9,43.95,12.05,81.9,7.1,130504653.5,267105923.7,27.56,1586351152.3,153.6,28.0,3,15
CamB3509,321.003816,8.691662,4,110.33,4.41,51.3,4.2,10996549082.3,15170240.1,25.6,12486688.1,180.5,5.2,3,6
NGC6447,269.498887,-4.081782,4,112.75,8.34,82.0,8.1,4875330270.1,2928469048.7,25.53,512800819.8,119.9,17.8,1,17
UGC6741,320.685297,2.715813,1,52.63,6.42,30.6,8.5,120115018.3,880138844.9,7.22,29030156.4,58.0,22.2,3,7
DDO3130,321.64079,31.670807,8,19.46,1.65,56.0,8.4,16997297806.3,2214476840.6,1.99,6656238185.9,203.6,3.6,1,11
IC7189,186.78901,35.909366,-3,7.1,0.69,33.5,4.7,36011068790.7,192534956.2,26.09,31775690.7,143.4,18.7,1,18
ESO2342,113.734459,-0.941614,0,116.82,6.99,36.5,3.9,3084980671.1,819993165.7,9.52,758433754.2,212.8,24.8,2,11
F1954,277.924476,11.951213,2,73.97,0.48,22.0,7.7,2496159434.2,3704136747.6,18.76,95217129.9,77.2,3.9,3,13
CamB5475,238.198055,51.748348,3,147.85,3.39,27.7,8.2,103853067.0,781981229.7,22.92,840783108.2,53.4,16.3,1,18
NGC5112,134.516782,-45.631969,3,70.28,14.53,79.6,5.4,22905993728.7,110413176.5,4.28,172494713.4,112.1,9.2,1,19
