galaxy,ra,dec,D,e_D,Inc,e_Inc,Vflat,e_Vflat,L36,e_L36,MHI,Re,Q,T
NGC0759,58.05784,-42.735368,55.37,4.9,77.7,7.0,61.5,22.9,46858877993.0,216295838.9,834291149.3,7.14,1,3
UGC6202,180.376119,50.516457,143.81,6.52,45.7,2.2,138.1,5.7,2569613592.3,15465056.5,40235085.3,23.89,1,4
DDO5253,54.832357,-40.136193,149.32,3.19,40.7,3.5,227.9,24.6,2680867007.5,8058551098.7,4615046540.6,25.51,1,6
IC3539,250.675335,-25.83359,116.04,17.5,59.6,2.2,54.6,28.2,64065737734.0,85499299.2,2724313695.5,29.85,2,4
ESO3492,160.616259,-41.566393,47.33,5.74,57.8,3.6,159.8,19.0,150820395.9,36990523.3,111864126.1,26.25,3,5
F6875,137.167641,-46.141192,103.46,11.27,46.6,7.1,211.0,21.9,442114566.4,72134313.9,544286910.9,26.75,1,-2
CamB0733,108.544352,-57.462238,106.11,15.86,59.1,9.2,202.6,22.0,5718919395.2,7818430584.8,26489996.4,9.77,1,8
NGC5594,226.901734,-53.352551,58.79,15.7,80.8,2.8,244.2,29.8,385886449.7,19180422.1,8261116444.5,12.35,3,2
UGC1651,130.25254,-39.043023,96.49,8.82,50.4,5.9,252.6,11.6,10929015140.9,3998610678.9,5113026727.0,8.41,3,-1
DDO0798,31.553971,-53.594168,2.6,9.58,32.8,7.3,227.9,6.6,438810355.6,1329020510.0,5830321713.2,18.39,2,7
IC4235,42.482125,10.937258,32.15,19.89,44.5,9.6,75.7,16.5,198367679.0,3090704877.2,99194854.1,28.19,2,6
ESO7806,346.283159,21.685743,79.24,13.52,45.6,6.5,168.8,16.9,417787535.6,8466279874.8,32166523.2,10.67,2,-3
F5899,327.089049,-12.764345,25.4,16.31,28.5,3.3,200.9,7.0,1854394381.6,3360964819.4,43183365.9,16.93,1,-1
CamB6101,251.894568,-21.841068,25.72,18.06,30.6,6.6,111.4,19.2,337609685.6,6763119385.3,18621050.3,9.24,1,-3
NGC5753,95.713186,0.543148,125.61,15.77,64.5,3.9,60.6,2.4,253557274.4,24032877.4,22926190.2,5.51,3,0
UGC6299,348.903496,45.000593,148.38,3.79,42.1,9.8,105.9,28.0,38093042272.9,2439864429.3,16364909.3,6.26,2,-2
DDO4130,280.350325,42.135795,83.84,11.29,82.1,4.6,163.7,9.4,914516637.4,433537912.6,9321143791.4,2.21,3,6
IC1068,258.080468,-54.782993,126.02,2.13,35.8,7.2,153.5,3.1,1208581826.8,427057924.7,16679116.8,28.5,3,3
ESO6725,161.770141,-38.220191,148.56,13.09,26.4,1.2,94.2,5.0,146491096.1,4974675181.0,24981944.7,12.38,1,9
F3630,98.006962,-31.590615,22.1,19.11,69.0,4.6,256.1,8.7,1180616559.8,8230220218.9,3032241496.2,25.11,1,6
CamB4027,34.700746,-30.073491,67.79,10.3,77.3,8.9,281.4,9.7,622904591.3,1301712181.8,550453516.2,20.6,3,4
NGC2997,324.936863,8.547918,59.49,8.72,38.1,6.5,100.3,2.9,6783521440.9,281070436.7,2104997642.1,6.16,1,3
UGC1501,164.079464,-10.048509,12.93,0.81,33.1,5.0,282.4,9.8,413210066.4,233997691.9,781152853.1,5.68,2,-3
DDO7417,72.850811,-54.089506,113.54,19.2,32.1,9.4,54.5,7.4,46248362367.7,144219628.2,4431239372.8,24.45,3,-3
IC6263,110.144385,-15.166303,65.63,2.15,53.9,8.7,281.2,12.6,61517667830.8,121561790.6,823005207.7,8.31,3,5
ESO5168,208.519045,2.850354,70.93,0.92,50.4,3.9,288.0,12.8,199293517.1,149458467.6,368447215.5,27.44,3,-3
F3249,63.638202,-47.799372,23.45,5.0,36.9,5.9,53.0,11.5,209994958.7,18589157.4,1374830256.5,4.63,1,-3
CamB6590,308.381142,40.015026,27.96,1.4,22.9,5.4,240.8,11.2,221809076.8,17072937.7,219876216.6,20.49,1,-1
NGC4386,273.067031,-53.764576,136.16,9.16,51.3,6.7,292.6,4.5,7222836248.6,2185795520.6,109192162.9,24.53,1,8
UGC3575,259.006664,50.981024,7.65,10.37,82.4,4.0,276.5,2.7,232223888.4,217880658.3,252904966.1,7.44,1,2
DDO3631,155.553494,-48.106423,35.69,6.32,62.4,3.2,292.7,7.7,36070067396.3,6195173386.5,32295522.5,8.65,1,6
IC1856,225.831183,41.228994,44.52,1.11,52.2,9.2,187.6,23.2,18315321428.7,686535542.3,2453099643.8,28.95,3,2
ESO0782,210.275269,48.318377,74.04,2.32,27.2,9.3,69.5,29.7,28802260546.4,12750521.5,60549609.1,8.31,1,-1
F4458,233.944777,57.548482,88.38,7.75,36.4,8.6,262.4,28.0,3786008465.1,29687253.7,28879830.4,13.18,3,1
CamB7108,30.399956,36.243106,74.5,1.3,39.2,9.8,203.5,16.1,97730840673.9,41443781.9,54834858.3,13.26,2,-2
NGC0557,149.690665,33.537305,13.53,13.99,69.7,7.7,203.7,16.9,135682959.8,8456839205.1,3359003491.9,7.96,2,7
UGC6873,14.981103,17.097993,37.31,4.22,77.0,7.9,154.3,10.8,1598802772.0,45301510.0,97859701.5,23.39,1,-1
DDO6629,177.836695,33.479563,126.69,6.11,78.6,7.9,193.0,23.7,937151936.2,352587595.2,1143272108.6,23.27,1,1
IC2250,118.750036,-43.853735,96.0,7.94,84.0,5.3,88.4,23.4,70135273698.8,6434736907.6,3708761380.4,11.66,2,9
ESO5071,52.028708,4.328164,97.72,8.39,83.9,5.1,234.9,25.6,5377530416.0,8542366290.9,17109369.3,25.14,1,4
F1363,37.225068,1.706744,100.86,0.13,81.9,3.2,68.8,27.1,26216390438.5,51177763.9,1972755285.0,6.79,3,2
CamB6076,211.552046,42.908657,114.67,2.33,24.7,6.8,232.4,14.2,324357228.6,14039541.7,83752233.8,0.63,1,4
NGC5619,61.413469,-4.464076,9.66,17.27,29.0,3.6,262.2,23.5,86278469337.8,28893855.6,44654691.4,17.35,1,7
UGC2868,333.043243,-13.78926,55.62,0.12,39.8,3.3,168.1,24.6,3132698799.3,15487646.8,1166015590.6,29.83,3,0
DDO0589,209.18201,16.747593,81.39,10.21,55.9,6.3,177.5,10.6,3027026540.6,38492199.1,5362778606.5,1.64,2,5
IC7767,124.87313,-28.024402,51.43,9.84,26.3,4.7,128.1,28.0,81781333103.7,507819231.7,76746331.7,6.64,1,8
ESO3593,212.729577,-43.227791,126.83,6.73,75.0,3.0,292.4,4.6,1387385284.1,5461933256.8,508746478.6,15.81,3,4
F7150,8.209394,-2.654727,72.9,8.68,60.1,8.3,233.3,29.8,1558027337.6,408937230.2,74046126.0,24.39,1,2
CamB5439,345.081317,-9.973276,115.53,15.63,55.3,8.7,142.2,23.6,5678820068.3,755037757.5,460104792.7,3.13,3,-2
NGC6238,173.629237,-32.091607,127.95,16.84,30.7,2.5,93.7,4.6,242190905.9,40327542.2,733814167.0,12.16,3,0
UGC6091,281.784682,-15.898583,76.21,5.28,36.5,1.1,104.9,20.4,918875938.3,2522033564.1,677651129.2,22.54,3,9
DDO1597,29.7828,-16.032906,136.52,6.52,30.4,4.0,166.0,3.0,379861227.5,713455229.4,742401958.5,11.46,3,4
IC2943,175.196999,-20.700532,88.48,4.93,75.4,8.2,285.6,23.6,204103493.0,3912104864.4,25423736.4,6.07,1,0
ESO3760,176.654518,-14.46431,127.69,9.65,58.0,8.6,233.5,24.4,39667407619.5,7023107580.4,1203985921.8,6.27,3,2
F4007,337.617524,22.289201,51.75,13.7,67.8,2.2,103.8,18.9,5861293897.8,110586554.5,1057428640.6,12.6,1,4
CamB0398,205.822099,-24.374823,75.32,4.64,39.2,8.0,264.9,26.0,1191292409.4,18695503.9,1116257440.3,14.64,2,3
NGC4395,170.456184,53.862951,80.18,6.68,44.1,2.0,144.6,4.7,1682705569.2,47619724.0,16680599.6,25.92,1,6
UGC1276,96.111239,49.961762,16.64,18.61,46.3,4.5,262.9,9.7,1970411851.8,205837594.1,219036518.2,19.45,2,0
DDO5959,119.364839,-2.290749,60.38,1.07,69.4,10.0,110.4,13.6,7933184349.4,6871965262.3,168696237.4,20.87,3,5
IC5480,187.442065,-20.596655,137.68,9.27,70.2,2.7,204.7,3.2,60298731285.1,136436153.5,18202643.0,29.5,2,2
