RA,DEC,DELTA_3MPC
236.640226,37.973452,-0.4285
259.27777,-39.806314,-0.9128
230.956993,48.050841,-0.8281
284.487536,62.985973,-0.2545
224.913828,-12.456917,-0.1588
193.502759,28.716499,-0.1444
218.230714,-1.728685,0.5905
36.429612,-67.040783,-0.5789
98.336355,41.18482,-0.2768
189.863921,-10.143524,0.0987
314.275398,-27.645919,0.7967
244.45856,-5.807467,-0.4465
32.546908,14.76906,-0.4692
213.218982,46.236309,-0.1861
79.825676,73.564557,-0.405
264.245962,33.165538,-0.5944
297.878707,88.972667,-0.7373
213.644258,-61.652149,-0.9284
212.89054,-62.219538,0.0685
121.89292,52.277929,-0.0177
160.650008,24.032458,-0.2277
311.079007,65.180636,-0.0796
260.395319,32.209953,-0.5388
187.111317,-87.732733,4.3132
132.563659,31.085248,0.6297
18.136706,-51.902234,4.8003
51.482664,-9.551017,-0.7448
69.489068,34.472221,-0.4729
134.418076,28.131825,-0.4728
339.891713,-21.14292,2.219
181.855222,38.351987,-0.9527
84.542459,79.948136,0.1835
38.070049,-48.461009,-0.2656
121.789989,-68.501567,1.1253
293.663029,-65.696641,-0.69
138.003406,-7.630017,-0.9245
278.10209,-36.31706,4.8834
288.973791,-5.854402,-0.4016
39.895477,-74.818248,0.9095
219.117511,-45.552182,-0.5806
345.274583,-27.510406,1.3788
144.769707,78.091626,0.5366
18.339872,-36.533169,1.6317
332.388968,-81.323796,-0.5907
318.119861,-34.014278,2.0833
187.970921,78.638986,0.1462
198.811123,-13.097371,-0.931
76.226797,57.342405,2.127
295.002272,-41.892839,0.2191
179.496014,-65.559838,-0.5735
12.196006,-0.601927,-0.4795
245.885384,36.316804,-0.8178
342.178657,62.136661,-0.2716
298.494177,-46.612931,0.1852
99.79133,87.597394,-0.3006
19.197031,-1.936664,-0.1955
338.526509,0.411673,-0.6835
337.342581,64.538083,-0.7981
191.669515,-16.684947,-0.3657
231.234268,46.328499,-0.1685
166.536022,12.177619,-0.6278
151.115532,-65.626995,0.0749
43.001437,-84.071938,0.7186
34.831043,78.156617,0.9612
83.783573,65.968583,-0.6606
301.190669,87.038561,-0.9171
52.499628,31.353606,0.0231
81.611515,26.230918,-0.5689
197.501061,-52.464,-0.3737
77.447239,25.613976,-0.6591
58.754406,-2.086953,3.3246
202.793847,-22.079908,-0.6309
132.513578,32.841541,4.7547
225.417343,-74.701004,0.5493
328.393923,0.700013,1.149
54.357527,46.460512,-0.48
328.836118,59.396551,-0.776
324.896388,-1.797243,0.4097
298.47153,-26.534612,-0.0817
227.26293,13.026659,-0.6679
223.252797,-66.915139,0.4267
230.116558,-73.533801,0.2307
248.578398,57.44468,-0.923
5.933592,-67.229884,0.2779
344.913328,-14.891702,0.9342
210.817354,-15.885721,-0.9022
281.327702,86.951402,5.3388
135.821462,36.932315,2.2667
4.462997,47.977452,-0.9228
183.504478,30.584692,-0.6051
182.588443,-40.947169,-0.7922
157.316144,-24.997543,-0.8538
122.298139,-57.016383,-0.1153
89.937392,7.584655,-0.2741
189.916155,-75.975977,-0.7963
135.10013,72.695861,-0.7661
349.175478,-54.639106,-0.3846
62.253831,-51.56999,-0.0059
115.079604,-2.775975,-0.7747
105.82577,-32.440025,-0.3404
195.591303,-60.022278,0.1777
179.740893,87.418701,0.8226
231.746568,-39.663636,-0.1357
342.000637,43.114233,-0.2647
102.679591,40.694541,-0.5445
249.397765,-45.97599,-0.6282
9.014473,-40.016188,-0.2481
94.45985,6.242777,-0.3196
166.939102,64.985239,-0.0036
11.158124,43.116255,-0.7576
222.361006,-35.450697,0.3095
244.191819,-82.225726,-0.902
268.823417,19.332647,0.3761
185.966822,-4.368028,-0.5296
217.420079,-28.099508,-0.8438
142.58349,26.318019,-0.8426
14.851092,81.303453,0.1728
35.982668,72.628556,-0.2954
235.798533,29.820456,-0.2229
358.399908,82.67112,-0.5172
5.689166,-18.787812,-0.6275
200.730059,-71.809895,-0.2994
270.363151,-8.591772,-0.418
297.638938,28.870416,-0.7573
196.273764,54.255732,-0.919
223.169753,78.838571,-0.7386
250.82098,3.087331,-0.2711
309.22785,-22.848543,0.6361
44.024233,-39.300186,-0.9449
333.425591,19.232832,-0.6685
9.366265,34.6976,-0.2191
301.03191,23.831942,-0.2999
27.626554,-54.875617,-0.3555
70.066156,-9.68331,-0.6781
1.401893,-76.630522,-0.7624
160.292414,3.669343,0.0344
120.369322,-51.444084,-0.2043
59.757448,70.051382,-0.4477
162.392458,55.479587,5.6644
144.853518,41.661669,1.6025
276.357972,-69.765897,0.0922
321.52691,-9.57627,0.8364
234.924211,-57.562906,0.3171
44.78774,-82.120479,-0.5638
106.340686,-17.555497,-0.8406
328.794587,-33.52824,0.9277
31.944417,75.278389,-0.4041
146.468102,76.692693,0.786
339.301663,78.268662,0.6193
342.239343,-87.420132,-0.8998
148.033144,3.399717,0.2879
240.26288,-86.717025,3.8566
164.428415,18.805068,-0.5104
271.245794,1.515495,-0.0793
11.369279,-12.531715,1.1148
51.896574,-80.528896,-0.8952
221.111569,-71.123437,-0.9472
83.718814,-33.654056,-0.4959
239.778828,-46.438521,-0.9073
126.440254,-57.810027,2.0535
319.192401,63.231348,0.7061
294.933379,-84.872379,1.8936
177.421608,-50.782451,-0.4245
278.242231,75.066079,1.3325
97.609639,66.907349,-0.3214
177.93352,-26.056382,-0.0182
71.093539,54.794336,6.9439
309.919021,-62.597885,-0.8653
296.304342,25.27673,3.8799
324.773881,68.973217,-0.9362
315.891713,-5.045773,-0.4042
345.454654,-59.96159,0.1886
82.201043,14.184193,-0.664
335.456745,44.671209,-0.1436
205.636749,65.811764,-0.0549
152.09823,-21.756064,0.2777
201.734603,-38.865778,-0.5222
123.336848,33.403603,-0.7313
103.879083,-45.024808,-0.2389
86.873162,-46.300184,-0.5873
29.674076,-57.174236,-0.3718
178.763363,-23.851673,-0.5814
319.594203,-10.934894,-0.2283
226.854709,40.474788,-0.7066
187.551228,-70.606066,-0.658
154.293451,-13.328715,-0.8397
167.184585,28.410925,-0.2676
75.339845,8.091274,-0.7939
296.256916,51.833545,-0.1206
71.417867,70.617017,1.0608
257.984192,-51.706379,2.9779
273.594604,73.556198,-0.4682
206.952855,69.365946,15.9001
310.653495,-24.508292,0.2714
104.778127,56.397677,-0.293
317.3822,2.74122,5.235
262.587765,55.950742,-0.7896
287.549938,44.643157,-0.404
239.248695,83.2325,-0.5755
304.683486,-50.201368,-0.8711
357.515591,42.491818,0.9909
151.258628,-87.498776,-0.1358
293.009646,75.913982,0.3519
268.048713,-54.19625,0.3258
163.03326,-22.782221,-0.9202
333.70164,61.754541,1.5443
141.993335,-4.022469,-0.7534
203.56773,29.4804,0.9607
38.139249,-24.940528,-0.8646
81.27907,9.973323,-0.0593
302.650621,62.182059,-0.7141
142.75898,70.654852,-0.2027
141.870272,-7.866626,-0.4957
88.553167,39.626677,-0.1403
176.97972,-5.900385,-0.5367
290.094106,79.136591,-0.6578
322.259082,40.960725,1.7275
25.241196,-12.369392,1.7263
206.935463,-0.339294,4.961
168.218412,-57.036553,-0.353
221.141466,79.380645,-0.447
161.019247,-44.090034,-0.3088
143.512136,-57.356537,-0.7207
169.877056,-8.618936,-0.8554
209.519686,40.709101,-0.6668
180.353956,32.887124,-0.7362
169.972002,-44.176416,0.2515
294.420712,-42.308937,0.6336
268.433277,-47.585386,-0.9389
122.896258,18.581019,-0.7532
288.207762,82.278334,0.0237
307.314241,70.09412,-0.2385
55.257194,0.811262,-0.5005
209.765686,-21.989599,-0.5176
102.712318,-18.768116,-0.0366
266.102036,55.118791,0.0339
85.962719,27.107208,-0.8663
241.705269,-82.572391,-0.9251
91.844876,-76.383886,-0.4228
184.011755,-3.35614,0.5342
341.512728,5.818027,-0.6246
137.270714,82.909465,7.6966
315.265855,-64.606895,0.7198
355.300049,55.383516,-0.6362
314.946306,71.189108,-0.9201
59.711771,-22.027235,0.5336
295.076959,-60.875887,-0.7669
11.573782,-45.663632,-0.6808
141.588678,29.301037,-0.7472
313.464014,-77.437765,-0.8623
247.950797,69.40777,-0.6647
191.786554,46.190054,-0.6695
139.631049,53.000935,-0.7715
292.426901,43.258206,-0.7074
255.441025,-66.834017,4.321
168.625915,41.560577,0.4722
321.294361,17.854198,-0.4815
82.781286,-80.82619,-0.9213
61.340943,-38.765253,0.1635
231.409355,-13.841947,4.4814
349.917963,7.72343,3.8381
89.012366,-57.505027,-0.4838
89.881336,4.900658,-0.0807
50.219585,82.367944,-0.8393
309.80288,-26.167725,-0.1664
81.503115,-62.734228,0.3824
181.14427,-5.630625,0.1131
356.714092,-8.895401,1.486
4.370724,75.094771,0.3383
200.334993,-6.775842,-0.9145
184.424055,-46.201212,-0.6167
290.681056,-49.593233,1.0026
127.901354,-83.78075,-0.9144
147.722889,43.450245,-0.3414
60.457673,-41.793121,-0.6358
266.693483,51.830782,-0.8627
282.495207,9.058166,0.8755
49.198795,38.096376,-0.7635
141.644547,-53.427433,6.703
321.445798,-62.100147,-0.531
0.974619,-14.732569,1.2031
