galaxy,logM,env_proxy
G0000,8.6,-0.608585
G0001,8.747368,-0.938311
G0002,8.894737,-0.327496
G0003,9.042105,-0.196778
G0004,9.189474,-0.990574
G0005,9.336842,-0.722233
G0006,9.484211,-0.219543
G0007,9.631579,-0.279083
G0008,9.778947,-0.115567
G0009,9.926316,-0.292755
G0010,10.073684,0.300661
G0011,10.221053,0.343864
G0012,10.368421,0.20402
G0013,10.515789,0.596067
G0014,10.663158,0.471832
G0015,10.810526,0.147475
G0016,10.957895,0.589573
G0017,11.105263,0.264967
G0018,11.252632,0.889851
G0019,11.4,0.685022
