# DDO154 — LITTLE THINGS synthetic rotation curve
# Columns: rad [kpc], Vrot [km/s], e_Vrot [km/s], vgas [km/s, face-value], vdisk [km/s at Upsilon=1]
# True upsilon=0.2  SCM coeffs: a=-0.42 b=0.12 d=1.85 logg0=-10.45 C=1.58
# Seed: 20260220
rad,Vrot,e_Vrot,vgas,vdisk
0.3,21.1,4.0,16.123,18.963
0.6,22.36,4.1,20.929,30.189
1.0,30.87,4.1,24.101,39.784
1.5,32.69,4.2,25.588,46.567
2.0,31.19,4.2,25.613,49.779
2.5,34.83,4.3,24.824,50.78
3.0,41.11,4.3,23.574,50.414
3.8,30.78,4.4,21.11,48.27
4.6,29.13,4.5,18.48,45.298
5.5,19.2,4.6,15.626,41.799
6.5,24.32,4.7,12.765,38.214
7.5,20.63,4.8,10.304,35.138
