# IC2574 — LITTLE THINGS synthetic rotation curve
# Columns: rad [kpc], Vrot [km/s], e_Vrot [km/s], vgas [km/s, face-value], vdisk [km/s at Upsilon=1]
# True upsilon=0.3  SCM coeffs: a=-0.42 b=0.12 d=1.85 logg0=-10.45 C=1.58
# Seed: 20260220
rad,Vrot,e_Vrot,vgas,vdisk
0.5,27.32,3.0,20.029,25.966
1.0,31.51,3.0,25.63,41.338
1.5,41.99,3.1,28.403,51.778
2.2,45.05,3.1,29.904,61.115
3.0,53.3,3.1,29.758,66.85
4.0,48.52,3.2,28.132,69.439
5.0,52.36,3.2,25.752,69.032
6.2,42.14,3.3,22.557,66.462
7.5,35.91,3.3,19.129,62.56
9.0,39.67,3.4,15.524,57.758
10.5,27.01,3.4,12.422,53.257
12.0,32.44,3.5,9.838,49.302
14.0,25.49,3.6,7.123,44.926
