# NGC2366 — LITTLE THINGS synthetic rotation curve
# Columns: rad [kpc], Vrot [km/s], e_Vrot [km/s], vgas [km/s, face-value], vdisk [km/s at Upsilon=1]
# True upsilon=0.25  SCM coeffs: a=-0.42 b=0.12 d=1.85 logg0=-10.45 C=1.58
# Seed: 20260220
rad,Vrot,e_Vrot,vgas,vdisk
0.4,26.98,3.5,16.061,21.762
0.8,23.78,3.6,20.445,34.373
1.2,33.02,3.6,22.538,42.75
1.8,33.4,3.6,23.572,50.365
2.4,29.86,3.7,23.243,54.16
3.0,42.03,3.7,22.191,55.551
3.8,34.66,3.8,20.233,55.148
4.6,34.85,3.9,18.035,53.312
5.5,30.18,4.0,15.562,50.471
6.5,25.07,4.0,13.003,47.051
7.5,26.58,4.1,10.736,43.762
8.5,22.3,4.2,8.785,40.79
