# WLM — LITTLE THINGS synthetic rotation curve
# Columns: rad [kpc], Vrot [km/s], e_Vrot [km/s], vgas [km/s, face-value], vdisk [km/s at Upsilon=1]
# True upsilon=0.2  SCM coeffs: a=-0.42 b=0.12 d=1.85 logg0=-10.45 C=1.58
# Seed: 20260220
rad,Vrot,e_Vrot,vgas,vdisk
0.2,14.5,5.1,12.783,21.598
0.4,26.51,5.1,15.821,33.813
0.6,32.53,5.2,16.958,41.717
0.8,35.63,5.3,17.137,46.824
1.0,26.53,5.3,16.768,49.98
1.3,37.65,5.4,15.653,52.222
1.6,23.91,5.6,14.218,52.515
2.0,27.01,5.7,12.175,51.164
2.4,13.62,5.8,10.215,48.808
2.9,21.13,6.0,8.046,45.382
