galaxy_id,logM,logVobs,log_gbar,log_j
CVnIdwA,6.20,1.1139,-12.4609,0.7160
DDO43,7.60,1.4771,-12.0964,1.6232
DDO46,7.80,1.5798,-11.7572,1.7616
DDO47,8.10,1.6721,-11.8542,2.0871
DDO50,8.20,1.5682,-12.1246,1.9106
DDO52,8.10,1.6628,-11.6977,1.9808
DDO53,7.00,1.3802,-11.7481,1.1584
DDO63,7.90,1.5441,-11.7507,1.6513
DDO69,6.80,1.5185,-10.7780,1.4630
DDO70,7.50,1.6812,-10.5050,1.6812
DDO71,6.80,1.3010,-12.0648,1.0792
DDO75,7.20,1.6628,-10.5316,1.6628
DDO87,7.90,1.6532,-11.6103,1.9085
DDO101,8.20,1.7324,-11.2336,1.9577
DDO126,7.80,1.5798,-11.6857,1.7259
DDO133,7.80,1.5682,-11.7320,1.7143
DDO154,7.60,1.6812,-11.6238,1.9993
DDO168,8.10,1.7324,-11.1467,1.9142
DDO210,5.80,1.5682,-10.6290,1.4713
DDO216,7.00,1.3010,-11.8710,0.9823
F564-V3,7.00,1.3424,-12.1491,1.2455
Haro29,8.00,1.6532,-11.0998,1.6532
IC1613,7.60,1.3424,-12.3429,1.3424
NGC1569,8.40,1.6532,-11.3920,1.7993
NGC2366,8.40,1.7634,-11.3437,2.1059
UGC8508,6.90,1.3424,-12.0576,1.1998
