galaxy,logMbar,Mgas,Rmax,Vmax,slope_tail,delta_f3,env_proxy,env_proxy_formal,width_kpc,thickness_kpc,outer_fit_ok,n_tail_points
NGC0024,11.3293,37434253313.2176,58.7207,184.1901,-0.030043,0.030035,1.3402,-0.09715,12.3486,1.7122,True,5
NGC0055,11.3251,36383634692.8533,24.6717,189.5996,-0.029963,0.072826,0.3156,-0.914824,17.7116,1.4667,True,17
NGC0224,11.3224,38836142960.5213,15.1538,163.2202,0.012325,0.029231,3.5204,1.642729,15.5113,1.46,True,10
NGC0247,11.2878,32875891462.398,9.8922,163.187,0.012102,-0.062882,0.8535,-0.485554,15.0221,1.3331,True,15
NGC0253,11.2592,35885995789.6555,22.0708,162.0522,0.025127,-0.002678,0.4249,-0.827562,13.5581,1.5635,False,10
NGC0289,11.2298,31357176657.8649,14.7905,163.8538,-0.069503,-0.04688,1.85,0.309642,21.6148,2.8567,True,9
NGC0300,11.2078,17569730410.3738,16.6267,183.7251,0.032473,-0.020731,1.162,-0.239335,10.5464,1.3088,True,15
NGC0801,11.2074,5108219809.8028,15.5294,162.8766,0.011886,0.060449,1.4991,0.029643,6.4147,0.8954,True,13
NGC0891,11.2035,24591152197.6318,18.2086,170.5492,-0.039868,0.025501,1.2505,-0.168778,17.3273,1.5744,True,6
NGC1003,11.1993,27703805592.9757,27.5192,198.5118,-0.003953,-0.027957,0.1216,-1.069623,9.7689,1.2839,True,14
NGC1090,11.184,25380399457.2862,19.8234,168.7654,0.016704,-0.040549,0.5585,-0.720975,11.2814,1.055,True,14
NGC2403,11.1682,24882053233.8195,17.5173,184.7498,0.009698,0.001311,0.5394,-0.736211,15.5239,1.5361,True,10
NGC2683,11.1616,27270886248.9433,12.8618,157.7286,-0.022243,-0.048662,2.2055,0.593405,6.9071,0.8958,True,17
NGC2841,11.1579,17425996172.0976,10.2788,168.2612,-0.0035,-0.026846,1.1946,-0.21338,7.5867,1.1275,True,13
NGC2903,11.147,14852479991.4475,15.3406,156.0093,-0.014233,0.01248,1.6662,0.162967,6.8279,0.8385,True,9
NGC2998,11.1444,13893534791.3971,17.7698,164.7645,0.009184,0.046212,0.8949,-0.452528,8.516,0.7138,True,5
NGC3031,11.133,2350018457.7792,32.992,182.3332,0.045539,0.02435,1.7237,0.20885,11.8665,1.4613,True,13
NGC3198,11.0952,9416581937.8871,18.098,140.4657,-0.087145,-0.091652,1.0325,-0.342686,11.7823,0.9775,True,7
NGC3521,11.0928,11582162572.6705,24.2391,171.1396,-0.004898,0.012175,0.9758,-0.387937,10.9804,1.558,True,14
NGC3621,11.0806,14855706612.1213,14.3662,166.7535,0.005408,0.002881,1.3336,-0.102411,6.8183,0.8841,True,11
NGC3726,11.0693,17817101565.9174,11.2201,153.338,0.010699,0.016556,1.2504,-0.16885,5.273,0.4857,True,11
NGC3953,11.0473,21796895436.4564,11.8617,139.7647,-0.057342,0.064648,5.0,2.823488,9.9557,0.8604,True,7
NGC3992,11.0369,13982801160.095,12.7639,159.6693,-0.052474,-0.08253,0.553,-0.72538,8.537,0.7926,True,14
NGC4051,10.9714,14032028285.4785,32.198,144.8143,0.024403,-0.023644,0.2809,-0.942487,10.4741,1.5565,True,7
NGC4088,10.9043,7993866889.0284,10.9278,148.7732,0.059749,0.023636,1.4758,0.011014,10.611,1.1895,True,10
NGC4100,10.8991,6216159126.2207,19.294,145.4214,-0.044146,-0.063264,0.624,-0.668677,9.0424,1.2197,True,15
NGC4217,10.8967,13498922072.6341,10.5498,167.9387,0.046032,0.059038,0.1032,-1.084325,10.7168,1.3348,True,16
NGC4258,10.8828,14889424193.7799,19.6276,140.481,0.000337,0.014734,0.4459,-0.81088,9.1516,1.0988,True,17
NGC4389,10.8769,9816069439.9985,16.1623,130.1945,-0.039052,0.033863,4.5225,2.442462,9.8975,0.8923,True,17
NGC4559,10.873,4595817704.3846,13.3574,145.0855,-0.026047,-0.022838,0.5401,-0.735654,7.0146,1.0257,True,12
NGC4565,10.8716,10171027106.0489,13.8841,145.493,0.003303,0.032551,0.1901,-1.015009,8.1003,0.8189,True,7
