source_id,theta_jet,r15,delta,theta_pred,residual_theta,logr15,failure_type,bin,geom_pred,I_BH,coupling,logr15_sq,regime
0003-066,16.5,8.8,5.1,19.342883204521762,-2.842883204521762,0.9444827,normal,4,98.64870249837989,98.64870249837989,4.8168616,0.8920475,LOW
0016+731,31.0,1.9,7.8,30.3416765429816,0.6583234570184011,0.2787536,normal,1,236.665082822472,236.665082822472,2.1742783,0.07770357,LOW
0059+581,26.9,4.0,21.9,25.000193746004975,1.8998058725252989,0.60206,normal,2,547.5042335006918,547.5042335006918,13.185114,0.36247626,LOW
0106+013,24.1,4.1,18.2,24.823020799469013,-0.7230204179992867,0.61278385,normal,2,451.778997488798,451.778997488798,11.152666,0.37550405,LOW
0133+476,28.4,3.9,20.5,25.181853230394253,3.21814638813602,0.59106463,normal,2,516.2279912230822,516.2279912230822,12.116825,0.3493574,LOW
0202+149,21.0,7.5,15.0,20.489823868412355,0.5101761315876452,0.8750613,normal,4,307.3473580261853,307.3473580261853,13.125919,0.7657322,LOW
0212+735,11.6,17.0,8.4,14.61831265655151,-3.018312275081783,1.230449,normal,6,122.79382073858895,122.79382073858895,10.335771,1.5140046,HIGH
0215+015,37.5,5.1,27.1,23.257015244644773,14.242984755355227,0.7075702,over_open,3,630.2651220017206,630.2651220017206,19.175152,0.5006556,LOW
0234+285,23.2,12.2,16.0,16.998870035424332,6.201130727515121,1.0863599,normal,5,271.9819205667893,271.9819205667893,17.381758,1.1801777,HIGH
0238-084,12.5,14.1,0.3,15.960344845287764,-3.4603448452877643,1.1492192,normal,5,4.7881036438484665,4.7881036438484665,0.34476575,1.3207047,HIGH
0333+321,9.2,12.2,22.0,16.998870035424332,-7.798870226159195,1.0863599,normal,5,373.97514077933533,373.97514077933533,23.899918,1.1801777,HIGH
0336-019,29.6,5.0,17.2,23.39910240163378,6.200897979835947,0.69897,normal,3,402.4645791601994,402.4645791601994,12.0222845,0.4885591,LOW
0415+379,7.9,10.9,2.0,17.807319340799292,-9.90731924543186,1.0374265,over_collimated,5,35.614638681598585,35.614638681598585,2.074853,1.0762537,HIGH
0420-014,25.2,5.2,19.7,23.11768736752078,2.082313395418673,0.71600336,normal,3,455.41845877755514,455.41845877755514,14.105267,0.5126608,LOW
0430+052,9.6,21.0,2.1,13.10213662365787,-3.5021362421881435,1.3222193,normal,6,27.514485660164407,27.514485660164407,2.7766602,1.7482637,HIGH
0458-020,22.1,8.5,15.7,19.591758037400105,2.5082423440696218,0.9294189,normal,4,307.59059745035034,307.59059745035034,14.591877,0.86381954,LOW
0528+134,18.4,6.1,30.9,21.972315416272927,-3.572315797742654,0.7853298,normal,3,678.9445379810603,678.9445379810603,24.266691,0.6167429,LOW
0605-085,19.5,8.1,7.5,19.937615353585368,-0.4376153535853682,0.90848505,normal,4,149.53211515189025,149.53211515189025,6.8136377,0.8253451,LOW
0642+449,18.5,2.0,10.6,29.97363863447672,-11.473638634476721,0.30103,over_collimated,1,317.720580959489,317.720580959489,3.1909182,0.090619065,LOW
0716+714,19.7,4.9,10.8,23.544060115655803,-3.84405935271635,0.6901961,normal,3,254.27585373975577,254.27585373975577,7.454118,0.47637066,LOW
0735+178,24.9,5.0,4.5,23.39910240163378,1.5008972168964938,0.69897,normal,3,105.295960807352,105.295960807352,3.145365,0.4885591,LOW
0736+017,16.9,14.8,8.5,15.612691338355255,1.2873082801750186,1.1702617,normal,5,132.70787637601967,132.70787637601967,9.947225,1.3695126,HIGH
0754+100,16.5,7.0,5.5,20.984859552974193,-4.484859552974193,0.845098,normal,4,115.41672754135806,115.41672754135806,4.648039,0.71419066,LOW
0804+499,42.3,4.8,35.2,23.69200655715474,18.607992679905806,0.6812413,over_open,3,833.9586488874135,833.9586488874135,23.979692,0.46408966,LOW
0805-077,24.6,22.4,14.9,12.639062105155592,11.960938276314135,1.350248,over_open,6,188.32202054539874,188.32202054539874,20.118694,1.8231696,HIGH
0827+243,22.1,7.1,13.0,20.88308230390612,1.216918077563605,0.85125834,normal,4,271.4800699507796,271.4800699507796,11.066359,0.7246408,LOW
0836+710,8.4,16.5,16.1,14.832512342175445,-6.432512723645171,1.217484,normal,6,238.80345436717909,238.80345436717909,19.601492,1.4822673,HIGH
0851+202,30.5,4.7,16.8,23.843068759357784,6.656931240642216,0.67209786,normal,3,400.5635369663929,400.5635369663929,11.291244,0.45171553,LOW
0923+392,13.8,3.9,4.3,25.181853230394253,-11.38185303965939,0.59106463,over_collimated,2,108.28197369375262,108.28197369375262,2.541578,0.3493574,LOW
0945+408,15.0,14.6,6.3,15.710313911566622,-0.7103139115666224,1.1643529,normal,5,98.9749806393743,98.9749806393743,7.3354235,1.3557177,HIGH
1055+018,25.5,9.8,12.1,18.570615719560905,6.929384280439095,0.9912261,normal,4,224.70445729081464,224.70445729081464,11.993835,0.98252916,LOW
1127-145,14.7,15.3,21.9,15.37429231532845,-0.6742925060633134,1.1846914,normal,5,336.69699584086595,336.69699584086595,25.944742,1.4034938,HIGH
1156+295,23.1,9.3,28.2,18.946364249530117,4.15363613193961,0.968483,normal,4,534.2874862916781,534.2874862916781,27.31122,0.93795925,LOW
1222+216,14.8,18.1,5.2,14.16843974614001,0.6315604445948537,1.2576786,normal,6,73.67588397751263,73.67588397751263,6.5399284,1.5817555,HIGH
1226+023,6.6,23.5,16.8,12.2950876380431,-5.695087733410531,1.3710679,normal,6,206.55746293871664,206.55746293871664,23.03394,1.8798271,HIGH
1253-055,11.6,7.9,23.8,20.117003995944412,-8.517003614474685,0.8976271,over_collimated,4,478.784679755421,478.784679755421,21.363525,0.80573446,LOW
1308+326,37.3,6.2,15.3,21.85564376750524,15.444355469555308,0.79239166,over_open,3,334.3913538114634,334.3913538114634,12.123592,0.62788457,LOW
1413+135,11.1,35.9,12.1,9.254705890592966,1.8452944908767606,1.5550945,normal,8,111.98194480656501,111.98194480656501,18.816645,2.4183187,HIGH
1502+106,37.6,6.5,11.9,21.516596023149585,16.08340245097151,0.81291336,over_open,3,256.0474844675501,256.0474844675501,9.673669,0.6608281,LOW
1510-089,19.3,5.0,16.5,23.39910240163378,-4.099103164573233,0.69897,normal,3,386.08518962695734,386.08518962695734,11.533006,0.4885591,LOW
1538+149,22.1,9.7,4.3,18.644208333005654,3.4557920484640725,0.9867717,normal,4,80.17009938802484,80.17009938802484,4.2431183,0.9737184,LOW
1606+106,24.1,8.1,24.8,19.937615353585368,4.162385027884358,0.90848505,normal,4,494.4528455577238,494.4528455577238,22.530428,0.8253451,LOW
1611+343,28.4,5.0,13.6,23.39910240163378,5.000897216896494,0.69897,normal,3,318.2278015882686,318.2278015882686,9.505993,0.4885591,LOW
1633+382,20.3,6.4,21.3,21.627840694281268,-1.327841457220721,0.80618,normal,3,460.67299028745805,460.67299028745805,17.171633,0.6499262,LOW
1637+574,14.8,5.9,13.9,22.211509135534946,-7.411508944800083,0.770852,normal,3,308.73996851091744,308.73996851091744,10.714843,0.59421283,LOW
1641+399,15.9,8.5,7.7,19.591758037400105,-3.6917584188698314,0.9294189,normal,4,150.8565331511495,150.8565331511495,7.1565256,0.86381954,LOW
1730-130,12.0,28.6,10.6,10.885840100817777,1.1141598991822228,1.4563661,normal,7,115.38990922128689,115.38990922128689,15.437481,2.1210022,HIGH
1749+096,34.2,4.8,11.9,23.69200655715474,10.507994205784712,0.6812413,over_open,3,281.93486899235813,281.93486899235813,8.1067705,0.46408966,LOW
1803+784,21.8,10.0,12.1,18.42565800553888,3.374341231521665,1.0,normal,4,222.9504688958512,222.9504688958512,12.1,1.0,LOW
1807+698,10.6,13.8,1.1,16.1146557499443,-5.514655368474575,1.1398791,normal,5,17.726121709142063,17.726121709142063,1.253867,1.2993244,HIGH
1823+568,8.1,9.0,6.3,19.181636679562125,-11.081636298092398,0.9542425,over_collimated,4,120.84431473984823,120.84431473984823,6.0117283,0.9105788,LOW
1828+487,15.4,18.9,5.6,13.858114312927416,1.5418853056028574,1.2764618,normal,6,77.60543883078076,77.60543883078076,7.148186,1.6293548,HIGH
1849+670,18.9,9.3,8.1,18.946364249530117,-0.046364630999843115,0.968483,normal,4,153.46555764865835,153.46555764865835,7.8447123,0.93795925,LOW
1928+738,9.1,24.0,1.9,12.144026420593754,-3.0440260391240272,1.3802112,normal,7,23.07364990959198,23.07364990959198,2.6224012,1.904983,HIGH
2121+053,26.3,3.6,15.2,25.756173404781915,0.5438258322786318,0.5563025,normal,2,391.4938308400849,391.4938308400849,8.455798,0.30947247,LOW
2134+004,17.0,3.9,16.0,25.181853230394253,-8.181853230394253,0.59106463,normal,2,402.90965168630805,402.90965168630805,9.457034,0.3493574,LOW
2136+141,25.3,6.3,8.2,21.740837242243735,3.5591619948168116,0.7993406,normal,3,178.274861239663,178.274861239663,6.5545926,0.6389454,LOW
2145+067,18.0,2.9,15.5,27.307609528627257,-9.307609528627257,0.462398,over_collimated,2,423.2679476937225,423.2679476937225,7.167169,0.2138119,LOW
2200+420,24.8,11.7,7.2,17.29913128583163,7.500867951228916,1.0681858,over_open,5,124.5537419584403,124.5537419584403,7.6909375,1.1410209,HIGH
2201+171,18.0,10.8,10.0,17.873449490711895,0.12655050928810496,1.0334238,normal,5,178.73449490711894,178.73449490711894,10.334238,1.0679647,HIGH
2201+315,13.2,8.0,6.6,20.026749349910077,-6.82674954064494,0.90309,normal,4,132.17654379950685,132.17654379950685,5.960394,0.81557155,LOW
2223-052,13.1,6.0,15.9,22.09091521278355,-8.990914831313823,0.7781513,over_collimated,3,351.24554345624307,351.24554345624307,12.372605,0.6055194,LOW
2227-088,18.5,5.3,15.8,22.98101340161599,-4.481013401615989,0.7242759,normal,3,363.1000161288131,363.1000161288131,11.443559,0.52457553,LOW
2230+114,12.4,20.8,15.5,13.170797590577283,-0.77079797204701,1.3180634,normal,6,204.14736265394788,204.14736265394788,20.429983,1.7372911,HIGH
2251+158,13.1,17.1,32.9,14.576230191972105,-1.4762298105023781,1.2329961,normal,6,479.5579955574444,479.5579955574444,40.565575,1.5202794,HIGH
