galaxy_id,slope_tail,n_tail_points,inc_deg,logM,Rmax,MHI,Rdisk,env_proxy,galaxy,delta_mass_std,F3_SCM,delta_f3,slope_tail_res_mass,delta_f3_res_mass
UGC06973,0.4251137739953372,7,71.0,10.466370639583136,1.07,1.753,1.07,0.1850139813939213,UGC06973,-0.3121355119707582,0.4251137739953372,-0.07488622600466283,-0.18003947755564936,-0.18003947755564914
NGC6195,0.7248380574499546,17,62.0,11.348974892706314,13.94,20.907,13.94,-0.9682338305193244,NGC6195,-1.4653837009785549,0.7248380574499546,0.22483805744995455,0.054642447413692063,0.0546424474136924
UGC02487,0.6533810016383326,11,36.0,11.429539585079066,7.89,17.963,7.89,-0.5397751435003302,UGC02487,-1.036925009218081,0.6533810016383326,0.15338100163833257,-0.022751717338909794,-0.02275171733890946
UGC06786,0.5954488155923208,40,64.0,10.6374236797072,3.6,5.03,3.6,-0.4110370499890225,UGC06786,-0.908186889172781,0.5954488155923208,0.09544881559232077,-0.022309964559254825,-0.02230996455925449
UGC05721,0.7114364657827152,14,61.0,9.005592296177396,0.38,0.562,0.38,0.5901661147663402,UGC05721,0.0930192496413069,0.7114364657827152,0.21143646578271524,0.21393335113409812,0.21393335113409828
NGC1705,0.5410664205030831,11,80.0,8.654532690613644,0.39,0.139,0.39,-0.0391172691115545,NGC1705,-0.5362642864930373,0.5410664205030831,0.04106642050308307,0.06943418131646123,0.0694341813164614
NGC0100,0.2519259462825748,6,89.0,9.6296847689762,1.66,1.99,1.66,-0.1413632572747014,NGC0100,-0.6385129723645373,0.2519259462825748,-0.2480740537174252,-0.2915688415311125,-0.2915688415311123
NGC4217,0.5836515378618425,12,86.0,10.663295268869293,2.94,2.562,2.94,-0.528115585660274,NGC4217,-1.025265408109781,0.5836515378618425,0.08365153786184254,-0.036013814993082205,-0.03601381499308198
NGC4100,0.7689509223512019,12,73.0,10.52920775991146,2.15,3.102,2.15,-0.1732352203059089,NGC4100,-0.6703849990477584,0.7689509223512019,0.2689509223512019,0.15916697194269824,0.15916697194269847
UGC06614,0.4632301166103658,12,36.0,10.960404367736713,5.1,21.888,5.1,-0.074934288853062,UGC06614,-0.5720841448499843,0.4632301166103658,-0.03676988338963422,-0.17833030014141854,-0.17833030014141832
UGC07399,0.5537831678364289,5,55.0,9.19558142205319,1.64,0.745,1.64,-0.5575315848188463,UGC07399,-1.0546812960412366,0.5537831678364289,0.05378316783642889,0.04227905467710902,0.04227905467710913
NGC4088,0.4199836196015071,5,69.0,10.81012211518025,2.58,8.226,2.58,0.0919492280020518,NGC4088,-0.4052005794474378,0.4199836196015071,-0.0800163803984929,-0.21050194439473746,-0.21050194439473724
NGC4013,0.4520960081131505,26,89.0,10.638420463253928,3.53,2.967,3.53,-0.6232318993113792,NGC4013,-1.120381737152937,0.4520960081131505,-0.04790399188684952,-0.16573622868963528,-0.16573622868963517
UGC02885,0.6220116848198813,17,64.0,11.406646186442565,11.4,40.075,11.4,-0.5109361749885177,UGC02885,-1.0080860443408963,0.6220116848198813,0.12201168481988134,-0.05243393528400686,-0.05243393528400664
UGC03546,0.6992149984061878,25,55.0,10.734205567483995,3.79,2.675,3.79,-0.7299546638136123,UGC03546,-1.2271045062730312,0.6992149984061878,0.19921499840618784,0.07432400444827192,0.07432400444827203
NGC4559,0.5496083514465124,20,67.0,10.240976593389751,2.1,5.811,2.1,0.1198121874914715,NGC4559,-0.3773375867231991,0.5496083514465124,0.04960835144651243,-0.03893478260154959,-0.03893478260154937
UGC09037,0.5425323088743149,15,65.0,10.775834199449935,4.28,19.078,4.28,0.0176452827169377,UGC09037,-0.4795045662690955,0.5425323088743149,0.04253230887431492,-0.08542645231223067,-0.08542645231223034
NGC5033,0.6409954768585724,20,66.0,10.846968421611848,5.16,11.314,5.16,-0.3716832451611943,NGC5033,-0.8688331015441662,0.6409954768585724,0.1409954768585724,0.0077945728180193186,0.007794572818019541
