galaxy,logMbar,grad_p,v_res,Rmax,logM_halo,env_proxy
UGC1000,10.934890121389909,0.6789135630718949,3.997742267234366,42.1831365887461,12.332214514723532,-0.09426255425255699
UGC1001,10.097196099380131,0.06757906948889146,-9.054790553600608,45.3272347327895,12.915479278182902,-1.7577283913566313
UGC1002,11.146494799778456,0.28911939868998415,-3.7816255403938968,11.311209004937485,11.502223558607026,-1.4670452453909906
UGC1003,10.74342007264841,0.6312882258385404,12.992282977860654,29.931626459257224,10.431692507653752,2.129247112028298
UGC1004,9.235443369719125,-1.4571558198556664,-3.5626397106142593,9.88590835109496,10.041808863124604,-1.287422581274031
UGC1005,11.439055879091889,-0.31967121635730134,7.375155684670865,35.25080418679153,10.688968089996566,-1.0967855784546396
UGC1006,10.902849254975882,-0.4703726542927955,-9.33617680009877,17.655520272755375,10.395466653359563,1.836913528321314
UGC1007,10.965160763192385,-0.6388778482433419,-2.0543755786763,34.67401856113558,12.032976020838571,2.905067169240407
UGC1008,9.320284081688865,-0.27514225122668373,-9.500220549105812,37.71475764290972,10.365497513885593,-1.1715666288253417
UGC1009,10.125964844738919,1.4949413112343959,-3.3903307590056246,39.58913713629457,11.518989794861898,-0.36824895678803055
UGC1010,9.926995060581453,-0.8658311156932432,8.403081374573954,9.848342568015346,12.08278730692866,0.34155555094050954
UGC1011,11.316912472121505,0.9682783545914808,-17.273204231923486,46.22053303119235,11.743349827662707,1.7286976444055924
UGC1012,10.609662800201662,-1.6828697716158048,4.344236435458574,15.359629590269638,10.599326954980173,-0.9868570784282374
UGC1013,11.056904033177075,-0.33488502998577485,2.377356023322779,6.68356502792809,12.412373578546788,-0.24527784594210975
UGC1014,10.108535497068328,0.1627530651050056,-5.941499556967944,29.968361122616752,12.146221388847405,0.777337576061744
UGC1015,9.568096804461943,0.5862223313592781,-14.460578543884546,21.691502773809745,12.216952011746624,0.43476607446661863
UGC1016,10.386461967539587,0.711226579792855,0.7212950771386951,42.34053844095859,10.39317325467194,-0.37615607123009925
UGC1017,9.159543140260439,0.7933472351999252,-5.294927090638025,41.371316242893585,10.371261410951034,-0.13382296451604114
UGC1018,11.069077929981455,-0.3487250722484376,2.3267621135470398,19.27125017702219,12.782687653019522,-1.3748958083699818
UGC1019,10.579160997805163,-0.46235179266456716,0.21852145523442879,47.880472778138525,11.192734581474822,-0.23817374397466523
UGC1020,10.895219350213434,0.8579758812571538,16.017788913209156,18.091302716305336,10.902846075342818,-0.2663874900089551
UGC1021,9.88631492032467,-0.1913043248816149,-2.393556274730243,28.177570815427153,11.4657521360546,0.23216988962625595
UGC1022,11.426745060987258,-1.2756863233379219,-10.23497492621865,16.518429075542123,11.988592638290747,-0.555327218819016
UGC1023,11.232802803305495,-1.1332872140034806,1.7927563495631615,47.12196065220335,12.866869771140909,0.471538522545139
UGC1024,10.945958742684404,-0.9194522860016113,2.1999668397176517,12.407351791190816,10.859338680646164,1.0127158178198286
UGC1025,9.48659676962992,0.49716074405376404,13.591875752404366,7.020977872654805,12.774425287936081,0.15542932766846604
UGC1026,10.166802509317586,0.14242573607056525,8.351112459145785,24.579367700136707,10.07457847415877,0.35175640839920347
UGC1027,9.109509414468071,0.6904853540677682,3.568710591495093,49.65690038251267,11.665594126980475,0.053155347577867364
UGC1028,9.38572373016887,-0.42725264633653426,14.633028912195618,45.12547698147113,11.901925335043256,8.439309141418043e-05
UGC1029,10.707622383106136,0.15853969107671423,-11.887630543228509,38.68736087556272,10.31769221125226,-0.7215580335428474
UGC1030,10.861905389769543,0.6255903939673367,-6.397515327497477,45.08566208953362,10.421018791191738,0.316494261673308
UGC1031,11.418774331085526,-0.3093465397202384,-9.26575941405525,45.205098786403845,11.25734295794891,-0.09728659841348947
UGC1032,9.81456339534538,0.45677523755741145,-3.8980980315576796,28.34862621739021,12.898695736429545,2.093168308930595
UGC1033,9.926149265087172,-0.6619259410666513,-13.766861475563088,19.216807332385685,11.788127659703118,1.5733549024752425
UGC1034,10.17388952818952,-0.3630538465650718,6.351509468144043,39.74055944499446,12.799069664800633,0.3858465525565008
UGC1035,9.473678397710714,-0.3817378939983291,-2.222226970987734,34.77475684254925,12.413082746838912,-0.7630572096947675
UGC1036,9.324803763338679,-1.1958396455890397,-14.70806294502658,21.814597799316953,11.402144804665875,-1.112411471983418
UGC1037,10.189262315564834,0.4869724807855818,-10.155790812075416,9.251000062768188,12.354290347756562,1.191142953088865
UGC1038,9.567273372627211,-0.46940234020272387,3.135138474501953,38.60553251070617,10.053510351930964,0.2627492251471385
UGC1039,10.674534986706275,0.01249411872768743,8.38126567894381,16.81072321652891,10.327431990297205,0.4801434033916108
