# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
0.3480  110.3134
0.4691  113.4125
0.5097  125.1819
0.5916  134.0280
0.6964  142.6442
1.3117  176.7598
1.8619  200.3622
2.0670  217.3909
2.1170  213.6173
2.1676  209.0247
2.2141  212.8499
2.3421  216.6652
2.3980  214.4808
2.9749  228.2170
3.6730  250.1388
3.9997  248.0561
4.3975  250.1463
4.5938  257.8498
4.6991  259.9065
4.7670  250.2372
4.8461  260.7891
4.8736  265.6380
6.7592  279.4458
6.8933  289.1698
7.1924  286.0218
7.4599  288.4526
8.8250  301.1193
9.9949  294.5049
10.0551  291.6862
11.0390  297.9771
11.6320  291.4085
12.0116  295.3616
12.0535  291.6491
12.2670  297.1962
12.5506  292.3439
13.5597  293.3688
13.5834  298.8954
13.8280  296.3851
14.5500  288.0780
14.7900  290.6265
15.0385  292.3514
15.5228  293.9990
16.7862  301.1704
