galaxy,logMbar,slope_tail,env_proxy_formal,n_tail_points,outer_fit_ok,Vmax,Rmax
NGC0055,8.733,0.0276,0.4529,13,True,46.6,10.38
NGC0300,10.538,0.1373,-0.1661,6,True,141.1,6.73
NGC0801,11.383,-0.0745,0.2149,8,True,294.0,17.23
NGC0891,9.732,-0.1527,-2.0223,9,True,84.2,11.54
NGC0925,10.294,0.08,-0.9431,12,True,123.2,8.05
NGC1003,8.367,-0.083,1.404,8,True,26.2,8.85
NGC2403,11.094,0.0112,-0.0186,4,True,234.8,10.93
NGC2841,8.88,-0.0334,-1.6735,7,True,43.9,8.72
NGC2903,9.05,-0.0417,-1.0725,8,True,40.9,12.97
NGC2976,10.488,0.0815,-0.9926,13,True,146.7,3.71
NGC3031,10.82,-0.0199,0.1023,13,True,192.2,9.15
NGC3198,10.052,-0.0166,-0.4326,8,True,108.3,12.05
NGC3521,8.195,0.0356,-0.6592,10,True,22.2,16.26
NGC3621,9.215,0.0637,0.0039,7,True,48.4,8.96
NGC3672,11.163,-0.1374,0.4778,4,True,240.3,5.93
NGC4736,8.608,-0.0967,-0.259,8,True,51.0,4.68
NGC5055,10.068,-0.0003,-0.5747,10,True,97.6,23.69
NGC6946,11.06,0.0516,-0.4215,13,True,219.6,12.17
NGC7331,8.041,-0.0092,0.3398,13,True,24.5,15.79
NGC7793,8.582,0.0303,-0.0074,9,True,33.4,23.22
UGC04278,11.158,-0.0516,0.7673,8,True,240.1,4.82
UGC04325,11.223,0.1248,-1.1498,7,True,263.4,22.29
UGC04499,8.312,-0.0925,-0.7753,5,True,23.5,15.13
UGC05005,9.224,0.0723,0.7731,7,True,55.4,6.63
UGC05414,8.912,-0.0239,-0.8018,13,True,44.8,12.05
UGC05716,10.535,-0.1914,1.384,13,True,146.1,20.11
UGC05721,9.416,0.0793,1.4052,6,True,57.0,13.57
UGC05750,9.901,-0.0828,1.3923,13,True,94.1,24.68
UGC05764,10.111,0.1562,-0.8806,4,True,117.9,11.29
UGC05986,8.279,0.0532,0.0769,11,True,29.1,19.49
UGC06399,8.864,-0.0732,-0.4934,8,True,42.6,11.65
UGC06446,11.409,-0.161,0.9232,7,True,292.2,21.24
UGC06667,11.157,-0.2735,1.7066,11,True,239.6,15.52
UGC06818,10.211,-0.1709,0.8736,10,True,123.3,4.4
UGC06917,10.112,0.001,0.0091,5,True,106.3,3.81
UGC06930,9.617,0.0913,-0.3655,4,True,68.0,5.94
UGC06973,9.185,-0.0129,0.6491,14,True,45.9,3.3
UGC06983,10.277,0.2011,-1.2229,7,True,123.8,4.66
UGC07089,10.388,-0.0658,0.5363,11,True,139.6,18.22
UGC07125,11.48,0.092,-0.9147,5,True,309.2,14.76
UGC07151,11.243,-0.1263,0.6205,6,True,255.6,19.5
UGC07261,8.093,-0.1138,-0.1609,4,True,25.8,23.09
UGC07323,9.197,-0.1439,-0.3883,4,True,55.3,15.87
UGC07399,10.994,0.0839,-0.8855,6,True,216.9,18.97
UGC07524,11.342,-0.0514,-0.3567,14,True,283.9,19.66
UGC07559,8.341,-0.0176,0.5561,8,True,23.6,11.31
UGC07577,9.665,-0.0523,1.0439,6,True,65.8,8.3
UGC07603,10.743,-0.231,0.5264,4,True,174.1,7.51
UGC07608,10.133,-0.2195,1.3639,4,True,105.5,8.53
UGC07690,11.454,-0.4304,2.5392,11,True,306.1,9.04
UGC07866,8.364,-0.0168,-0.3245,13,True,25.2,7.56
UGC08286,9.202,-0.0935,-0.2059,14,True,45.2,22.32
UGC08490,8.399,-0.0612,-1.44,5,True,26.8,19.65
UGC08550,9.368,0.1167,1.1907,6,True,54.4,4.03
UGC08837,10.583,-0.2242,1.2994,5,True,163.7,8.91
UGC09211,10.897,0.1044,-0.8671,6,True,200.0,3.49
UGC09753,9.57,-0.1155,0.6176,10,True,75.4,13.96
UGC09858,8.312,0.1833,1.2171,4,True,30.4,13.48
UGC10310,8.749,0.1297,0.2263,13,True,42.9,21.29
UGC11557,9.464,0.0975,0.8474,11,True,72.2,9.77
DDO064,8.425,0.048,0.1748,13,True,27.5,20.96
DDO154,10.468,0.1213,-1.2169,13,True,135.6,24.3
DDO168,11.203,-0.1704,1.0493,13,True,245.3,4.94
DDO170,10.814,-0.1726,1.3251,5,True,185.4,20.42
CamB,10.421,-0.1905,0.7345,6,True,124.9,15.98
F563-1,9.931,-0.0651,-0.9545,12,True,100.6,13.56
F568-3,11.364,-0.045,-0.7512,10,True,272.4,12.25
F574-1,8.609,-0.093,-1.1304,7,True,37.8,20.26
F579-V1,10.407,-0.0581,0.77,13,True,135.4,17.07
F583-1,8.584,-0.0341,1.2684,8,True,35.5,20.71
F583-4,10.78,-0.1285,0.4245,5,True,178.5,22.87
IC2574,8.13,0.0148,0.9405,14,True,25.2,16.58
NGC4068,9.898,-0.1577,-0.8676,11,True,90.2,24.57
NGC4163,9.94,0.0571,0.1459,7,True,92.7,16.38
NGC4395,10.298,0.2178,-1.3699,12,True,120.9,17.01
NGC4455,10.008,0.0807,-0.7718,8,True,108.3,15.21
NGC5585,8.116,0.1209,0.8787,12,True,25.7,5.0
NGC6789,9.028,-0.1285,-0.2396,7,True,48.8,18.98
NGC7814,10.183,-0.1087,1.2094,13,True,110.5,15.04
