galaxy,logM,delta_mass_std,slope_tail
UGC06973,10.466370639583136,-0.3121355119707582,0.4251137739953372
NGC6195,11.348974892706314,-1.4653837009785549,0.7248380574499546
UGC02487,11.429539585079066,-1.036925009218081,0.6533810016383326
UGC06786,10.6374236797072,-0.908186889172781,0.5954488155923208
UGC05721,9.005592296177396,0.0930192496413069,0.7114364657827152
NGC1705,8.654532690613644,-0.5362642864930373,0.5410664205030831
NGC0100,9.6296847689762,-0.6385129723645373,0.2519259462825748
NGC4217,10.663295268869293,-1.025265408109781,0.5836515378618425
NGC4100,10.52920775991146,-0.6703849990477584,0.7689509223512019
UGC06614,10.960404367736713,-0.5720841448499843,0.4632301166103658
UGC07399,9.19558142205319,-1.0546812960412366,0.5537831678364289
NGC4088,10.81012211518025,-0.4052005794474378,0.4199836196015071
NGC4013,10.638420463253928,-1.120381737152937,0.4520960081131505
UGC02885,11.406646186442565,-1.0080860443408963,0.6220116848198813
UGC03546,10.734205567483995,-1.2271045062730312,0.6992149984061878
NGC4559,10.240976593389751,-0.3773375867231991,0.5496083514465124
UGC09037,10.775834199449935,-0.4795045662690955,0.5425323088743149
NGC5033,10.846968421611848,-0.8688331015441662,0.6409954768585724
NGC7331,11.146235386209623,-0.8545273970377066,0.5818891922990171
ESO116-G012,9.554657514907792,-0.8204753106551523,0.553780794905135
UGC08550,8.722255395004163,-0.3441824124855904,0.7000792077586493
NGC6946,10.608821167944376,-0.5183464664786861,0.7159677133742306
NGC3198,10.526278135797504,-0.4548195800863644,0.5895735167563869
UGC03205,10.843179251275886,-0.5189904977584217,0.7268390168506665
NGC4051,10.709448137839988,-1.4011748320211506,1.0026694372296583
NGC5585,9.56936103276835,-0.6404486183535076,0.4513345601588027
NGC3769,10.222536214537287,-0.812336683310707,0.5837446711671256
UGC03580,10.094998390641171,-0.6278809829203363,0.4199726161155899
UGC08699,10.478891589755571,-0.90442753450099,0.6959526176464947
NGC0289,10.86073480035797,-0.7156268164056233,0.6228690317689176
UGC05253,11.031802907259175,-1.0961590324938106,0.7195040325550874
NGC5907,11.06324232399044,-0.6294963822812969,0.5800899743613406
UGC12506,11.068464092263296,-0.682349698812541,0.9242127203201528
NGC3893,10.56791017942058,-0.4869506780589423,0.6623390155734739
UGC11914,10.881926701382376,-1.3235165595929916,0.899446408763481
NGC4214,9.085247753326724,-0.2256539556277131,0.480769880539163
UGC05716,9.24279477565362,-0.571942253369667,0.7100465963877222
NGC0801,11.27217203232174,-1.0126761384820593,0.702335078217874
NGC2683,10.624049722237272,-1.0260775392195385,0.7079931289219116
NGC5985,11.078360305501224,-1.1246523844644127,0.7280078187916912
NGC3741,8.408341741154654,0.1608615239629785,0.2164339345138334
NGC2915,8.998320379542864,-0.2720115393987024,0.4384987010512248
NGC4183,10.003545831576814,-0.8435463674835528,0.4833255226801524
NGC1003,10.050395225068138,-0.1414242986816948,0.4267170753271982
IC4202,11.02640283402812,-0.765183502523715,0.7638853837841865
UGC09133,11.269331343142351,-0.6595050353950166,0.6989991513722422
UGC07603,8.725209009242763,-0.5340819059324818,0.4375538886817635
NGC6015,10.377009576178352,-0.4546391199436057,0.4954863520692256
NGC2403,9.967321878328628,-0.2781652331182169,0.498515574903987
NGC5005,10.959339092194677,-2.3408035200647914,0.7592414121692368
UGC11455,11.311534645914245,-0.918266239396764,0.4350380633047244
ESO563-G021,11.273937966679668,-0.584372349521953,0.4523231909630425
NGC3726,10.64074064433905,-0.7490020997607136,0.2751838067410628
NGC6674,11.176399354063552,-0.5518401942000106,0.6563042848323953
UGC02916,10.968621106938608,-0.7080477347327034,0.7178376617496652
DDO161,9.32361094114549,-0.5306203164720233,0.4506178042830648
NGC7814,10.587571788933293,-1.2774335282488003,0.6460908752932032
NGC1090,10.678553794902832,-0.6490564007176499,0.6312573046461257
NGC5371,11.267326403592811,-1.1918539402354869,0.8112030768864744
NGC4157,10.804484140316246,-0.3129371373027768,0.491342859794073
D631-7,8.684576087388455,-0.7249479548236913,0.3062379104563228
NGC3521,10.68072357568052,-0.6391058639182656,0.6017950598054636
NGC2903,10.646655210876997,-0.824981044697047,0.6482529622002854
NGC2955,11.297132507204276,-1.5819819745123778,0.7368502676406089
UGC02953,11.14603725864499,-0.7123584710229359,0.669133814865848
UGC06983,9.819222043551012,-1.0378423911870365,0.7764096699425806
UGC08490,9.166163593747834,-0.2919669816645184,0.6008392772312859
UGC00128,10.201212168360524,-1.1751365428457334,0.5760158584218107
NGC0300,9.43230853265576,-1.0119501213286175,0.3878522378984841
NGC5055,10.96402973751469,-0.4384481122883458,0.6332453219677098
NGC2841,11.0296323097081,-0.6292358739243414,0.6074261222032503
NGC6503,9.941611795734016,-0.9245108943994472,0.552997178052433
F571-8,9.872276342945089,-1.3491421689390282,0.245489388705386
NGC2998,11.027923516591636,-0.7117718850138613,0.6109466388474888
UGC06787,10.746773493285398,-1.2555304590373175,0.6108145252281175
NGC7793,9.669328969965864,-0.7277174618733792,0.9787208843372964
NGC0891,10.875665727894663,-0.6607006676142253,0.6218878723084509
NGC4138,10.380715635073956,-0.6839626162520906,0.7210324981672814
DDO154,8.593562952258974,-0.1942206269978611,0.6148815620372328
