galaxy,r_kpc,delta_F3,n_points_ring,v_rot_kms,Rmax_kpc
LMC,0.5,-0.1463,73,49.5,4.2
LMC,0.718,-0.1491,80,51.13,4.2
LMC,0.935,-0.0166,87,55.21,4.2
LMC,1.153,-0.0668,93,59.14,4.2
LMC,1.371,-0.0377,98,57.5,4.2
LMC,1.588,-0.0799,102,59.13,4.2
LMC,1.806,-0.0273,104,64.16,4.2
LMC,2.024,0.0163,104,63.75,4.2
LMC,2.241,-0.0167,103,62.33,4.2
LMC,2.459,0.0617,101,65.26,4.2
LMC,2.676,0.0401,97,64.04,4.2
LMC,2.894,0.0699,91,64.71,4.2
LMC,3.112,0.0749,85,66.72,4.2
LMC,3.329,0.1904,79,62.91,4.2
LMC,3.547,0.1332,72,63.73,4.2
LMC,3.765,0.1089,65,66.44,4.2
LMC,3.982,0.2015,58,65.87,4.2
LMC,4.2,0.1372,52,68.8,4.2
