galaxy,r_kpc,vobs_kms,vobs_err_kms,vbar_kms
G0000,0.50000000,1272.86294145,0.0,1159.30951503
G0000,1.26315789,1256.55601891,0.0,1159.30951503
G0000,2.02631579,1305.41494888,0.0,1159.30951503
G0000,2.78947368,1271.54553001,0.0,1159.30951503
G0000,3.55263158,1231.03235823,0.0,1159.30951503
G0000,4.31578947,1287.78034335,0.0,1159.30951503
G0000,5.07894737,1347.38326830,0.0,1159.30951503
G0000,5.84210526,1324.80972351,0.0,1159.30951503
G0000,6.60526316,1220.40293977,0.0,1159.30951503
G0000,7.36842105,1184.87878310,0.0,1159.30951503
G0000,8.13157895,1225.49172589,0.0,1159.30951503
G0000,8.89473684,1267.52474849,0.0,1159.30951503
G0000,9.65789474,1117.86320651,0.0,1159.30951503
G0000,10.42105263,1251.07346425,0.0,1159.30951503
G0000,11.18421053,1186.11273697,0.0,1159.30951503
G0000,11.94736842,1218.59841013,0.0,1159.30951503
G0000,12.71052632,1230.48910361,0.0,1159.30951503
G0000,13.47368421,1244.90648570,0.0,1159.30951503
G0000,14.23684211,1290.94486506,0.0,1159.30951503
G0000,15.00000000,1330.84539884,0.0,1159.30951503
G0001,0.50000000,1313.90826449,0.0,1212.00565256
G0001,1.26315789,1412.75806593,0.0,1212.00565256
G0001,2.02631579,1278.42411618,0.0,1212.00565256
G0001,2.78947368,1345.64899077,0.0,1212.00565256
G0001,3.55263158,1382.14478712,0.0,1212.00565256
G0001,4.31578947,1328.62314766,0.0,1212.00565256
G0001,5.07894737,1273.24659013,0.0,1212.00565256
G0001,5.84210526,1261.46221605,0.0,1212.00565256
G0001,6.60526316,1292.14202924,0.0,1212.00565256
G0001,7.36842105,1336.96640039,0.0,1212.00565256
G0001,8.13157895,1255.65071278,0.0,1212.00565256
G0001,8.89473684,1308.57625908,0.0,1212.00565256
G0001,9.65789474,1311.87900797,0.0,1212.00565256
G0001,10.42105263,1358.16792146,0.0,1212.00565256
G0001,11.18421053,1336.60035807,0.0,1212.00565256
G0001,11.94736842,1345.90438981,0.0,1212.00565256
G0001,12.71052632,1279.17564433,0.0,1212.00565256
G0001,13.47368421,1313.83692256,0.0,1212.00565256
G0001,14.23684211,1374.24375484,0.0,1212.00565256
G0001,15.00000000,1421.15321316,0.0,1212.00565256
G0002,0.50000000,1293.03356506,0.0,1264.70155050
G0002,1.26315789,1484.35637532,0.0,1264.70155050
G0002,2.02631579,1472.76185431,0.0,1264.70155050
G0002,2.78947368,1433.80967545,0.0,1264.70155050
G0002,3.55263158,1398.14913459,0.0,1264.70155050
G0002,4.31578947,1358.24382764,0.0,1264.70155050
G0002,5.07894737,1480.49933321,0.0,1264.70155050
G0002,5.84210526,1515.15129350,0.0,1264.70155050
G0002,6.60526316,1504.20704518,0.0,1264.70155050
G0002,7.36842105,1470.63875911,0.0,1264.70155050
G0002,8.13157895,1404.56049365,0.0,1264.70155050
G0002,8.89473684,1296.53485497,0.0,1264.70155050
G0002,9.65789474,1379.59566540,0.0,1264.70155050
G0002,10.42105263,1425.19656491,0.0,1264.70155050
G0002,11.18421053,1291.01228789,0.0,1264.70155050
G0002,11.94736842,1407.16448438,0.0,1264.70155050
G0002,12.71052632,1409.56148863,0.0,1264.70155050
G0002,13.47368421,1427.92655040,0.0,1264.70155050
G0002,14.23684211,1298.20458349,0.0,1264.70155050
G0002,15.00000000,1334.24871146,0.0,1264.70155050
G0003,0.50000000,1406.03235844,0.0,1317.39744844
G0003,1.26315789,1353.32533554,0.0,1317.39744844
G0003,2.02631579,1562.40721327,0.0,1317.39744844
G0003,2.78947368,1401.75785876,0.0,1317.39744844
G0003,3.55263158,1461.04196622,0.0,1317.39744844
G0003,4.31578947,1418.81534135,0.0,1317.39744844
G0003,5.07894737,1551.20304803,0.0,1317.39744844
G0003,5.84210526,1532.29321037,0.0,1317.39744844
G0003,6.60526316,1482.91795576,0.0,1317.39744844
G0003,7.36842105,1279.03279850,0.0,1317.39744844
G0003,8.13157895,1441.13825605,0.0,1317.39744844
G0003,8.89473684,1486.53542661,0.0,1317.39744844
G0003,9.65789474,1509.55360151,0.0,1317.39744844
G0003,10.42105263,1392.98999000,0.0,1317.39744844
G0003,11.18421053,1568.34679623,0.0,1317.39744844
G0003,11.94736842,1342.49963284,0.0,1317.39744844
G0003,12.71052632,1389.85495269,0.0,1317.39744844
G0003,13.47368421,1504.60092936,0.0,1317.39744844
G0003,14.23684211,1440.92448893,0.0,1317.39744844
G0003,15.00000000,1581.31078494,0.0,1317.39744844
G0004,0.50000000,1508.98571281,0.0,1370.09334637
G0004,1.26315789,1447.56696328,0.0,1370.09334637
G0004,2.02631579,1466.67400609,0.0,1370.09334637
G0004,2.78947368,1413.33745591,0.0,1370.09334637
G0004,3.55263158,1399.39501606,0.0,1370.09334637
G0004,4.31578947,1542.01483983,0.0,1370.09334637
G0004,5.07894737,1538.33398417,0.0,1370.09334637
G0004,5.84210526,1591.65636235,0.0,1370.09334637
G0004,6.60526316,1438.49207668,0.0,1370.09334637
G0004,7.36842105,1621.14679919,0.0,1370.09334637
G0004,8.13157895,1473.41417305,0.0,1370.09334637
G0004,8.89473684,1612.57363875,0.0,1370.09334637
G0004,9.65789474,1462.54642624,0.0,1370.09334637
G0004,10.42105263,1439.92138298,0.0,1370.09334637
G0004,11.18421053,1513.56503772,0.0,1370.09334637
G0004,11.94736842,1571.99059139,0.0,1370.09334637
G0004,12.71052632,1506.92951360,0.0,1370.09334637
G0004,13.47368421,1451.12969143,0.0,1370.09334637
G0004,14.23684211,1394.64576879,0.0,1370.09334637
G0004,15.00000000,1390.13862325,0.0,1370.09334637
G0005,0.50000000,1591.40886422,0.0,1422.78924431
G0005,1.26315789,1629.21192427,0.0,1422.78924431
G0005,2.02631579,1539.63838023,0.0,1422.78924431
G0005,2.78947368,1468.99914251,0.0,1422.78924431
G0005,3.55263158,1620.15598388,0.0,1422.78924431
G0005,4.31578947,1453.00725906,0.0,1422.78924431
G0005,5.07894737,1497.04283200,0.0,1422.78924431
G0005,5.84210526,1600.59397307,0.0,1422.78924431
G0005,6.60526316,1377.73592275,0.0,1422.78924431
G0005,7.36842105,1582.38068278,0.0,1422.78924431
G0005,8.13157895,1507.24415569,0.0,1422.78924431
G0005,8.89473684,1560.87309149,0.0,1422.78924431
G0005,9.65789474,1546.51493352,0.0,1422.78924431
G0005,10.42105263,1568.07887825,0.0,1422.78924431
G0005,11.18421053,1606.27215955,0.0,1422.78924431
G0005,11.94736842,1493.52653819,0.0,1422.78924431
G0005,12.71052632,1662.68682592,0.0,1422.78924431
G0005,13.47368421,1608.74991911,0.0,1422.78924431
G0005,14.23684211,1617.88099465,0.0,1422.78924431
G0005,15.00000000,1642.80706072,0.0,1422.78924431
G0006,0.50000000,1673.28320326,0.0,1475.48514225
G0006,1.26315789,1677.83036549,0.0,1475.48514225
G0006,2.02631579,1615.97166665,0.0,1475.48514225
G0006,2.78947368,1495.03958872,0.0,1475.48514225
G0006,3.55263158,1599.01644256,0.0,1475.48514225
G0006,4.31578947,1547.94523539,0.0,1475.48514225
G0006,5.07894737,1495.36414854,0.0,1475.48514225
G0006,5.84210526,1630.69079575,0.0,1475.48514225
G0006,6.60526316,1564.12179549,0.0,1475.48514225
G0006,7.36842105,1526.99337979,0.0,1475.48514225
G0006,8.13157895,1525.93112479,0.0,1475.48514225
G0006,8.89473684,1631.49286461,0.0,1475.48514225
G0006,9.65789474,1638.75787080,0.0,1475.48514225
G0006,10.42105263,1716.33715060,0.0,1475.48514225
G0006,11.18421053,1608.76675675,0.0,1475.48514225
G0006,11.94736842,1693.74901308,0.0,1475.48514225
G0006,12.71052632,1722.76119117,0.0,1475.48514225
G0006,13.47368421,1702.46863309,0.0,1475.48514225
G0006,14.23684211,1419.49323094,0.0,1475.48514225
G0006,15.00000000,1708.78889440,0.0,1475.48514225
G0007,0.50000000,1695.69659371,0.0,1528.18059470
G0007,1.26315789,1702.71221880,0.0,1528.18059470
G0007,2.02631579,1698.33167621,0.0,1528.18059470
G0007,2.78947368,1699.29290091,0.0,1528.18059470
G0007,3.55263158,1694.01205458,0.0,1528.18059470
G0007,4.31578947,1637.46047301,0.0,1528.18059470
G0007,5.07894737,1508.84507006,0.0,1528.18059470
G0007,5.84210526,1658.30263926,0.0,1528.18059470
G0007,6.60526316,1600.37633462,0.0,1528.18059470
G0007,7.36842105,1757.43505921,0.0,1528.18059470
G0007,8.13157895,1643.30855149,0.0,1528.18059470
G0007,8.89473684,1674.34203478,0.0,1528.18059470
G0007,9.65789474,1596.55184985,0.0,1528.18059470
G0007,10.42105263,1624.81261112,0.0,1528.18059470
G0007,11.18421053,1666.42126486,0.0,1528.18059470
G0007,11.94736842,1543.54831709,0.0,1528.18059470
G0007,12.71052632,1692.45062515,0.0,1528.18059470
G0007,13.47368421,1658.53961390,0.0,1528.18059470
G0007,14.23684211,1568.53032785,0.0,1528.18059470
G0007,15.00000000,1467.44415881,0.0,1528.18059470
G0008,0.50000000,1769.12635922,0.0,1580.87693812
G0008,1.26315789,1699.21390486,0.0,1580.87693812
G0008,2.02631579,1679.16871196,0.0,1580.87693812
G0008,2.78947368,1704.51181890,0.0,1580.87693812
G0008,3.55263158,1881.53875886,0.0,1580.87693812
G0008,4.31578947,1720.58369213,0.0,1580.87693812
G0008,5.07894737,1732.34910992,0.0,1580.87693812
G0008,5.84210526,1596.62770605,0.0,1580.87693812
G0008,6.60526316,1866.95172904,0.0,1580.87693812
G0008,7.36842105,1804.00649882,0.0,1580.87693812
G0008,8.13157895,1816.89538631,0.0,1580.87693812
G0008,8.89473684,1728.99020772,0.0,1580.87693812
G0008,9.65789474,1803.93464084,0.0,1580.87693812
G0008,10.42105263,1756.87063890,0.0,1580.87693812
G0008,11.18421053,1777.76256343,0.0,1580.87693812
G0008,11.94736842,1711.75300394,0.0,1580.87693812
G0008,12.71052632,1597.76482559,0.0,1580.87693812
G0008,13.47368421,1813.61117245,0.0,1580.87693812
G0008,14.23684211,1558.00018831,0.0,1580.87693812
G0008,15.00000000,1704.18564076,0.0,1580.87693812
G0009,0.50000000,1764.14789593,0.0,1633.57283606
G0009,1.26315789,1689.43630562,0.0,1633.57283606
G0009,2.02631579,1837.01543892,0.0,1633.57283606
G0009,2.78947368,1764.52155180,0.0,1633.57283606
G0009,3.55263158,1743.44152906,0.0,1633.57283606
G0009,4.31578947,1828.70231816,0.0,1633.57283606
G0009,5.07894737,1739.90256041,0.0,1633.57283606
G0009,5.84210526,1906.15881818,0.0,1633.57283606
G0009,6.60526316,1813.69591265,0.0,1633.57283606
G0009,7.36842105,1740.10272588,0.0,1633.57283606
G0009,8.13157895,1609.10424785,0.0,1633.57283606
G0009,8.89473684,1665.82937182,0.0,1633.57283606
G0009,9.65789474,1879.23166486,0.0,1633.57283606
G0009,10.42105263,1777.86491114,0.0,1633.57283606
G0009,11.18421053,1757.14293375,0.0,1633.57283606
G0009,11.94736842,1928.81918479,0.0,1633.57283606
G0009,12.71052632,1668.06660431,0.0,1633.57283606
G0009,13.47368421,1730.18159947,0.0,1633.57283606
G0009,14.23684211,1740.25826570,0.0,1633.57283606
G0009,15.00000000,1834.62831745,0.0,1633.57283606
G0010,0.50000000,1778.82969219,0.0,1686.26873400
G0010,1.26315789,1783.44016420,0.0,1686.26873400
G0010,2.02631579,1692.20727635,0.0,1686.26873400
G0010,2.78947368,1906.96606633,0.0,1686.26873400
G0010,3.55263158,1914.03024546,0.0,1686.26873400
G0010,4.31578947,1796.04705912,0.0,1686.26873400
G0010,5.07894737,1854.89685714,0.0,1686.26873400
G0010,5.84210526,1720.95555627,0.0,1686.26873400
G0010,6.60526316,1796.46688013,0.0,1686.26873400
G0010,7.36842105,1966.63321361,0.0,1686.26873400
G0010,8.13157895,1852.35698826,0.0,1686.26873400
G0010,8.89473684,2052.40913584,0.0,1686.26873400
G0010,9.65789474,1767.45399798,0.0,1686.26873400
G0010,10.42105263,1893.25305166,0.0,1686.26873400
G0010,11.18421053,1821.88536703,0.0,1686.26873400
G0010,11.94736842,1891.92222080,0.0,1686.26873400
G0010,12.71052632,1839.20724020,0.0,1686.26873400
G0010,13.47368421,1788.24404235,0.0,1686.26873400
G0010,14.23684211,1760.05550813,0.0,1686.26873400
G0010,15.00000000,2121.92618730,0.0,1686.26873400
G0011,0.50000000,1890.02899947,0.0,1738.96449598
