logM,log_gbar,log_j,hinge,residual_dex
-6.98527390001276,-6.383213908684797,-3.637680785346782,0.0,0.010942324983177265
-6.582786263590002,-6.785701545107556,-3.2574039878061614,0.0,-0.03347935278109748
-6.377536775793107,-6.990951032904451,-3.022825090277714,0.0,0.02517946668200821
-6.238721635700818,-7.129766172996739,-2.8810088940129264,0.0,0.031181579027006023
-6.133693732470583,-7.234794076226975,-2.824032134928027,0.0,-0.06492070926366633
-6.049183652917891,-7.319304155779666,-2.7282676806090507,0.0,-0.04241195973109768
-5.978470191957815,-7.390017616739742,-2.6337345335924933,0.0,0.005227412381865193
-5.917674526514951,-7.450813282182607,-2.5801970310377578,0.0,-0.009288913394393639
-5.864353779484551,-7.504134029213007,-2.5219688713289217,0.0,0.0005259119624794195
-5.81686946962337,-7.551618339074188,-2.4883306244926375,0.0,-0.027166214087314344
-5.774069021540754,-7.594418787156803,-2.417319572752017,0.0,0.029254993228695625
-5.735110800687934,-7.6333770080096235,-2.3799662463380162,0.0,0.026045204351057727
-5.6993614367135,-7.669126371984058,-2.355628768371206,0.0,0.0032214323358088492
-5.666332315040076,-7.7021554936574805,-2.305692814889232,0.0,0.03703509595290999
-5.635638570915277,-7.73284923778228,-2.2854320466490963,0.0,0.01616914418358295
-5.606971648108485,-7.761516160589072,-2.2785379425364183,0.0,-0.027376493204645413
-5.580080370214077,-7.788407438483481,-2.231457403867922,0.0,0.013002028343531258
-5.554757539989758,-7.8137302687078,-2.2280030101281625,0.0,-0.030734844625587954
-5.530830235859019,-7.837657572838538,-2.1740957284595877,0.0,0.029225110450084024
-5.508152645293097,-7.86033516340446,-2.166307884164464,0.0,-0.0005543820915123732
-6.9548169486334785,-6.352756957305516,-3.6325823062010754,0.0,-0.009317668104690924
-6.552329312210721,-6.755244593728275,-3.238061775175521,0.0,-0.0252518788990983
-6.347079824413826,-6.9604940815251695,-3.0030060207549294,0.0,0.03436065434829594
-6.208264684321537,-7.099309221617458,-2.88554758887581,0.0,-0.008352762078042808
-6.103236781091302,-7.204337124847694,-2.7848940637094337,0.0,-0.017101518205762112
-6.0187267015386094,-7.288847204400385,-2.6991622243659643,0.0,-0.014657998624207025
-5.9480132405785335,-7.359560665360461,-2.6145128354625804,0.0,0.013213857262408979
-5.887217575135669,-7.420356330803326,-2.5563124211500976,0.0,0.008023355001645527
-5.833896828105269,-7.473677077833726,-2.5022546198179354,0.0,0.009497463605170786
-5.786412518244088,-7.521161387694907,-2.454488708966878,0.0,0.010060665584923356
-5.743612070161473,-7.563961835777522,-2.385846940216947,0.0,0.06174330691955454
-5.704653849308653,-7.602920056630342,-2.385959412265084,0.0,-0.016398078882359002
-5.6689044853342185,-7.638669420604777,-2.35191131567068,0.0,-0.01980061364242136
-5.635875363660795,-7.671698542278199,-2.323766405027399,0.0,-0.029569035702705193
-5.605181619535996,-7.702392286402999,-2.270385706937243,0.0,0.015804872228008193
-5.576514696729204,-7.731059209209791,-2.2338592470385814,0.0,0.03152394641174716
-5.549623418834796,-7.7579504871042,-2.2262616919193263,0.0,-0.007063499138559415
-5.524300588610477,-7.7832733173285185,-2.212621621375228,0.0,-0.03042901849900037
-5.500373284479737,-7.807200621459256,-2.1884387970078083,0.0,-0.029917978025638448
-5.477695693913816,-7.829878212025179,-2.142364973521244,0.0,0.016874487815646155
-6.929435459728906,-6.327375468400944,-3.6057955888984106,0.0,0.018874277596066413
-6.526947823306148,-6.7298631048237025,-3.2063122576876744,0.0,0.012865667172023088
-6.321698335509254,-6.935112592620597,-3.0196653795907022,0.0,-0.024339552227822026
-6.182883195416965,-7.073927732712885,-2.8669585315940127,0.0,0.0034438635809799223
-6.0778552921867295,-7.1789556359431215,-2.763692936529547,0.0,-8.0752750561075e-05
-5.993345212634037,-7.263465715495813,-2.6776257922107334,0.0,0.0030333767816834722
-5.922631751673961,-7.334179176455889,-2.5970783267133024,0.0,0.022701385856392697
-5.861836086231097,-7.394974841898754,-2.546041902110838,0.0,0.00318290417559286
-5.808515339200698,-7.448295588929153,-2.4858392149110675,0.0,0.01694678451433429
-5.761031029339517,-7.495779898790334,-2.447620279705225,0.0,-0.0015839647963424852
-5.7182305812569005,-7.5385803468729495,-2.401439288838099,0.0,0.005177120772677846
-5.679272360404081,-7.57753856772577,-2.357310987529491,0.0,0.015517281684254591
-5.643522996429646,-7.613287931700205,-2.354120932601351,0.0,-0.04960133640833497
-5.610493874756223,-7.646317053373627,-2.303056226454976,0.0,-0.013530167462430853
-5.5798001306314235,-7.6770107974984265,-2.274709348962951,0.0,-0.01822390072798008
-5.551133207824631,-7.705677720305219,-2.2486816560059566,0.0,-0.023502360427575475
-5.5242419299302234,-7.7325689981996275,-2.216113254413707,0.0,-0.012148113031892116
-5.498919099705905,-7.757891828423946,-2.1641754882638846,0.0,0.041081758819114356
-5.474991795575166,-7.781819132554685,-2.1761204621942793,0.0,-0.030662797303151912
-5.452314205009244,-7.804496723120606,-2.1253204577014593,0.0,0.025582030550643786
-6.911403818572822,-6.309343827244859,-3.6307060448644988,0.0,-0.048978275492194356
-6.508916182150063,-6.711831463667617,-3.207367538772761,0.0,-0.007276536154235735
-6.3036666943531685,-6.917080951464512,-2.9946666477857553,0.0,0.007626270225986609
-6.16485155426088,-7.055896091556801,-2.849609829275982,0.0,0.02010962706095576
-6.059823651030644,-7.160923994787036,-2.742756458520941,0.0,0.02376056211056543
-5.975313571477953,-7.2454340743397285,-2.6570513136005856,0.0,0.026150692845893886
-5.904600110517877,-7.316147535299804,-2.6032605398856496,0.0,-0.0076946816443861366
-5.843804445075012,-7.376943200742669,-2.544185177198693,0.0,-0.011135287156202267
-5.790483698044612,-7.430263947773068,-2.471283235197147,0.0,0.028027102786089664
-5.742999388183431,-7.47774825763425,-2.4392876797903402,0.0,-0.002950406122657512
-5.700198940100816,-7.520548705716865,-2.413096592564533,0.0,-0.03616912783627413
-5.661240719247996,-7.559506926569685,-2.3719206873820697,0.0,-0.03173375917698795
-5.625491355273561,-7.595256290544119,-2.332862244379773,0.0,-0.02511560112126432
-5.592462233600139,-7.628285412217543,-2.27852579347759,0.0,0.017499057336256563
-5.561768489475339,-7.658979156342342,-2.2530703235871306,0.0,0.0070225088675766045
-5.533101566668547,-7.687646079149134,-2.216336732888737,0.0,0.023155844650779578
-5.506210288774138,-7.714537357043542,-2.2060588938780725,0.0,-0.010071033116709316
-5.4808874585498195,-7.739860187267861,-2.1719499674624316,0.0,0.007501159265935975
-5.456960154419081,-7.7637874913986,-2.141142699861949,0.0,0.02126108620542322
-5.434282563853159,-7.786465081964522,-2.1323483907107104,0.0,-0.006505476623942741
-6.895176792599091,-6.293116801271129,-3.5863428295026663,0.0,0.023521129257740192
-6.492689156176333,-6.695604437693887,-3.200162619307945,0.0,-0.009093723198334125
-6.287439668379438,-6.9008539254907815,-2.990496150235305,0.0,-0.00025976064684307687
-6.148624528287149,-7.03966906558307,-2.8519558260924196,0.0,-0.000809392545649601
-6.043596625056914,-7.144696968813306,-2.7590742815586706,0.0,-0.02510210993862305
-5.9590865455042215,-7.229207048365997,-2.649820770613193,0.0,0.024384752846948743
-5.8883730845441455,-7.299920509326073,-2.592996129747428,0.0,-0.003392887341674644
-5.8275774191012815,-7.360716174768938,-2.525146679525365,0.0,0.010714682216722338
-5.774256672070882,-7.414036921799338,-2.465079889494411,0.0,0.024206768217831964
-5.726772362209701,-7.461521231660519,-2.418084983797508,0.0,0.02322795988927595
-5.683971914127085,-7.504321679743134,-2.3721636154519814,0.0,0.029469800415097502
-5.645013693274265,-7.543279900595954,-2.3441972990267255,0.0,0.007485991559969207
-5.6092643292998305,-7.579029264570389,-2.313207546501218,0.0,-0.0020332313378848
-5.576235207626408,-7.612058386243812,-2.2751453965977873,0.0,0.008032825122131548
-5.545541463501608,-7.642752130368611,-2.268520113041672,0.0,-0.0401040960152379
-5.5168745406948165,-7.671419053175404,-2.236170832569223,0.0,-0.0327393806839229
-5.489983262800408,-7.698310331069812,-2.2073846347960213,0.0,-0.028949540926336503
-5.464660432576089,-7.7236331612941305,-2.177143617542039,0.0,-0.019113166867009035
-5.44073312844535,-7.747560465424869,-2.1327154351990685,0.0,0.021888589557454097
-5.418055537879428,-7.770238055990791,-2.1291619512524393,0.0,-0.016359623681132085
-6.864808518623288,-6.262748527295326,-3.586727237619932,0.0,-0.007615960952594314
-6.46232088220053,-6.665236163718084,-3.160860918970622,0.0,0.03914140350050932
-6.257071394403635,-6.870485651514978,-2.978676650023627,0.0,-0.006989034199290423
-6.118256254311347,-7.009300791607267,-2.824485864230261,0.0,0.023762257202865733
-6.013228351081111,-7.114328694837503,-2.7431746403667105,0.0,-0.023671101530506
-5.928718271528419,-7.198838774390195,-2.648170673023465,0.0,-0.002683325949398352
-5.858004810568343,-7.269552235350271,-2.5881904504213935,0.0,-0.02414980266540745
-5.797209145125478,-7.330347900793136,-2.518567911110646,0.0,-0.006496054929641559
-5.743888398095079,-7.383668647823535,-2.4487006118418333,0.0,0.02659704954718478
-5.696404088233898,-7.431152957684716,-2.4380849442599253,0.0,-0.04714023501136122
-5.653603640151283,-7.473953405767332,-2.3640396863332263,0.0,0.015349384676805577
-5.614645419298463,-7.512911626620152,-2.3278331455068093,0.0,0.009846024624000194
-5.578896055324028,-7.548660990594587,-2.30391866901346,0.0,-0.013823750338171514
-5.545866933650605,-7.581690112268009,-2.2833530736515963,0.0,-0.03875080296128974
-5.515173189525806,-7.612383856392809,-2.2306913537497803,0.0,0.005185148592743438
-5.486506266719013,-7.641050779199601,-2.210597380527857,0.0,-0.011960750576994528
-5.4596149888246055,-7.6679420570940096,-2.1728737267951326,0.0,0.009704001099637871
-5.434292158600286,-7.693264887318327,-2.1505203163905797,0.0,0.0037651614601061922
-5.410364854469547,-7.717192191449066,-2.1048188547342925,0.0,0.04731347651120288
-5.387687263903626,-7.739869782014988,-2.1076228731879616,0.0,-0.0036497415279788115
-6.835170444545612,-6.233110453217649,-3.5844030301730014,0.0,-0.032605620136409996
-6.432682808122853,-6.635598089640407,-3.1651134704235764,0.0,0.000998226516923495
-6.227433320325958,-6.840847577437302,-2.9593063585462125,0.0,0.0021134746778619373
-6.08861818023367,-6.979662717529591,-2.805174718731009,0.0,0.03274647412369269
-5.983590277003434,-7.084690620759826,-2.7071260334555936,0.0,0.018788038214050395
-5.8990801974507425,-7.169200700312518,-2.6290841420803366,0.0,0.005851661859181512
-5.828366736490667,-7.239914161272594,-2.5435500076598974,0.0,0.03549300877990813
-5.7675710710478025,-7.300709826715459,-2.5191639463270223,0.0,-0.03732619944007087
-5.714250324017403,-7.354030573745859,-2.458051300521647,0.0,-0.021742401890119112
-5.666766014156222,-7.40151488360704,-2.414620329581376,0.0,-0.02984907973193973
-5.623965566073606,-7.444315331689655,-2.364265006982938,0.0,-0.014739330700294317
-5.585007345220785,-7.4832735525424745,-2.3392997796663852,0.0,-0.042725317772829285
-5.549257981246352,-7.51902291651691,-2.2754864872087452,0.0,0.013402539193582363
-5.516228859572928,-7.552052038190332,-2.2541962163129954,0.0,-0.010075162361764534
-5.485535115448129,-7.582745782315132,-2.2411859408821155,0.0,-0.04544209974960367
-5.456868192641337,-7.611412705121924,-2.2059880104953336,0.0,-0.03238008458962405
-5.429976914746928,-7.638303983016332,-2.160572055525555,0.0,0.0046692695611163515
-5.404654084522609,-7.663626813240651,-2.1281493628902357,0.0,0.018868994383116622
-5.380726780391871,-7.6875541173713895,-2.0889415259500677,0.0,0.04943006000197592
-5.358049189825949,-7.710231707937312,-2.0545381737576314,0.0,0.07288158325500493
-6.824407866548408,-6.2223478752204455,-3.553536621554919,0.0,0.018364619102551494
-6.421920230125649,-6.624835511643203,-3.1700847764236695,0.0,-0.0197069634804663
-6.216670742328755,-6.830084999440098,-2.9809667149466303,0.0,-0.05196981612017737
-6.077855602236466,-6.968900139532386,-2.8089348120351323,0.0,0.014463709518241608
-5.97282769900623,-7.073928042762622,-2.718551428901268,0.0,-0.014825330674501203
-5.888317619453538,-7.158438122315314,-2.628595883546092,0.0,-0.003934399069533079
-5.817604158493462,-7.22915158327539,-2.5605685117814874,0.0,-0.009306577460476362
-5.756808493050597,-7.289947248718255,-2.493365652394311,0.0,0.0035078104281476286
-5.703487746020198,-7.343267995748654,-2.424057716150764,0.0,0.03548218885444232
-5.656003436159017,-7.390752305609835,-2.388559806751202,0.0,0.011509387931203818
-5.613202988076402,-7.433552753692451,-2.350001014121022,0.0,0.003026077026333951
-5.574244767223582,-7.472510974545271,-2.3230489609636065,0.0,-0.020986258364476207
-5.538495403249147,-7.5082603385197055,-2.2962616264016837,0.0,-0.0389103171895
-5.505466281575725,-7.541289460193129,-2.246711322198418,0.0,-0.005867952129813503
-5.474772537450924,-7.571983204317927,-2.2101571241276226,0.0,0.005852955762177814
-5.446105614644133,-7.60065012712472,-2.1576399541561946,0.0,0.053553450091450294
-5.419214336749724,-7.627541405019128,-2.152128851275555,0.0,0.01079310006391232
-5.393891506525406,-7.652864235243447,-2.115545543050442,0.0,0.03331405606550053
-5.369964202394668,-7.676791539374186,-2.111386447090476,0.0,-0.006222360276044725
-5.3472866118287445,-7.699469129940107,-2.098168019893287,0.0,-0.025140687013510465
-6.796207468757758,-6.194147477429795,-3.5611843046108618,0.0,-0.02513114479998446
-6.393719832335,-6.596635113852554,-3.1554697825946603,0.0,-0.01867737361309718
-6.188470344538105,-6.801884601649449,-2.9135672557952073,0.0,0.0546287043920195
-6.049655204445816,-6.940699741741737,-2.8126957797857264,0.0,-0.021258623773595886
-5.944627301215581,-7.045727644971973,-2.6859108261927087,0.0,0.022255476951968056
-5.860117221662889,-7.130237724524664,-2.6242552104997054,0.0,-0.02345345076741001
-5.789403760702813,-7.20095118548474,-2.529498862561793,0.0,0.024632323188264138
-5.728608095259949,-7.261746850927605,-2.4757290361595627,0.0,0.010580645106994524
-5.675287348229549,-7.315067597958005,-2.429483366103267,0.0,-0.0035695088412133202
-5.627803038368368,-7.362551907819186,-2.380475589534548,0.0,-0.0005225754261370952
-5.585002590285752,-7.405352355901801,-2.3458095758325177,0.0,-0.016791444187307825
-5.546044369432932,-7.444310576754622,-2.292374039539573,0.0,0.012163186692941252
-5.510295005458498,-7.480059940729056,-2.2684382814875246,0.0,-0.011464025151830981
-5.4772658837850745,-7.513089062402479,-2.245774050929118,0.0,-0.03219380738186395
-5.446572139660275,-7.543782806527278,-2.2157932223800145,0.0,-0.03361963853325545
-5.417905216853483,-7.57244972933407,-2.1677866540909783,0.0,0.005059652431232742
-5.391013938959075,-7.599341007228479,-2.1229308103464826,0.0,0.040988784131407385
-5.365691108734755,-7.624663837452797,-2.1157368372416956,0.0,0.004731069892343953
-5.3417638046040175,-7.648591141583536,-2.095459635516066,0.0,-0.0025691349178744716
-5.319086214038095,-7.671268732149458,-2.067493490144816,0.0,0.008007974692781694
-6.769464140456148,-6.167404149128186,-3.5214816229989823,0.0,0.02753089012216492
-6.366976504033389,-6.5698917855509436,-3.1325940711274565,0.0,0.00033072101969988665
-6.161727016236496,-6.775141273347839,-2.935433196153797,0.0,-0.01584650462676951
-6.022911876144207,-6.913956413440127,-2.7773972252515993,0.0,0.022595156993048704
-5.917883972913971,-7.018984316670363,-2.6808476860353547,0.0,0.005638428965065501
-5.833373893361279,-7.103494396223055,-2.5825695267999462,0.0,0.0331745883304988
-5.762660432401203,-7.174207857183131,-2.5287378291164364,0.0,-0.0005889382226325068
-5.701864766958339,-7.235003522625996,-2.486238712246955,0.0,-0.03718203536939946
-5.6485440199279395,-7.288324269656395,-2.4348296704833396,0.0,-0.04100544590296806
-5.6010597100667585,-7.335808579517576,-2.348847667438936,0.0,0.03598994046347759
-5.558259261984142,-7.378609027600191,-2.3051605349495436,0.0,0.03776330927703064
-5.519301041131323,-7.417567248453012,-2.290020087790337,0.0,-0.009872238110196108
