galaxy,r_kpc,g_bar,g_obs,log_g_bar,log_g_obs
G0000,0.5,8.711205343784206e-08,1.0501292019005198e-07,-7.059921748788339,-6.978757264529609
G0000,1.263157894736842,3.448185448581248e-08,4.050937322098769e-08,-7.462409385211098,-7.3924444763615185
G0000,2.026315789473684,2.149518201712986e-08,2.7254579738560872e-08,-7.667658873007992,-7.56456051033895
G0000,2.7894736842105265,1.5614424672820746e-08,1.8784127057855936e-08,-7.80647401310028,-7.726208982807954
G0000,3.5526315789473686,1.226021492828888e-08,1.3824143088443302e-08,-7.911501916330517,-7.859361779625038
G0000,4.315789473684211,1.0092250093408533e-08,1.2452965557001831e-08,-7.996011995883208,-7.904727213092273
G0000,5.078947368421053,8.575798006834191e-09,1.1583986493599748e-08,-8.066725456843283,-7.936141957514204
G0000,5.842105263157895,7.455536105040536e-09,9.736146295143086e-09,-8.127521122286149,-8.011612909028605
G0000,6.605263157894737,6.5941395032629454e-09,7.307449457793901e-09,-8.180841869316549,-8.136234179771705
G0000,7.36842105263158,5.911175054710711e-09,6.174799579613261e-09,-8.22832617917773,-8.209377134081349
G0000,8.131578947368421,5.3564045803203865e-09,5.985429762192807e-09,-8.271126627260346,-8.222904661189387
G0000,8.894736842105264,4.8968314062692275e-09,5.853683628565684e-09,-8.310084848113165,-8.232570753388568
G0000,9.657894736842106,4.509888325119888e-09,4.193187776701712e-09,-8.345834212087599,-8.377455688858204
G0000,10.421052631578949,4.179618725553028e-09,4.867472323634888e-09,-8.378863333761023,-8.312696509191971
G0000,11.18421052631579,3.894421212515292e-09,4.076580854898584e-09,-8.409557077885822,-8.389703939458421
G0000,11.947368421052632,3.6456586240506593e-09,4.028083020422078e-09,-8.438224000692614,-8.394901587041053
G0000,12.710526315789474,3.426768147658383e-09,3.860481407452325e-09,-8.465115278587023,-8.413358534819508
G0000,13.473684210526317,3.2326738580449197e-09,3.727662197922345e-09,-8.490438108811341,-8.428563450455758
G0000,14.23684210526316,3.059388198371532e-09,3.793596842228363e-09,-8.51436541294208,-8.42094882487036
G0000,15.0,2.903735114594735e-09,3.8266030266599345e-09,-8.537043003508002,-8.417186589323277
G0001,0.5,9.521135395910515e-08,1.1189470592220275e-07,-7.021311258886884,-6.951190460774278
G0001,1.263157894736842,3.7687827608812456e-08,5.120677267354074e-08,-7.423798895309642,-7.2906725948791395
G0001,2.026315789473684,2.3493710717181793e-08,2.613919661363771e-08,-7.629048383106537,-7.58270776456059
G0001,2.7894736842105265,1.706618608700941e-08,2.103733710633e-08,-7.767863523198825,-7.67700923377766
G0001,3.5526315789473686,1.3400116483133314e-08,1.7426347223549218e-08,-7.872891426429061,-7.7587936368089405
G0001,4.315789473684211,1.103058369038413e-08,1.325539984329114e-08,-7.957401505981752,-7.877607167431762
G0001,5.078947368421053,9.373138472658018e-09,1.0344292348506915e-08,-8.028114966941828,-7.9852992140026435
G0001,5.842105263157895,8.148719482986475e-09,8.82731390586575e-09,-8.088910632384694,-8.054171429302393
G0001,6.605263157894737,7.207233965031862e-09,8.191809340808718e-09,-8.142231379415094,-8.086620164180534
