galaxy,r_kpc,g_bar,g_obs,log_g_bar,log_g_obs
D0000,0.5,4.1379581240867864e-07,4.2435411340990476e-07,-6.383213908684797,-6.37227158370162
D0000,1.263157894736842,1.63794175745102e-07,1.5164185978352098e-07,-6.785701545107556,-6.8191808978886534
D0000,2.026315789473684,1.021054602047389e-07,1.082002922430167e-07,-6.990951032904451,-6.965771566222442
D0000,2.7894736842105265,7.417094750721598e-08,7.969212473146088e-08,-7.129766172996739,-7.098584593969733
D0000,3.5526315789473686,5.823792915381403e-08,5.015164867622779e-08,-7.234794076226975,-7.299714785490641
D0000,4.315789473684211,4.793975875466399e-08,4.347943425341184e-08,-7.319304155779666,-7.361716115510764
D0000,5.078947368421053,4.073637531484401e-08,4.122966400922233e-08,-7.390017616739742,-7.384790204357877
D0000,5.842105263157895,3.5414956917859886e-08,3.466552680122056e-08,-7.450813282182607,-7.460102195577001
D0000,6.605263157894737,3.1323188987111136e-08,3.136114299918906e-08,-7.504134029213007,-7.503608117250527
D0000,7.36842105263158,2.807900155630319e-08,2.6376395538879914e-08,-7.551618339074188,-7.578784553161502
D0000,8.131578947368421,2.5443755455549818e-08,2.7216746363740058e-08,-7.594418787156803,-7.565163793928107
D0000,8.894736842105264,2.3260711348416845e-08,2.469836453744124e-08,-7.6333770080096235,-7.607331803658566
D0000,9.657894736842106,2.1422671487097804e-08,2.1582167577572726e-08,-7.669126371984058,-7.665904939648249
D0000,10.421052631578949,1.985383948425478e-08,2.1621190451079144e-08,-7.7021554936574805,-7.6651203977045705
D0000,11.18421052631579,1.8499106907682104e-08,1.920082575193405e-08,-7.73284923778228,-7.716680093598697
D0000,11.947368421052632,1.7317445893755273e-08,1.625950598432316e-08,-7.761516160589072,-7.7888926537937175
D0000,12.710526315789474,1.6277682061625038e-08,1.677237600334507e-08,-7.788407438483481,-7.77540541013995
D0000,13.473684210526317,1.5355703976103308e-08,1.430654900023539e-08,-7.8137302687078,-7.844465113333388
D0000,14.23684210526316,1.4532570121561727e-08,1.5544170010706888e-08,-7.837657572838538,-7.808432462388454
D0000,15.0,1.3793193746955957e-08,1.3775597803556109e-08,-7.86033516340446,-7.860889545495972
D0001,0.5,4.4385696855571287e-07,4.344355681043882e-07,-6.352756957305516,-6.362074625410207
D0001,1.263157894736842,1.7569338338663636e-07,1.657690800684253e-07,-6.755244593728275,-6.780496472627373
D0001,2.026315789473684,1.0952314808517591e-07,1.1854045034397523e-07,-6.9604940815251695,-6.9261334271768735
D0001,2.7894736842105265,7.955926794866551e-08,7.804372973729667e-08,-7.099309221617458,-7.1076619836955
