galaxy,delta_mass,rho_lag1,match_sep_arcsec,proxy_source,proxy_mode,match_radius_arcsec
NGC0759,0.6345,,3.4102295088402133,DELTA_3MPC,density,15.0
UGC6202,0.9284,,0.5956137893077468,DELTA_3MPC,density,15.0
DDO5253,3.2447,,2.949755069201729,DELTA_3MPC,density,15.0
IC3539,-0.4857,,1.9599579911653768,DELTA_3MPC,density,15.0
ESO3492,0.0105,,2.129428840652404,DELTA_3MPC,density,15.0
F6875,-0.8917,,1.562518417645137,DELTA_3MPC,density,15.0
CamB0733,-0.6801,,2.542452462778019,DELTA_3MPC,density,15.0
NGC5594,0.8837,,1.1172581423035939,DELTA_3MPC,density,15.0
UGC1651,-0.3833,,1.8798782200800965,DELTA_3MPC,density,15.0
DDO0798,-0.1688,,3.0148859001876027,DELTA_3MPC,density,15.0
IC4235,-0.5317,,3.1303099337874243,DELTA_3MPC,density,15.0
ESO7806,-0.5269,,2.1166347967635812,DELTA_3MPC,density,15.0
F5899,-0.422,,2.4267883899611418,DELTA_3MPC,density,15.0
CamB6101,1.9181,,3.2771207694275444,DELTA_3MPC,density,15.0
NGC5753,2.1935,,3.2569427077314423,DELTA_3MPC,density,15.0
UGC6299,-0.5276,,2.1324865982615826,DELTA_3MPC,density,15.0
DDO4130,1.0637,,2.5870735035933614,DELTA_3MPC,density,15.0
IC1068,1.6912,,2.560842515149305,DELTA_3MPC,density,15.0
ESO6725,-0.3906,,2.0069167413971902,DELTA_3MPC,density,15.0
F3630,-0.7957,,2.6480363197931687,DELTA_3MPC,density,15.0
CamB4027,1.6255,,2.10140325143318,DELTA_3MPC,density,15.0
NGC2997,-0.7248,,1.6547249784446685,DELTA_3MPC,density,15.0
UGC1501,-0.7991,,1.5325696797549127,DELTA_3MPC,density,15.0
DDO7417,0.2538,,2.480347693761344,DELTA_3MPC,density,15.0
IC6263,-0.5052,,1.216881952812257,DELTA_3MPC,density,15.0
ESO5168,1.6525,,3.084233402778879,DELTA_3MPC,density,15.0
F3249,-0.7257,,2.497979740313361,DELTA_3MPC,density,15.0
CamB6590,-0.447,,2.7182745619577715,DELTA_3MPC,density,15.0
NGC4386,-0.2704,,2.224575486318904,DELTA_3MPC,density,15.0
UGC3575,1.3873,,2.4120571446767216,DELTA_3MPC,density,15.0
DDO3631,-0.5912,,2.6537223541531976,DELTA_3MPC,density,15.0
IC1856,-0.359,,2.819961087784183,DELTA_3MPC,density,15.0
ESO0782,-0.9518,,2.2251834787100253,DELTA_3MPC,density,15.0
F4458,-0.1897,,0.9615731723558187,DELTA_3MPC,density,15.0
CamB7108,-0.8945,,2.930837965703231,DELTA_3MPC,density,15.0
NGC0557,1.6232,,2.3022994508729266,DELTA_3MPC,density,15.0
UGC6873,-0.0741,,1.2328484723241664,DELTA_3MPC,density,15.0
DDO6629,2.5836,,2.8694977325833766,DELTA_3MPC,density,15.0
IC2250,-0.5163,,2.6709529439426123,DELTA_3MPC,density,15.0
ESO5071,-0.0897,,1.5774165758835532,DELTA_3MPC,density,15.0
F1363,-0.741,,1.8172490876352805,DELTA_3MPC,density,15.0
CamB6076,-0.2731,,1.5970321041748712,DELTA_3MPC,density,15.0
NGC5619,0.0268,,3.4472111764318956,DELTA_3MPC,density,15.0
UGC2868,-0.3392,,1.0836979319842426,DELTA_3MPC,density,15.0
DDO0589,0.6095,,0.6576440830418744,DELTA_3MPC,density,15.0
IC7767,-0.6714,,3.0839282443294294,DELTA_3MPC,density,15.0
ESO3593,4.1389,,2.699723980612217,DELTA_3MPC,density,15.0
F7150,0.1326,,2.80046170452866,DELTA_3MPC,density,15.0
CamB5439,-0.7644,,2.3921728785668686,DELTA_3MPC,density,15.0
NGC6238,-0.2018,,1.8033456314991663,DELTA_3MPC,density,15.0
UGC6091,-0.5207,,2.025074563499966,DELTA_3MPC,density,15.0
DDO1597,0.2961,,2.9862433431618216,DELTA_3MPC,density,15.0
IC2943,-0.8207,,1.6447808497978094,DELTA_3MPC,density,15.0
ESO3760,-0.2421,,2.581540922492155,DELTA_3MPC,density,15.0
F4007,3.3,,1.9569587518651388,DELTA_3MPC,density,15.0
CamB0398,0.0967,,1.405629394264747,DELTA_3MPC,density,15.0
NGC4395,-0.8475,,1.9469211500052537,DELTA_3MPC,density,15.0
UGC1276,-0.0404,,1.9811537773127765,DELTA_3MPC,density,15.0
DDO5959,-0.3329,,0.6481769041952339,DELTA_3MPC,density,15.0
IC5480,0.6657,,1.637121438897904,DELTA_3MPC,density,15.0
ESO7384,0.2151,,3.10475373557803,DELTA_3MPC,density,15.0
F5970,0.1581,,1.9337924509539774,DELTA_3MPC,density,15.0
CamB2964,-0.4634,,2.741595368801661,DELTA_3MPC,density,15.0
NGC7741,-0.8492,,3.0239031198704933,DELTA_3MPC,density,15.0
UGC3316,-0.002,,2.340047305743302,DELTA_3MPC,density,15.0
DDO2640,-0.6932,,3.067079292145265,DELTA_3MPC,density,15.0
IC7249,0.7402,,0.7123167108038823,DELTA_3MPC,density,15.0
ESO2995,-0.6678,,1.93827382842993,DELTA_3MPC,density,15.0
F0656,8.7827,,2.133153027571072,DELTA_3MPC,density,15.0
CamB3782,-0.6984,,3.289314025669263,DELTA_3MPC,density,15.0
NGC6375,0.0412,,0.9481303256006021,DELTA_3MPC,density,15.0
UGC1556,-0.8681,,1.6290132357308325,DELTA_3MPC,density,15.0
DDO3730,3.5648,,3.1741245269919136,DELTA_3MPC,density,15.0
IC1082,-0.65,,0.5911784971982151,DELTA_3MPC,density,15.0
ESO5507,0.0761,,2.400397672076282,DELTA_3MPC,density,15.0
F3831,0.2953,,1.4324597018169933,DELTA_3MPC,density,15.0
CamB2675,0.7016,,1.6590255914634913,DELTA_3MPC,density,15.0
NGC1853,0.3178,,1.8485395467014465,DELTA_3MPC,density,15.0
UGC4537,-0.2905,,1.053583981756366,DELTA_3MPC,density,15.0
DDO5375,0.7979,,2.446171877206258,DELTA_3MPC,density,15.0
