# bins_effective: 15
# g_bar_center_min: 4.414074e-14
# g_bar_center_max: 5.014891e-10
g_bar_center,median_residual,mad_residual,count
4.414074e-14,-5.444671e-01,3.821755e-02,13
8.600279e-14,-4.293179e-01,3.041946e-02,13
1.675659e-13,-2.836991e-01,1.899538e-02,13
3.264815e-13,-1.837958e-01,4.378948e-02,13
6.361090e-13,-8.634984e-02,1.557690e-02,12
1.239380e-12,-1.828204e-02,2.059100e-02,13
2.414780e-12,3.751561e-02,2.394157e-02,13
4.704902e-12,9.471083e-02,2.240179e-02,12
9.166922e-12,1.421534e-01,2.071177e-02,13
1.786062e-11,1.550909e-01,2.292510e-02,13
3.479922e-11,1.749842e-01,1.982984e-02,14
6.780201e-11,1.572627e-01,1.006696e-02,13
1.321039e-10,1.805876e-01,1.078760e-02,14
2.573881e-10,2.067177e-01,1.374289e-02,17
5.014891e-10,2.985974e-01,3.042099e-02,20
