galaxy,F3,delta_mass
CamB0398,0.0238754951404868,0.0967
CamB1377,0.0159758378255762,-0.3279
CamB2001,0.0462118138838688,-0.6069
CamB2384,0.0278680854843964,-0.0439
CamB2675,0.0199176020464418,0.7016
CamB3509,0.0306875768052576,-0.1134
CamB3521,-0.0164947511374609,-0.6245
CamB3782,0.0397509723203401,-0.6984
CamB4027,0.0598074737560506,1.6255
CamB4543,0.1444428939816931,-0.3718
CamB5475,0.0064707346794006,-0.6228
CamB6076,0.0428025194668426,-0.2731
CamB6256,0.0986762718468826,0.8809
CamB7108,0.023812005791816,-0.8945
CamB7969,0.0560553325373707,-0.362
DDO0513,0.041969338931638,-0.1895
DDO0589,0.0085641051951819,0.6095
DDO0822,0.0001770282468448,-0.4618
DDO0893,0.0207693492952893,-0.2599
DDO1053,0.0345619958885744,-0.5831
DDO1597,0.0123592336201454,0.2961
DDO2248,0.0184855754229093,0.7047
DDO2466,0.0372057307310626,-0.8159
DDO2640,0.0568250558899535,-0.6932
DDO3130,0.0690275171100995,-0.4994
DDO3631,0.0539763151109534,-0.5912
DDO4069,0.0260494230894733,0.1064
DDO4130,0.077249120102315,1.0637
DDO4618,0.0578914012532016,-0.3077
DDO5253,0.008210533737457,3.2447
DDO5335,0.0190252994532577,-0.2753
DDO5363,0.069670377660027,0.751
DDO6629,0.1726541878385558,2.5836
DDO7417,0.0348934598465595,0.2538
ESO2342,0.0408992978227398,0.0215
ESO3492,0.0415179899612827,0.0105
ESO3525,0.0273965659820638,-0.8193
ESO3795,0.0128261807533448,0.2065
ESO4544,0.0249900610405238,0.4772
ESO5071,0.1096681226191452,-0.0897
ESO5168,0.0632539868272255,1.6525
ESO5507,0.0311990461341584,0.0761
ESO5656,0.0530201833536998,1.0792
ESO6154,0.0407191598676553,-0.2626
ESO6448,0.0362997485081596,2.2111
ESO7384,0.0584472210067907,0.2151
F0108,0.0261876737412204,3.075
F0656,0.0557476288442388,8.7827
F1161,0.0608942122931329,-0.8596
F1327,0.0530780190247942,-0.639
F2253,0.1333620995151758,-0.3378
F2603,0.0481141539897773,0.1514
F2812,0.0384110855227108,-0.5917
F3249,-0.0143765635985064,-0.7257
F4007,0.0960768044303329,3.3
F4458,0.0290976097517711,-0.1897
F5792,0.0224540567839039,1.4623
F5899,0.0353218140399089,-0.422
F5970,0.3515078182646144,0.1581
F6281,0.0459861576101608,0.1821
F6666,-0.0150459784971373,-0.3796
F6834,0.1240574773093721,-0.1834
F6847,0.0442264266872272,-0.6744
F7345,0.0200191229477708,-0.208
IC0765,0.1268704684015737,-0.1749
IC1082,0.0205584356637584,-0.65
IC1856,0.0381310469752008,-0.359
IC2250,0.0403182075542597,-0.5163
IC3372,0.0296477457795812,-0.6046
IC3539,0.0347068483817941,-0.4857
IC3798,0.0657244425027291,-0.6363
IC4235,0.0297894545849086,-0.5317
IC4478,0.0326805646073838,-0.358
IC4842,0.0762661136491945,-0.1035
IC5096,0.0385569464022176,-0.7376
IC6852,0.0504783527171228,-0.2568
IC7189,0.0606521624768973,0.5399
IC7249,0.0794364231942073,0.7402
NGC0557,0.044920653476995,1.6232
NGC0679,-0.0070473307898941,-0.7994
NGC0759,0.0436378213834023,0.6345
NGC1853,-0.0141251549410365,0.3178
NGC1909,-0.0140367028681901,-0.0816
NGC2707,0.0166579933961796,-0.1414
NGC2997,0.0068305254951821,-0.7248
NGC4386,0.0279809586578173,-0.2704
NGC4467,0.060751025395688,0.689
NGC4495,0.3634417698402887,-0.647
NGC5056,0.2076973983834835,0.6869
NGC5112,0.0631027127152461,-0.2891
NGC5594,0.040135919112045,0.8837
NGC5619,0.0331389178981461,0.0268
NGC5753,0.0472588017312474,2.1935
NGC6238,-0.0440288031795328,-0.2018
NGC6375,0.1013827244950935,0.0412
NGC6447,0.0321229002392523,0.9852
NGC7741,0.0219543448295062,-0.8492
UGC0230,0.0233337479186275,0.1441
UGC1161,0.2256309293887084,-0.5831
UGC1276,0.0001170234682407,-0.0404
UGC1501,-0.0128230602661034,-0.7991
UGC1556,0.0287879241371184,-0.8681
UGC1651,0.0425037204431526,-0.3833
UGC1755,0.0602878718317857,-0.5348
UGC3303,0.0498512633763745,0.7638
UGC3316,0.269504103358607,-0.002
UGC3544,0.0797078539245319,0.6807
UGC5312,0.0898950460551162,3.5418
UGC6091,0.0685504098873232,-0.5207
UGC6131,0.0913507848421004,-0.3488
UGC6202,0.0319914606092666,0.9284
UGC6369,0.0187629192982497,0.395
UGC6873,0.0248443470900035,-0.0741
