galaxy,beta,beta_err,intercept,r_value,p_value,n_deep,n_total,reliable,friction_slope,friction_slope_err,velo_inerte_flag
SYN00,0.9941496307521216,0.008903590314004,-0.0658477698245185,0.9989589021463168,2.1307816982164085e-36,28,30,True,0.9941496307521216,0.008903590314004,True
SYN01,0.9968604453579716,0.0073815793787841,-0.0360909895777386,0.9992879521772108,1.5295525370604696e-38,28,30,True,0.9968604453579716,0.0073815793787841,True
SYN02,1.006151992220345,0.0067172816145866,0.0693151140698056,0.9994433180005916,1.9068020878542475e-38,27,30,True,1.006151992220345,0.0067172816145866,True
SYN03,0.980295214911884,0.0087586045488342,-0.2190585405620115,0.999043436458816,3.855921079301299e-34,26,30,True,0.980295214911884,0.0087586045488342,True
SYN04,1.001632538864761,0.011227428714178,0.0175293917208616,0.998495666374882,8.800022701293038e-32,26,30,True,1.001632538864761,0.011227428714178,True
SYN05,1.0070447939482627,0.009545067569661,0.0783615906309407,0.998968460447843,2.1435093211256628e-32,25,30,True,1.0070447939482627,0.009545067569661,True
SYN06,1.0086199799606923,0.0105728764158274,0.0923616187416342,0.9987934722174358,2.7016778560927183e-30,24,30,True,1.0086199799606923,0.0105728764158274,True
SYN07,1.016177420351563,0.0112555559495447,0.1753375659746208,0.9987142814179076,1.0966978072636639e-28,23,30,True,1.016177420351563,0.0112555559495447,True
SYN08,1.0087216040137232,0.0106203522201618,0.0953640796671724,0.9988933410359276,4.948459714446542e-28,22,30,True,1.0087216040137232,0.0106203522201618,True
SYN09,1.006196092824748,0.0113884396917351,0.0655630139966252,0.998785227672585,2.6140191019748875e-26,21,30,True,1.006196092824748,0.0113884396917351,True
SYN10,1.0198544426595637,0.0114207368099782,0.2132328928014235,0.9988732699161936,2.767973910959129e-25,20,30,True,1.0198544426595637,0.0114207368099782,True
SYN11,1.0000195162456589,0.0128910248691099,0.0009118172384141,0.9985905232411514,4.018143195455236e-23,19,30,True,1.0000195162456589,0.0128910248691099,True
SYN12,1.02911529538876,0.0162229084080998,0.3103048311424192,0.9980178951119784,1.1903439040342711e-20,18,30,True,1.02911529538876,0.0162229084080998,True
SYN13,0.97942244059396,0.0165579705295979,-0.2196911849494522,0.9978633090722668,3.4259978555963603e-19,17,30,True,0.97942244059396,0.0165579705295979,True
SYN14,0.9874410177901176,0.0133862944657895,-0.1322421591157017,0.9987160166450382,1.5374072211479245e-19,16,30,True,0.9874410177901176,0.0133862944657895,True
SYN15,0.995557721879914,0.0219354544867224,-0.0459897665561364,0.997099858698456,8.537022905036827e-15,14,30,True,0.995557721879914,0.0219354544867224,True
SYN16,0.9718513251109464,0.0325821680922403,-0.2992373254745963,0.9938748253995678,7.097950071342138e-12,13,30,True,0.9718513251109464,0.0325821680922403,True
SYN17,1.0375059430563478,0.0328655648820215,0.3943600794531683,0.9955147774237016,1.5763444624572718e-10,11,30,True,1.0375059430563478,0.0328655648820215,True
SYN18,0.9964140686203968,0.0187743191918548,-0.0368296474216442,0.9985829512357804,1.7610778241271328e-11,10,30,True,0.9964140686203968,0.0187743191918548,True
SYN19,1.034099258519413,0.0600461650050017,0.3581731335018325,0.9900358944628768,2.454730262426228e-06,8,30,True,1.034099258519413,0.0600461650050017,True
