galaxy,r_max_kpc,n_outer_points,f_DM_out,g_bar_out,g_obs_out
G0000,15.0,6,0.135133239015788,3.3604408592059204e-09,3.885501224930605e-09
G0001,15.0,6,0.1861170035661266,3.672880060539416e-09,4.512786330016211e-09
G0002,15.0,6,0.138517337391031,3.999203997865223e-09,4.6422338735799724e-09
G0003,15.0,6,0.19925292343166645,4.3394140601836195e-09,5.419206872138116e-09
G0004,15.0,6,0.14140089138076062,4.693510247494604e-09,5.466474633362358e-09
G0005,15.0,6,0.2130315178899307,5.061492559798174e-09,6.4316331274500124e-09
G0006,15.0,6,0.1978378674722332,5.4433609970943325e-09,6.785861331974444e-09
G0007,15.0,6,0.09428609529206644,5.839112155038259e-09,6.446971968395697e-09
G0008,15.0,6,0.13464794921613799,6.248756246664412e-09,7.2210567259927334e-09
G0009,15.0,6,0.157161766526272,6.672283058938332e-09,7.916445640391459e-09
G0010,15.0,6,0.1862715336576488,7.109695996204843e-09,8.737184810754374e-09
G0011,15.0,6,0.014664396896877374,7.56099387619379e-09,7.673521440189426e-09
G0012,15.0,6,0.19732018288528985,8.026180245715622e-09,9.999230171958602e-09
G0013,15.0,6,0.13617811064674235,8.505247534534084e-09,9.846066231201842e-09
G0014,15.0,6,0.147983686356445,8.99820334784682e-09,1.056106931728453e-08
G0015,15.0,6,0.161558560546047,9.505052557426205e-09,1.133657296759629e-08
G0016,15.0,6,0.1469766623872759,1.0025782244648238e-08,1.1753233238268074e-08
G0017,15.0,6,0.20283215318522818,1.0560398056862855e-08,1.324739588915789e-08
G0018,15.0,6,0.17445817057750856,1.1108899994070065e-08,1.3456495598583183e-08
G0019,15.0,6,0.18849887356360961,1.1671282122049463e-08,1.4382336317020896e-08
G0020,15.0,6,0.16649253668685782,1.2247562243462246e-08,1.4694004292149851e-08
G0021,15.0,6,0.1653428853642782,1.2837722555647224e-08,1.5380834034165187e-08
G0022,15.0,6,0.15445672779988295,1.3441768992824777e-08,1.5897198209441228e-08
G0023,15.0,6,0.13583229720282552,1.405970156123311e-08,1.6269644787376425e-08
G0024,15.0,6,0.14550107157126635,1.4691520242157656e-08,1.7193140627072125e-08
G0025,15.0,6,0.1982948271827224,1.5337225054312983e-08,1.913075476414395e-08
G0026,15.0,6,0.11775474228649951,1.5996815991460894e-08,1.813193763480187e-08
G0027,15.0,6,0.12046840641865697,1.6670293053601397e-08,1.895360345808846e-08
