r_cut_kpc,n,slope_tail,intercept,delta_f3,p_slope,score
8.0,29,-0.098,-0.450,-0.398,1.20e-08,0.89
8.5,28,-0.109,-0.462,-0.441,8.40e-09,0.95
9.0,28,-0.118,-0.471,-0.479,5.10e-10,1.05
9.5,27,-0.124,-0.478,-0.501,2.80e-11,1.18
10.0,26,-0.131,-0.487,-0.531,1.60e-12,1.31
10.5,25,-0.138,-0.495,-0.559,9.20e-13,1.38
11.0,24,-0.143,-0.501,-0.579,6.50e-14,1.45
11.5,23,-0.149,-0.507,-0.604,4.00e-15,1.52
12.0,22,-0.155,-0.513,-0.628,2.10e-15,1.56
12.5,21,-0.160,-0.518,-0.649,8.90e-16,1.61
13.0,21,-0.164,-0.521,-0.664,2.65e-16,1.67
13.5,20,-0.168,-0.525,-0.681,4.10e-15,1.71
14.0,19,-0.173,-0.530,-0.701,8.70e-14,1.75
14.5,19,-0.178,-0.535,-0.721,1.90e-13,1.78
15.0,18,-0.182,-0.539,-0.737,3.60e-13,1.80
15.5,17,-0.188,-0.544,-0.762,4.20e-13,1.83
16.0,17,-0.193,-0.548,-0.782,4.40e-13,1.86
16.5,16,-0.197,-0.552,-0.797,4.50e-13,1.88
17.0,15,-0.196,-0.551,-0.793,5.80e-12,1.84
17.5,14,-0.193,-0.549,-0.782,9.20e-11,1.78
18.0,13,-0.190,-0.545,-0.770,3.50e-10,1.71
18.5,12,-0.186,-0.541,-0.753,1.40e-09,1.63
19.0,11,-0.181,-0.536,-0.733,7.20e-09,1.54
19.5,10,-0.175,-0.530,-0.710,4.80e-08,1.44
20.0,9,-0.168,-0.523,-0.681,3.90e-07,1.32
