galaxy,rmax_kpc_used,F1_med_abs_dH_dr_ext,F2_IQR_H_ext,F3_mean_H_ext,H_ext_npts
SCM_10.1_1,12.7508,0.036282899881717706,0.06023335687571141,0.6910410688327477,5
SCM_10.1_2,8.2996,0.056556605096822726,0.067951322621985,0.4843236369884745,7
SCM_10.1_3,8.2381,0.05738747433991735,0.060738902841368514,0.503701720641061,5
SCM_10.1_4,13.504,0.034894020586287475,0.06143441264421767,0.6879633538508344,5
SCM_10.1_5,6.8436,0.06917578190879811,0.05965052351057132,0.4007891862818571,6
SCM_10.6_1,11.0683,0.043154973724826164,0.06648110031973609,0.3490496302248273,7
SCM_10.6_2,6.1277,0.075931133351964,0.05899849061447604,0.11744490871354607,5
SCM_10.6_3,25.0878,0.018867143097508126,0.05845990314968397,0.7021917294560904,5
SCM_10.6_4,16.4409,0.028345877934395462,0.06973575431738688,0.5177689825102101,8
SCM_10.6_5,15.6431,0.029305359814162317,0.06851681933265086,0.5043114916432603,8
SCM_11.1_1,25.1452,0.018052381922200825,0.05908344680281763,0.4912893823157584,6
SCM_11.1_2,24.7483,0.019307436151048733,0.06567853969206405,0.46039553125007043,6
SCM_11.1_3,24.4312,0.019451161574244438,0.06915525548075685,0.4705791073321981,6
SCM_11.1_4,11.083,0.041906076414771204,0.06786279705087228,0.1278169973304217,7
SCM_11.1_5,12.8726,0.03638248905184271,0.060276373125366156,0.17469151671267516,6
SCM_8.6_1,4.4774,0.10517355838909778,0.05858167202272746,0.9624898705309224,5
SCM_8.6_2,4.8402,0.0985700811615239,0.0707734693587696,1.000223495719856,7
SCM_8.6_3,2.6309,0.17847928602574994,0.05943360224657468,0.7281864360316768,5
SCM_8.6_4,3.0288,0.1577749865947283,0.06466645513764124,0.7896591671468673,7
SCM_8.6_5,3.1454,0.151122406443226,0.06459325550430428,0.8311886031789457,7
SCM_9.1_1,3.1293,0.15036248474413016,0.06077651633357739,0.5476795968308756,5
SCM_9.1_2,2.7417,0.1748755391649542,0.07130609966040513,0.4892754582977983,8
SCM_9.1_3,4.2459,0.1089252386678163,0.05977017744996127,0.6914269682825246,6
SCM_9.1_4,2.4275,0.1884732242867769,0.06691405698475039,0.47249974613546897,8
SCM_9.1_5,5.4991,0.08549454887827207,0.06349651272750911,0.8120355073937748,5
SCM_9.6_1,5.6232,0.0814920550503122,0.057843060674711566,0.5829017980441324,5
SCM_9.6_2,9.7298,0.04815076053254674,0.06316206339745856,0.7915677337758907,6
SCM_9.6_3,10.2846,0.046383789146310236,0.061746100111568225,0.8246388943958198,5
SCM_9.6_4,4.9018,0.09463495230328706,0.0641399668361382,0.4991279232761808,6
SCM_9.6_5,7.8368,0.05850679489783203,0.06621189921164294,0.718961216697157,7
