threshold,n_lo,n_hi,aicc_global,aicc_split,delta_aic
5.5,0,26,-29.4874,,
5.6,0,26,-29.4874,,
5.7,0,26,-29.4874,,
5.8,0,26,-29.4874,,
5.9,1,25,-29.4874,,
6.0,1,25,-29.4874,,
6.1,1,25,-29.4874,,
6.2,1,25,-29.4874,,
6.3,2,24,-29.4874,,
6.4,2,24,-29.4874,,
6.5,2,24,-29.4874,,
6.6,2,24,-29.4874,,
6.7,2,24,-29.4874,,
6.8,2,24,-29.4874,,
6.9,4,22,-29.4874,-7.5503,-21.9371
7.0,5,21,-29.4874,-6.4341,-23.0533
7.1,8,18,-29.4874,-25.7236,-3.7638
7.2,8,18,-29.4874,-25.7236,-3.7638
7.3,9,17,-29.4874,-24.8047,-4.6827
7.4,9,17,-29.4874,-24.8047,-4.6827
7.5,9,17,-29.4874,-24.8047,-4.6827
7.6,10,16,-29.4874,-26.5705,-2.9169
7.7,13,13,-29.4874,-33.9551,4.4677
7.8,13,13,-29.4874,-33.9551,4.4677
7.9,16,10,-29.4874,-27.4395,-2.0479
8.0,18,8,-29.4874,-24.342,-5.1453
8.1,19,7,-29.4874,-20.6028,-8.8846
8.2,22,4,-29.4874,-1.1153,-28.3721
8.3,24,2,-29.4874,,
8.4,24,2,-29.4874,,
8.5,26,0,-29.4874,,
8.6,26,0,-29.4874,,
8.7,26,0,-29.4874,,
8.8,26,0,-29.4874,,
8.9,26,0,-29.4874,,
9.0,26,0,-29.4874,,
9.1,26,0,-29.4874,,
9.2,26,0,-29.4874,,
9.3,26,0,-29.4874,,
9.4,26,0,-29.4874,,
9.5,26,0,-29.4874,,
9.6,26,0,-29.4874,,
9.7,26,0,-29.4874,,
9.8,26,0,-29.4874,,
9.9,26,0,-29.4874,,
10.0,26,0,-29.4874,,
