galaxy,F3,T_dust,logM,logZ
CVnIdwA,0.07049383572470934,17.5,6.2,7.4
DDO43,0.02708574480893561,21.0,7.6,7.9
DDO46,0.01529906334735776,22.0,7.8,8.0
DDO47,0.003641030149145974,23.5,8.1,8.1
DDO50,0.016765139152331885,24.0,8.2,8.1
DDO52,0.004818497688826079,23.0,8.1,8.0
DDO53,0.03756652155502235,19.0,7.0,7.6
DDO63,0.018183732315745403,22.5,7.9,8.0
DDO69,0.020355995273021753,20.5,6.8,7.7
DDO70,0.003436729923525517,19.8,7.5,7.6
DDO71,0.04692073873858975,18.5,6.8,7.6
DDO75,0.005122752427500215,22.1,7.2,8.0
DDO87,0.006022294148642652,22.0,7.9,8.0
DDO101,0.0,23.5,8.2,8.1
DDO126,0.01529906334735776,21.5,7.8,7.9
DDO133,0.016765139152331885,21.5,7.8,7.9
DDO154,0.0024887641374379183,20.5,7.6,7.8
DDO168,0.0,23.0,8.1,8.1
DDO210,0.011138657485531148,18.2,5.8,7.5
DDO216,0.04692073873858975,18.5,7.0,7.5
F564-V3,0.0423589418897529,18.5,7.0,7.5
Haro29,0.006022294148642652,23.0,8.0,8.0
IC1613,0.0423589418897529,20.5,7.6,7.7
NGC1569,0.006022294148642652,26.0,8.4,8.2
NGC2366,0.0,25.5,8.4,8.2
UGC8508,0.0423589418897529,18.5,6.9,7.6
