galaxy,r_kpc,g_bar,g_obs,log_g_bar,log_g_obs,logMbar,env_proxy
G0000,0.5,8.711205343784206e-08,1.0501292019005198e-07,-7.059921748788339,-6.978757264529609,8.6,-0.608585
G0000,1.263157894736842,3.448185448581248e-08,4.050937322098769e-08,-7.462409385211098,-7.3924444763615185,8.6,-0.608585
G0000,2.026315789473684,2.149518201712986e-08,2.7254579738560872e-08,-7.667658873007992,-7.56456051033895,8.6,-0.608585
G0000,2.7894736842105265,1.5614424672820746e-08,1.8784127057855936e-08,-7.80647401310028,-7.726208982807954,8.6,-0.608585
G0000,3.5526315789473686,1.226021492828888e-08,1.3824143088443302e-08,-7.911501916330517,-7.859361779625038,8.6,-0.608585
G0000,4.315789473684211,1.0092250093408533e-08,1.2452965557001831e-08,-7.996011995883208,-7.904727213092273,8.6,-0.608585
G0000,5.078947368421053,8.575798006834191e-09,1.1583986493599748e-08,-8.066725456843283,-7.936141957514204,8.6,-0.608585
G0000,5.842105263157895,7.455536105040536e-09,9.736146295143086e-09,-8.127521122286149,-8.011612909028605,8.6,-0.608585
G0000,6.605263157894737,6.5941395032629454e-09,7.307449457793901e-09,-8.180841869316549,-8.136234179771705,8.6,-0.608585
G0000,7.36842105263158,5.911175054710711e-09,6.174799579613261e-09,-8.22832617917773,-8.209377134081349,8.6,-0.608585
G0000,8.131578947368421,5.3564045803203865e-09,5.985429762192807e-09,-8.271126627260346,-8.222904661189387,8.6,-0.608585
G0000,8.894736842105264,4.8968314062692275e-09,5.853683628565684e-09,-8.310084848113165,-8.232570753388568,8.6,-0.608585
G0000,9.657894736842106,4.509888325119888e-09,4.193187776701712e-09,-8.345834212087599,-8.377455688858204,8.6,-0.608585
G0000,10.421052631578949,4.179618725553028e-09,4.867472323634888e-09,-8.378863333761023,-8.312696509191971,8.6,-0.608585
G0000,11.18421052631579,3.894421212515292e-09,4.076580854898584e-09,-8.409557077885822,-8.389703939458421,8.6,-0.608585
G0000,11.947368421052632,3.6456586240506593e-09,4.028083020422078e-09,-8.438224000692614,-8.394901587041053,8.6,-0.608585
G0000,12.710526315789474,3.426768147658383e-09,3.860481407452325e-09,-8.465115278587023,-8.413358534819508,8.6,-0.608585
G0000,13.473684210526317,3.2326738580449197e-09,3.727662197922345e-09,-8.490438108811341,-8.428563450455758,8.6,-0.608585
G0000,14.23684210526316,3.059388198371532e-09,3.793596842228363e-09,-8.51436541294208,-8.42094882487036,8.6,-0.608585
G0000,15.0,2.903735114594735e-09,3.8266030266599345e-09,-8.537043003508002,-8.417186589323277,8.6,-0.608585
G0001,0.5,9.521135395910515e-08,1.1189470592220275e-07,-7.021311258886884,-6.951190460774278,8.747368,-0.938311
G0001,1.263157894736842,3.7687827608812456e-08,5.120677267354074e-08,-7.423798895309642,-7.2906725948791395,8.747368,-0.938311
G0001,2.026315789473684,2.3493710717181793e-08,2.613919661363771e-08,-7.629048383106537,-7.58270776456059,8.747368,-0.938311
G0001,2.7894736842105265,1.706618608700941e-08,2.103733710633e-08,-7.767863523198825,-7.67700923377766,8.747368,-0.938311
G0001,3.5526315789473686,1.3400116483133314e-08,1.7426347223549218e-08,-7.872891426429061,-7.7587936368089405,8.747368,-0.938311
G0001,4.315789473684211,1.103058369038413e-08,1.325539984329114e-08,-7.957401505981752,-7.877607167431762,8.747368,-0.938311
G0001,5.078947368421053,9.373138472658018e-09,1.0344292348506915e-08,-8.028114966941828,-7.9852992140026435,8.747368,-0.938311
G0001,5.842105263157895,8.148719482986475e-09,8.82731390586575e-09,-8.088910632384694,-8.054171429302393,8.747368,-0.938311
G0001,6.605263157894737,7.207233965031862e-09,8.191809340808718e-09,-8.142231379415094,-8.086620164180534,8.747368,-0.938311
G0001,7.36842105263158,6.4607704472249906e-09,7.861691654045257e-09,-8.189715689276275,-8.10448399378644,8.747368,-0.938311
G0001,8.131578947368421,5.854419822728148e-09,6.283654055214005e-09,-8.232516137358889,-8.201787732933033,8.747368,-0.938311
G0001,8.894736842105264,5.3521175302455555e-09,6.238991943603031e-09,-8.27147435821171,-8.204885575172812,8.747368,-0.938311
G0001,9.657894736842106,4.9291981613705655e-09,5.775034096866732e-09,-8.307223722186144,-8.238445447273506,8.747368,-0.938311
G0001,10.421052631578949,4.568221528340902e-09,5.736471005984546e-09,-8.340252843859567,-8.241355197141152,8.747368,-0.938311
G0001,11.18421052631579,4.256507588759994e-09,5.176631702319742e-09,-8.370946587984367,-8.285952732321602,8.747368,-0.938311
G0001,11.947368421052632,3.984616134852417e-09,4.913665833779036e-09,-8.39961351079116,-8.308594382141761,8.747368,-0.938311
G0001,12.710526315789474,3.745374172304342e-09,4.172019064326281e-09,-8.426504788685568,-8.379653715702652,8.747368,-0.938311
G0001,13.473684210526317,3.533233838326166e-09,4.151891691237503e-09,-8.451827618909885,-8.381753984280845,8.747368,-0.938311
G0001,14.23684210526316,3.3438368303567407e-09,4.2989592693471726e-09,-8.475754923040624,-8.366636669603059,8.747368,-0.938311
G0001,15.0,3.1737117986368373e-09,4.3635504190875285e-09,-8.498432513606547,-8.360160001568465,8.747368,-0.938311
G0002,0.5,1.0367058578533937e-07,1.0836749831948497e-07,-6.984344447498858,-6.965100952272039,8.894737,-0.327496
G0002,1.263157894736842,4.103627354003017e-08,5.652859330338647e-08,-7.386832083921616,-7.2477318216896816,8.894737,-0.327496
G0002,2.026315789473684,2.5581053635343482e-08,3.469024606875983e-08,-7.592081571718511,-7.45979261956049,8.894737,-0.327496
G0002,2.7894736842105265,1.858246348982498e-08,2.3884172525760414e-08,-7.730896711810799,-7.6218898003811,8.894737,-0.327496
G0002,3.5526315789473686,1.4590675036455169e-08,1.7832255554386084e-08,-7.835924615041035,-7.748793720600921,8.894737,-0.327496
G0002,4.315789473684211,1.2010616645862487e-08,1.3853027094733489e-08,-7.920434694593727,-7.858455316354548,8.894737,-0.327496
G0002,5.078947368421053,1.0205912590266571e-08,1.3985956550757953e-08,-7.991148155553803,-7.854307825287498,8.894737,-0.327496
G0002,5.842105263157895,8.872707792438954e-09,1.2734798536983804e-08,-8.051943820996668,-7.895007921133683,8.894737,-0.327496
G0002,6.605263157894737,7.847574222794613e-09,1.1101318601704522e-08,-8.105264568027067,-7.95462543315634,8.894737,-0.327496
G0002,7.36842105263158,7.0347897497194565e-09,9.512332787684592e-09,-8.152748877888248,-8.021712964389481,8.894737,-0.327496
G0002,8.131578947368421,6.3745667634998325e-09,7.862406060599134e-09,-8.195549325970864,-8.104444530431527,8.894737,-0.327496
G0002,8.894736842105264,5.827636479057538e-09,6.124698916756891e-09,-8.234507546823684,-8.212915255862205,8.894737,-0.327496
G0002,9.657894736842106,5.3671420433826916e-09,6.386613424920322e-09,-8.270256910798118,-8.194729370440553,8.894737,-0.327496
G0002,10.421052631578949,4.974093762427898e-09,6.31665851862758e-09,-8.303286032471542,-8.199512600624125,8.894737,-0.327496
G0002,11.18421052631579,4.634685011579878e-09,4.829530056536478e-09,-8.33397977659634,-8.316095126760391,8.894737,-0.327496
G0002,11.947368421052632,4.338636850047241e-09,5.371145649908998e-09,-8.362646699403133,-8.26993307065669,8.894737,-0.327496
G0002,12.710526315789474,4.0781389853446134e-09,5.065869197905452e-09,-8.389537977297541,-8.295346028000122,8.894737,-0.327496
G0002,13.473684210526317,3.8471506443778284e-09,4.904275152133431e-09,-8.41486080752186,-8.309425171911133,8.894737,-0.327496
G0002,14.23684210526316,3.64092630299713e-09,3.836383925537501e-09,-8.438788111652599,-8.416077937372322,8.894737,-0.327496
G0002,15.0,3.455686192844645e-09,3.846199259457975e-09,-8.46146570221852,-8.41496822008677,8.894737,-0.327496
G0003,0.5,1.1248978492332835e-07,1.281356811316949e-07,-6.9488869135779945,-6.892329918179983,9.042105,-0.196778
G0003,1.263157894736842,4.4527206532150803e-08,4.69890038989488e-08,-7.351374550000752,-7.328003761314039,9.042105,-0.196778
G0003,2.026315789473684,2.7757219656405696e-08,3.904188671286794e-08,-7.556624037797647,-7.408469203065065,9.042105,-0.196778
G0003,2.7894736842105265,2.0163263335313567e-08,2.28282797178552e-08,-7.695439177889936,-7.641526814624186,9.042105,-0.196778
G0003,3.5526315789473686,1.583189565587584e-08,1.9472632340943613e-08,-7.800467081120171,-7.710575335903067,9.042105,-0.196778
G0003,4.315789473684211,1.3032353131361212e-08,1.5116141719358797e-08,-7.884977160672864,-7.820559045066283,9.042105,-0.196778
G0003,5.078947368421053,1.107412390436911e-08,1.5353699673771206e-08,-7.9556906216329395,-7.813786958668572,9.042105,-0.196778
G0003,5.842105263157895,9.627504115059631e-09,1.302458311360636e-08,-8.016486287075804,-7.88523616855495,9.042105,-0.196778
G0003,6.605263157894737,8.515163002164296e-09,1.0789307668235934e-08,-8.069807034106203,-7.967006422370982,9.042105,-0.196778
G0003,7.36842105263158,7.633235405511566e-09,7.195125654167015e-09,-8.117291343967384,-8.142961617233304,9.042105,-0.196778
G0003,8.131578947368421,6.916847616644784e-09,8.277246064514173e-09,-8.16009179205,-8.082114133979326,9.042105,-0.196778
G0003,8.894736842105264,6.323390276755143e-09,8.051316114275202e-09,-8.19905001290282,-8.094133121564086,9.042105,-0.196778
G0003,9.657894736842106,5.823721835267679e-09,7.646524149939373e-09,-8.234799376877255,-8.116535935505551,9.042105,-0.196778
G0003,10.421052631578949,5.397237155412218e-09,6.034396693534351e-09,-8.267828498550678,-8.219366143257806,9.042105,-0.196778
