source,r15,delta_slope,slope_inner,slope_outer,n_pts
J1000+7738,46.04040404040404,-2.408730554403784,-0.6686051452564747,-3.0773356996602588,17
J1001+6697,46.04040404040404,7.291526148711037,-1.0126309985064181,6.27889515020462,29
J1002+2658,43.56565656565657,3.6484287471143793,-0.5178231373613561,3.1306056097530233,26
J1003+1077,50.0,-5.419332376992823,-0.8607050695733328,-6.280037446566157,23
J1004+1997,48.515151515151516,-5.754097602929604,-0.5971883060234574,-6.351285908953061,25
J1005+0553,48.515151515151516,-2.9258543221091515,-0.5360091783752364,-3.461863500484388,32
J1006+1373,47.03030303030303,4.016770964887817,-0.5582652015543494,3.4585057633334673,33
J1007+8969,48.515151515151516,-5.765613476079862,-0.8916013833228879,-6.65721485940275,32
J1008+5882,47.525252525252526,-3.110663593237396,-1.0582906688107794,-4.168954262048175,38
J1009+6375,46.535353535353536,3.137635617591073,-0.6354955945312027,2.5021400230598703,36
J1010+0489,43.56565656565657,-4.221613543989426,-1.254597167426216,-5.476210711415642,24
J1011+5906,41.09090909090909,1.7647263273548186,-0.17926592722160625,1.5854604001332124,20
J1012+8626,41.58585858585859,-1.7772371191510483,-0.8216046196600495,-2.598841738811098,25
J1013+1654,36.141414141414145,1.1543705252583984,-1.0307775855070456,0.12359293975135278,32
J1014+0998,43.56565656565657,3.237116673671717,-1.0050746146377867,2.2320420590339305,27
J1015+8518,44.55555555555556,2.0524995216597635,-0.1602018041096398,1.8922977175501234,17
J1016+9531,45.54545454545455,2.0535815766985626,-1.0648570727549518,0.9887245039436108,35
J1017+6628,47.03030303030303,6.14369130743632,-0.8399086561439462,5.303782651292374,33
J1018+9807,48.02020202020202,3.3737028838989933,-0.8681162155351062,2.505586668363887,22
J1019+1679,44.55555555555556,2.7276507896673436,-0.8643773548427691,1.8632734348245747,23
J1020+2706,37.131313131313135,-1.5254434488267055,-0.6204565926950367,-2.145900041521742,33
J1021+3292,30.202020202020204,1.3984100889976177,-1.0343011173039842,0.36410897169363343,34
J1022+3766,13.373737373737374,0.5851550735091197,-1.253275679328564,-0.6681206058194443,17
J1023+0631,50.0,2.849305806966963,-1.0727899450539649,1.7765158619129977,39
J1024+6375,47.03030303030303,3.3027192667611844,-0.9321436853629745,2.37057558139821,32
J1025+3692,48.02020202020202,-1.9328445868142214,-0.6697328727846953,-2.602577459598917,36
J1026+4793,44.06060606060606,-1.53597145484208,-0.8271761724757866,-2.3631476273178667,25
J1027+5028,48.02020202020202,-3.7252153346347168,-0.5584633041407497,-4.283678638775466,22
J1028+2159,49.01010101010101,6.786397343528483,-0.9655177341459231,5.82087960938256,22
J1029+3301,45.05050505050505,3.607994443370715,-0.599955829177588,3.008038614193127,32
J1030+9987,18.81818181818182,2.7200283383197865,-2.3962093082703664,0.32381903004942036,23
J1031+4428,47.03030303030303,-2.9647877114832264,-1.13634862445438,-4.101136335937606,31
J1032+3689,15.84848484848485,1.31671791193737,-1.3657416493570091,-0.04902373741963917,15
J1033+1526,31.68686868686869,1.9858338768101869,-0.9769918694465449,1.008842007363642,21
J1034+4797,16.343434343434346,1.393310604026399,-1.0492593969505017,0.34405120707589726,15
J1035+3612,45.05050505050505,-1.1723768290382115,-1.0200102388668661,-2.1923870679050776,31
J1036+2758,35.64646464646465,2.3175236696971564,-0.9208475864345339,1.3966760832626224,33
J1037+3389,15.84848484848485,1.0896104708204648,-1.5431456967732062,-0.4535352259527415,17
J1038+8692,28.71717171717172,1.851703101250764,-0.9739280591820287,0.8777750420687354,35
J1039+7236,33.17171717171718,4.091751501694491,-1.2769983985046967,2.8147531031897937,15
J1040+6937,15.353535353535355,1.3349064269950448,-1.5020695554863406,-0.16716312849129575,26
J1041+5874,35.64646464646465,-1.448197014903371,-0.5379763681980483,-1.9861733831014192,16
J1042+5197,48.515151515151516,-3.4176475108636555,-1.1937827314672789,-4.611430242330934,24
J1043+9133,47.03030303030303,2.929395182860117,-1.096606776437822,1.8327884064222948,39
J1044+4927,43.56565656565657,1.0509544536487616,-0.342487797365722,0.7084666562830395,28
J1045+4718,48.515151515151516,2.8809194091538606,-0.929896011807164,1.9510233973466964,27
J1046+3340,32.18181818181819,1.6222700117364321,-0.49099010820578765,1.1312799035306444,15
J1047+8410,38.61616161616162,-1.8671140521976288,-0.7777960616140244,-2.6449101138116533,16
J1048+2447,10.404040404040405,1.0856963898287275,-1.2508629486545066,-0.1651665588257791,21
J1049+8149,7.92929292929293,1.1774477875505642,-1.43480527799633,-0.2573574904457657,22
J1050+9311,15.353535353535355,2.1284512226438896,-1.685104852729186,0.44334636991470355,25
J1051+1570,48.02020202020202,6.965998418554257,-0.4038426922046818,6.562155726349575,32
J1052+2669,47.525252525252526,4.837652830002225,-0.7234044217145851,4.114248408287639,24
J1053+2219,47.03030303030303,4.309359555423375,-0.3646714716791621,3.9446880837442126,20
J1054+1929,44.55555555555556,-2.230204667699496,-0.9130930065823681,-3.1432976742818646,32
J1055+6478,39.60606060606061,3.0805574854244298,-1.5919354113756137,1.488622074048816,20
J1056+8981,46.04040404040404,2.2497140067486026,-0.6708806745035341,1.5788333322450685,31
J1057+0715,44.55555555555556,5.995315567331944,-1.0633407122933962,4.931974855038548,23
J1058+3180,45.05050505050505,-2.3383093746239014,-0.6816667045532223,-3.0199760791771237,36
J1059+0070,47.525252525252526,2.660271505250306,-0.8712777060337937,1.7889937992165121,26
