galaxy,delta_f3,logMbar,delta_mass
CVnIdwA,0.1812,6.20,0.7160
DDO43,0.1680,7.60,1.6232
DDO46,0.1153,7.80,1.7616
DDO47,0.0980,8.10,2.0871
DDO50,0.2269,8.20,1.9106
DDO52,0.1073,8.10,1.9808
DDO53,0.1149,7.00,1.1584
DDO63,0.1760,7.90,1.6513
DDO69,-0.0734,6.80,1.4630
DDO70,-0.0611,7.50,1.6812
DDO71,0.1441,6.80,1.0792
DDO75,-0.1177,7.20,1.6628
DDO87,0.0669,7.90,1.9085
DDO101,0.0627,8.20,1.9577
DDO126,0.1153,7.80,1.7259
DDO133,0.1269,7.80,1.7143
DDO154,-0.0361,7.60,1.9993
DDO168,0.0377,8.10,1.9142
DDO210,-0.3731,5.80,1.4713
DDO216,0.1941,7.00,0.9823
F564-V3,0.1527,7.00,1.2455
Haro29,0.0919,8.00,1.6532
IC1613,0.3027,7.60,1.3424
NGC1569,0.1919,8.40,1.7993
NGC2366,0.0817,8.40,2.1059
UGC8508,0.1277,6.90,1.1998
