galaxy,upsilon_disk,chi2_reduced,n_points,Vflat_kms,M_bar_BTFR_Msun
NGC0001,1.6099534246814349,0.2861547000897605,25,100.0,5.977215211916938e+42
NGC0002,1.6468199453104722,0.33146639676550194,25,122.22222222222224,1.3338272811717106e+43
NGC0003,1.6242022734345571,0.4045673074541927,25,144.44444444444446,2.6019698775729264e+43
NGC0004,1.6164643212489473,0.3888057364839354,25,166.66666666666666,4.612048774627265e+43
NGC0005,1.6218042023231247,0.3170520057612608,25,188.88888888888889,7.608946680605311e+43
NGC0006,1.616892412950557,0.38859224058523084,25,211.11111111111111,1.1872529547816296e+44
NGC0007,1.6158472871426919,0.35613864398513145,25,233.3333333333333,1.7717646572608094e+44
NGC0008,1.6088660737960416,0.3511486611453483,25,255.55555555555557,2.5494130195367295e+44
NGC0009,1.6172076062447645,0.4845586425671568,25,277.77777777777777,3.5586796100519027e+44
NGC0010,1.611863606196571,0.6607192259228729,25,300.0,4.841544321652719e+44
