# bins_effective: 15
# g_bar_center_min: 4.466866e-14
# g_bar_center_max: 7.079460e-10
g_bar_center,median_residual,mad_residual,count
4.466866e-14,-1.545136e+00,4.193337e-02,14
8.912566e-14,-1.403455e+00,3.754328e-02,13
1.778290e-13,-1.244177e+00,2.577248e-02,13
3.548153e-13,-1.108217e+00,4.413197e-02,14
7.079493e-13,-9.619225e-01,5.756762e-02,13
1.412544e-12,-8.019470e-01,5.520252e-02,13
2.818394e-12,-6.765435e-01,4.640291e-02,13
5.623433e-12,-5.274125e-01,4.725388e-02,14
1.122022e-11,-3.977534e-01,4.985496e-02,13
2.238727e-11,-2.896428e-01,4.918961e-02,13
4.466845e-11,-1.799602e-01,3.574020e-02,13
8.912524e-11,-9.392352e-02,3.034502e-02,14
1.778282e-10,-2.854233e-02,2.637571e-02,13
3.548136e-10,3.203766e-02,1.797394e-02,13
7.079460e-10,6.697070e-02,3.064877e-02,14
