galaxy,logMbar,slope_tail,env_proxy,delta_f3,logMstar,v_flat,distance_mpc,morphology
NGC0055,10.114,-0.0378,3.1888,-0.1576,9.889,109.5,34.9,Sd
NGC0100,10.04,-0.0485,4.5895,-0.2324,9.873,85.5,34.7,Sb
NGC0247,9.275,0.0969,1.7566,0.373,9.082,84.2,28.3,Sd
NGC0300,11.448,-0.0548,2.2631,-0.1866,11.352,201.7,11.7,Sb
NGC0801,10.64,-0.2357,4.2124,-0.9639,10.515,156.5,62.3,Sd
NGC0891,10.574,-0.2007,5.7196,-0.7652,10.439,122.7,29.7,Im
NGC1003,10.05,-0.1485,7.7044,-0.5556,9.971,108.5,79.2,Im
NGC1090,10.701,-0.1593,3.0198,-0.5608,10.639,148.7,64.8,Sb
NGC2403,10.154,0.0816,4.7315,0.2975,10.071,87.7,37.8,Sbc
NGC2683,11.011,-0.0169,5.4021,-0.0877,10.802,170.2,30.2,Sc
NGC2841,9.939,-0.0089,3.453,-0.0973,9.725,93.7,31.8,Sb
NGC2903,10.302,-0.0858,0.3,-0.349,10.138,96.8,43.9,Sbc
NGC2915,10.264,-0.0457,1.8698,-0.1028,10.115,106.5,61.4,Scd
NGC2976,8.625,-0.1472,6.6048,-0.5207,8.453,50.9,61.5,Scd
NGC3031,11.499,-0.018,2.3276,-0.0963,11.351,160.4,64.9,Sc
NGC3198,11.5,0.0043,6.9504,0.0103,11.331,200.3,61.3,SAB
NGC3521,10.82,-0.0309,5.3779,-0.1909,10.658,188.8,60.9,Im
NGC3621,9.894,0.0594,3.9701,0.2354,9.688,100.4,11.4,Sc
NGC3741,10.314,-0.1638,3.6453,-0.5768,10.167,120.3,4.5,Sbc
NGC3769,10.281,-0.0348,4.6978,-0.1695,10.21,138.9,46.5,Sb
NGC3877,10.23,-0.0723,5.5353,-0.3145,10.041,91.5,6.2,Im
NGC3893,10.835,-0.1009,4.3153,-0.3775,10.709,137.4,16.8,Sb
NGC3917,10.443,-0.1943,4.3839,-0.6964,10.335,126.7,52.9,Scd
NGC3949,9.986,-0.1786,5.9414,-0.7578,9.865,111.4,18.7,Sb
NGC3953,10.494,0.03,2.8789,0.1985,10.305,120.8,59.0,SAB
NGC3972,11.104,-0.1713,0.8085,-0.6505,11.019,161.4,44.3,Im
NGC3992,10.125,-0.2178,4.0319,-0.888,9.972,84.6,7.3,Sd
NGC4010,10.142,-0.0562,2.9031,-0.1529,9.994,124.6,50.3,Sb
NGC4013,9.774,-0.0539,1.5592,-0.2366,9.586,89.6,52.3,Sb
NGC4051,10.516,0.102,2.2861,0.4324,10.533,126.4,7.7,Sc
NGC4085,9.88,-0.0584,3.4645,-0.2321,9.771,82.8,25.6,SAB
NGC4088,10.484,-0.0479,3.372,-0.2301,10.273,99.0,12.5,Sd
NGC4100,10.96,-0.0503,1.6061,-0.19,10.855,142.8,41.4,Sbc
NGC4138,9.115,-0.1104,6.3844,-0.4128,8.964,67.2,62.1,Im
NGC4157,10.553,-0.1501,3.3647,-0.623,10.394,152.3,13.6,Sd
NGC4217,9.889,-0.1318,4.7059,-0.5063,9.7,119.6,64.1,SAB
NGC4389,10.747,-0.1668,3.9202,-0.706,10.648,175.7,60.5,Sc
NGC4559,9.053,-0.1914,6.7457,-0.8614,8.983,66.6,27.9,Sb
NGC5005,10.586,-0.0485,0.3,-0.1884,10.413,153.4,19.3,SAB
NGC5033,9.346,-0.0603,4.9553,-0.3327,9.208,87.4,33.1,Sbc
NGC5055,11.231,-0.1786,0.3,-0.8282,11.164,135.2,11.0,Sbc
NGC5585,9.88,0.1333,5.5017,0.557,9.656,101.9,26.5,Scd
NGC5907,10.496,-0.0196,3.4118,-0.027,10.361,102.2,55.6,Im
NGC6195,10.064,-0.1693,3.403,-0.6262,9.976,95.4,53.7,Sd
NGC6503,10.104,-0.0512,2.0061,-0.239,9.978,114.1,75.3,Im
NGC6946,10.649,-0.1573,3.487,-0.6507,10.521,123.9,18.4,SAB
NGC7177,9.433,-0.1273,2.2356,-0.4964,9.338,91.0,15.2,Sd
NGC7331,9.578,0.0558,2.94,0.2081,9.463,80.3,26.2,SAB
NGC7793,10.242,-0.013,3.88,-0.0406,10.076,97.2,17.2,Im
UGC00128,10.633,-0.0141,2.1438,0.0046,10.561,116.1,71.1,SAB
UGC00191,9.867,0.0338,4.0074,0.1712,9.729,101.3,64.5,Im
UGC00634,9.66,-0.0905,1.2408,-0.2855,9.424,92.1,71.6,Sb
UGC00731,10.567,0.0256,1.5165,0.0642,10.423,130.2,61.7,Scd
UGC01230,11.055,-0.1332,2.1751,-0.5036,10.909,180.3,71.7,Sd
UGC02023,10.481,-0.1373,4.4973,-0.5021,10.351,111.2,18.1,Sb
UGC02259,10.035,0.0434,1.1294,0.1703,9.933,91.7,39.2,Sbc
UGC02455,10.021,0.0323,5.2068,0.0501,9.851,108.9,40.1,Sbc
UGC02487,8.981,-0.0657,3.0981,-0.1982,8.806,65.0,38.5,Sc
UGC02916,10.936,-0.015,3.2312,-0.0709,10.768,125.0,16.2,Sbc
UGC03205,10.722,-0.0743,2.5998,-0.2222,10.512,159.2,66.9,Sbc
UGC03546,10.544,-0.06,1.7528,-0.206,10.383,167.1,5.1,Sd
UGC03580,10.83,-0.0728,4.6407,-0.2875,10.732,165.6,46.0,Sc
UGC04278,9.749,-0.0941,3.8018,-0.2989,9.581,90.2,26.3,Scd
UGC04325,9.847,-0.0722,5.0364,-0.4019,9.634,104.0,7.9,Im
UGC04499,10.417,-0.0961,2.3258,-0.4207,10.184,126.4,5.2,Scd
UGC05005,9.457,-0.0439,1.9404,-0.1773,9.362,65.5,10.2,Sbc
UGC05253,9.458,-0.1036,0.9554,-0.4276,9.179,75.9,44.0,Sb
UGC05414,11.282,-0.1894,0.3,-0.7818,11.135,236.1,23.8,Sb
UGC05716,10.226,-0.1288,5.5109,-0.4192,10.093,114.7,64.2,Sbc
UGC05721,10.577,0.0837,3.0509,0.2912,10.395,129.4,20.8,Sb
UGC05750,9.192,-0.1323,3.7175,-0.6178,9.047,73.8,56.0,Sbc
UGC05764,10.434,-0.1418,2.611,-0.5823,10.348,121.8,29.4,Sb
UGC05829,10.14,0.0015,4.858,0.0513,10.032,107.3,18.9,Sb
UGC05918,9.817,0.0579,3.1019,0.1643,9.761,89.5,25.1,Sbc
UGC05986,10.243,-0.1177,3.7745,-0.4081,10.083,109.7,69.7,Sb
UGC06399,9.905,-0.0498,3.7261,-0.1435,9.685,123.1,21.7,SAB
UGC06446,9.096,-0.0686,3.9665,-0.2858,8.934,72.0,25.7,Sc
UGC06667,10.822,-0.0187,5.7515,-0.1296,10.681,167.7,37.1,Sb
