threshold,n_lo,n_hi,aicc_global,aicc_split,delta_aic
8.5,0,96,-109.0399,,
8.6,0,96,-109.0399,,
8.7,0,96,-109.0399,,
8.8,0,96,-109.0399,,
8.9,0,96,-109.0399,,
9.0,0,96,-109.0399,,
9.1,1,95,-109.0399,,
9.2,2,94,-109.0399,,
9.3,4,92,-109.0399,,
9.4,6,90,-109.0399,-94.8639,-14.1759
9.5,9,87,-109.0399,-98.5648,-10.475
9.6,15,81,-109.0399,-102.257,-6.7829
9.7,20,76,-109.0399,-101.6712,-7.3687
9.8,26,70,-109.0399,-103.6376,-5.4023
9.9,35,61,-109.0399,-103.6393,-5.4006
10.0,43,53,-109.0399,-107.2918,-1.748
10.1,50,46,-109.0399,-103.4338,-5.6061
10.2,54,42,-109.0399,-104.1345,-4.9054
10.3,55,41,-109.0399,-104.4211,-4.6188
10.4,58,38,-109.0399,-105.9036,-3.1362
10.5,63,33,-109.0399,-104.6433,-4.3966
10.6,64,32,-109.0399,-104.8699,-4.17
10.7,67,29,-109.0399,-103.8998,-5.1401
10.8,71,25,-109.0399,-103.7151,-5.3248
10.9,75,21,-109.0399,-102.9103,-6.1296
11.0,79,17,-109.0399,-101.3648,-7.6751
11.1,81,15,-109.0399,-101.3939,-7.646
11.2,85,11,-109.0399,-101.2581,-7.7818
11.3,91,5,-109.0399,-82.1572,-26.8827
11.4,94,2,-109.0399,,
11.5,95,1,-109.0399,,
