galaxy,slope_tail,Rmax,Vmax,n_outer,outer_fit_ok,logMbar,Mgas,res_mond,res_velos,res_newtonian,best_model
UGC10000,0.0550133332824286,24.1535,250.9107,8,True,10.547771427519285,2.242044402474421,0.19801313355641498,0.19801313355641498,0.003026466838843566,newtonian
UGC10001,0.1261763081502782,31.2034,195.9947,14,True,9.532689474227263,2.137456270635988,0.13974415258815576,0.13974415258815576,0.01592046073843396,newtonian
UGC10002,-0.0569647821232204,19.0338,228.7019,4,True,10.11049714187575,1.3542289437812536,0.3102097685255664,0.3102097685255664,0.0032449864023459704,newtonian
UGC10003,-0.0325972656032554,12.315,96.0865,12,True,9.0798988143724,0.6348055841521012,0.28365984732806454,0.28365984732806454,0.0010625817248091775,newtonian
UGC10004,-0.0881443750459494,14.27,133.0126,7,True,9.796413472136068,4.233517262828989,0.3459138058981904,0.3459138058981904,0.007769430852240986,newtonian
UGC10005,0.0772763136951792,46.5859,245.9129,12,True,9.961091621715005,1.9782671316093083,0.17869531496313656,0.17869531496313656,0.005971628658315741,newtonian
UGC10006,-0.027287524738034,46.5003,282.344,7,True,11.050188579417618,0.3804365067509759,0.2780321337443628,0.2780321337443628,0.0007446090063288175,newtonian
UGC10007,0.0849709420439291,45.8313,335.274,12,True,10.018674507359952,3.1674611566111803,0.17224911894790368,0.17224911894790368,0.007220060991832759,newtonian
UGC10008,0.0280416992351334,37.9801,124.7786,16,True,9.82473547224874,3.0325382386329096,0.22274463766086028,0.22274463766086028,0.000786336895993681,newtonian
UGC10009,0.0450643459890829,17.2621,303.6399,16,True,9.834489479063008,1.4466427486998286,0.2069664492903409,0.2069664492903409,0.002030795279423772,newtonian
UGC10010,0.0464104033596063,8.8058,154.6737,12,True,11.031072428179163,1.3757078627347257,0.20574352218039507,0.20574352218039507,0.002153925540001356,newtonian
UGC10011,-0.0065103112509958,14.8249,303.4073,4,True,9.196493268500296,0.9108900121506976,0.2565526954035806,0.2565526954035806,4.23841525848425e-05,newtonian
UGC10012,0.0643078205212889,37.9738,304.8236,11,True,9.763381836022464,0.7424325958284773,0.1898276752589094,0.1898276752589094,0.0041354957801983065,newtonian
UGC10013,0.2151403153710947,35.2574,128.0461,11,True,11.361885723136371,0.9015267007795388,0.0811450399268794,0.0811450399268794,0.04628535529797409,newtonian
UGC10014,0.0522538296954537,16.2866,171.8429,13,True,9.781853947939815,3.164842968878288,0.20047663302238775,0.20047663302238775,0.0027304627178414793,newtonian
UGC10015,0.0442573388135077,47.866,284.5209,10,True,10.001654802667476,3.1363757772523213,0.20770137322534593,0.20770137322534593,0.0019587120388536152,newtonian
UGC10016,0.17818201336064,8.1293,262.8043,7,True,11.101715444456268,4.133310588755464,0.10356681652461129,0.10356681652461129,0.03174882988525129,newtonian
UGC10017,0.2101724605956746,41.4645,187.5097,14,True,9.502032383335203,2.0661983245119555,0.08400000259716578,0.08400000259716578,0.04417246319284039,newtonian
UGC10018,0.1585033729690562,30.3037,178.2717,6,True,9.9018101861373,2.8688817620904574,0.11661994627351153,0.11661994627351153,0.025123319242567735,newtonian
UGC10019,0.0296082360693847,12.0135,305.0594,12,True,10.647813754634992,2.466398108411741,0.22126841157375574,0.22126841157375574,0.000876647643140413,newtonian
UGC10020,-0.0959685611189438,20.7936,267.4885,11,True,9.8055447615508,3.751498829626953,0.35517852584218423,0.35517852584218423,0.009209964723240451,newtonian
UGC10021,0.2884076271424937,13.3369,295.2598,9,True,9.55577446726899,2.438283103086331,0.044771332251469974,0.044771332251469974,0.08317895939396366,mond
UGC10022,0.0627069939797615,30.4109,116.0746,11,True,10.64143399348784,4.916637140525944,0.19122517311421636,0.19122517311421636,0.003932167093977845,newtonian
UGC10023,0.2034057313922271,21.8667,314.5138,9,True,10.11697068052129,1.0237981459833854,0.08796816017097976,0.08796816017097976,0.04137389156320684,newtonian
