galaxy_id,logM,logVobs,log_gbar,log_j,log_gobs,friction_slope,friction_slope_err,delta_F3,reliable,velo_inerte_flag,residual
CVnIdwA,6.2,1.1139,-12.4609,0.716,-10.863650545152982,0.473741155789453,,-0.026258844210547028,True,True,-0.026258844210547028
DDO43,7.6,1.4771,-12.0964,1.6232,-10.681250545152981,0.47293749943593083,,-0.02706250056406917,True,True,-0.02706250056406917
DDO46,7.8,1.5798,-11.7572,1.7616,-10.51155054515298,0.4721482298656817,,-0.027851770134318277,True,True,-0.027851770134318277
DDO47,8.1,1.6721,-11.8542,2.0871,-10.56015054515298,0.472384569872011,,-0.027615430127989005,True,True,-0.027615430127989005
DDO50,8.2,1.5682,-12.1246,1.9106,-10.69535054515298,0.4730004427508366,,-0.02699955724916342,True,True,-0.02699955724916342
DDO52,8.1,1.6628,-11.6977,1.9808,-10.48175054515298,0.4720022883282007,,-0.02799771167179932,True,True,-0.02799771167179932
DDO53,7.0,1.3802,-11.7481,1.1584,-10.507150545152982,0.4721394240921335,,-0.027860575907866503,True,True,-0.027860575907866503
DDO63,7.9,1.5441,-11.7507,1.6513,-10.50835054515298,0.4721370784869661,,-0.027862921513033878,True,True,-0.027862921513033878
DDO69,6.8,1.5185,-10.778,1.463,-10.39685054515298,0.5044016671160504,,0.0044016671160503895,True,True,0.0044016671160503895
DDO70,7.5,1.6812,-10.505,1.6812,-10.126950545152981,0.4918173410925077,,-0.008182658907492313,True,True,-0.008182658907492313
DDO71,6.8,1.301,-12.0648,1.0792,-10.665550545152982,0.47287490618798445,,-0.027125093812015555,True,True,-0.027125093812015555
DDO75,7.2,1.6628,-10.5316,1.6628,-10.163750545152979,0.49406938814394696,,-0.005930611856053036,True,True,-0.005930611856053036
DDO87,7.9,1.6532,-11.6103,1.9085,-10.43825054515298,0.47180875327741684,,-0.028191246722583163,True,True,-0.028191246722583163
DDO101,8.2,1.7324,-11.2336,1.9577,-10.24985054515298,0.4708589560049133,,-0.029141043995086713,True,True,-0.029141043995086713
DDO126,7.8,1.5798,-11.6857,1.7259,-10.47585054515298,0.47198209505436495,,-0.028017904945635053,True,True,-0.028017904945635053
DDO133,7.8,1.5682,-11.732,1.7143,-10.49905054515298,0.47209692875697173,,-0.027903071243028266,True,True,-0.027903071243028266
DDO154,7.6,1.6812,-11.6238,1.9993,-10.44505054515298,0.4718457963984922,,-0.028154203601507777,True,True,-0.028154203601507777
DDO168,8.1,1.7324,-11.1467,1.9142,-10.206350545152981,0.4706272859390487,,-0.02937271406095132,True,True,-0.02937271406095132
DDO210,5.8,1.5682,-10.629,1.4713,-10.25605054515298,0.4982257190871007,,-0.0017742809128992731,True,True,-0.0017742809128992731
DDO216,7.0,1.301,-11.871,0.9823,-10.56865054515298,0.4724320754929486,,-0.027567924507051422,True,True,-0.027567924507051422
F564-V3,7.0,1.3424,-12.1491,1.2455,-10.70765054515298,0.4730590058668372,,-0.02694099413316281,True,True,-0.02694099413316281
Haro29,8.0,1.6532,-11.0998,1.6532,-10.18295054515298,0.47050768195614273,,-0.02949231804385727,True,True,-0.02949231804385727
IC1613,7.6,1.3424,-12.3429,1.3424,-10.80455054515298,0.4734820154239921,,-0.026517984576007902,True,True,-0.026517984576007902
NGC1569,8.4,1.6532,-11.392,1.7993,-10.329050545152981,0.47126414748742923,,-0.02873585251257077,True,True,-0.02873585251257077
NGC2366,8.4,1.7634,-11.3437,2.1059,-10.30505054515298,0.4711550171616662,,-0.02884498283833381,True,True,-0.02884498283833381
UGC8508,6.9,1.3424,-12.0576,1.1998,-10.66195054515298,0.4728587088787812,,-0.027141291121218825,True,True,-0.027141291121218825
